bug,pass,test_fail,compile_fail,failed_tests,duration
Closure-53,No,Yes,No,com.google.javascript.jscomp.InlineObjectLiteralsTest::testBug545,404.41
Closure-99,No,Yes,No,com.google.javascript.jscomp.CheckGlobalThisTest::testPropertyOfMethod; com.google.javascript.jscomp.CheckGlobalThisTest::testInterface1,645.93
Jsoup-42,Yes,No,No,,379.42
Lang-65,No,Yes,No,org.apache.commons.lang.time.DateUtilsTest::testTruncateLang59,634.94
Cli-31,Yes,No,No,,354.83
Closure-162,No,Yes,No,com.google.javascript.jscomp.ScopedAliasesTest::testForwardJsDoc,556.71
Jsoup-31,No,No,Yes,,477.45
Closure-169,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testIssue791; com.google.javascript.rhino.jstype.RecordTypeTest::testSubtypeWithUnknowns2,120.65
Math-77,Yes,No,No,,305.79
Gson-4,No,Yes,No,com.google.gson.stream.JsonReaderTest::testTopLevelValueTypes; com.google.gson.stream.JsonWriterTest::testTopLevelValueTypes,497.31
Closure-143,No,Yes,No,com.google.javascript.jscomp.CommandLineRunnerTest::testDefineFlag3; com.google.javascript.jscomp.RemoveConstantExpressionsTest::testCall1; com.google.javascript.jscomp.RemoveConstantExpressionsTest::testNew1,6.60
Jsoup-21,No,Yes,No,,12578.57
Jsoup-65,No,Yes,No,org.jsoup.parser.HtmlParserTest::testTemplateInsideTable,936.19
Chart-14,No,Yes,No,org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveRangeMarker; org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveDomainMarker; org.jfree.chart.plot.junit.XYPlotTests::testRemoveRangeMarker; org.jfree.chart.plot.junit.XYPlotTests::testRemoveDomainMarker,327.68
Time-2,No,Yes,No,org.joda.time.TestPartial_Basics::testWith_baseAndArgHaveNoRange,573.35
Gson-9,No,No,Yes,,201.67
Math-6,No,Yes,No,org.apache.commons.math3.fitting.CurveFitterTest::testMath303; org.apache.commons.math3.fitting.CurveFitterTest::testMath304; org.apache.commons.math3.fitting.CurveFitterTest::testMath372; org.apache.commons.math3.fitting.GaussianFitterTest::testFit01; org.apache.commons.math3.fitting.GaussianFitterTest::testFit04; org.apache.commons.math3.fitting.GaussianFitterTest::testFit05; org.apache.commons.math3.fitting.GaussianFitterTest::testFit06; org.apache.commons.math3.fitting.GaussianFitterTest::testFit07; org.apache.commons.math3.fitting.GaussianFitterTest::testMath519; org.apache.commons.math3.fitting.GaussianFitterTest::testMath798; org.apache.commons.math3.fitting.HarmonicFitterTest::test1PercentError; org.apache.commons.math3.fitting.HarmonicFitterTest::testTinyVariationsData; org.apache.commons.math3.fitting.HarmonicFitterTest::testInitialGuess; org.apache.commons.math3.fitting.HarmonicFitterTest::testUnsorted; org.apache.commons.math3.fitting.HarmonicFitterTest::testNoError; org.apache.commons.math3.fitting.PolynomialFitterTest::testFit; org.apache.commons.math3.fitting.PolynomialFitterTest::testMath798WithToleranceTooLowButNoException; org.apache.commons.math3.fitting.PolynomialFitterTest::testMath798; org.apache.commons.math3.fitting.PolynomialFitterTest::testSmallError; org.apache.commons.math3.fitting.PolynomialFitterTest::testRedundantSolvable; org.apache.commons.math3.fitting.PolynomialFitterTest::testNoError; org.apache.commons.math3.fitting.PolynomialFitterTest::testLargeSample; org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest::testTrivial; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testConstrainedRosen; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testElliRotated; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testEllipse; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testTwoAxes; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigar; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testRosen; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testRastrigin; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testDiagonalRosen; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testSsDiffPow; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testMaximize; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testAckley; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigTab; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testDiffPow; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testSphere; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testTablet; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest::testCigarWithBoundaries; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest::testSumSinc; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMaximize1; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMaximize2; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMinimize1; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest::testMinimize2; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMaximize1; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMaximize2; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMinimize1; org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest::testMinimize2; org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest::testGetIterations; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testBevington; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testNonInvertible; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testCircleFitting2; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testControlParameters; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testCircleFittingGoodInit; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testNoDependency; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testRedundantEquations; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testTrivial; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testQRColumnsPermutation; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testInconsistentSizes1; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testInconsistentSizes2; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testTwoSets; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testHahn1; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersSimple; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testMoreEstimatedParametersUnsorted; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testIllConditioned; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testGetIterations; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testInconsistentEquations; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testCircleFitting; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testKirby2; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testOneSet; org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest::testCircleFittingBadInit; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackLinearRank1; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackBrownDennis; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackJennrichSampson; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackRosenbrok; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackBox3Dimensional; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackHelicalValley; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackMeyer; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackLinearFullRank; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackFreudensteinRoth; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackOsborne1; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackOsborne2; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackWatson; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackKowalikOsborne; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackPowellSingular; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackChebyquad; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackLinearRank1ZeroColsAndRows; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackBard; org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest::testMinpackBrownAlmostLinear,710.86
Jsoup-22,No,Yes,No,org.jsoup.nodes.ElementTest::elementIsNotASiblingOfItself; org.jsoup.nodes.NodeTest::nodeIsNotASiblingOfItself,469.42
JacksonDatabind-65,Yes,No,No,,154.15
JacksonDatabind-30,No,Yes,No,com.fasterxml.jackson.databind.jsontype.TestExternalId::testBigDecimal965,104.22
Compress-33,Yes,No,No,,763.59
JacksonCore-18,Yes,No,No,,440.99
Math-14,No,Yes,No,org.apache.commons.math3.fitting.PolynomialFitterTest::testLargeSample,664.02
Codec-13,Yes,No,No,,123.76
Closure-54,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testIssue537a; com.google.javascript.jscomp.TypeCheckTest::testIssue537b; com.google.javascript.jscomp.TypedScopeCreatorTest::testPropertyOnUnknownSuperClass2,107.66
Closure-144,No,Yes,No,com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsAssign; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsMember; com.google.javascript.jscomp.CodePrinterTest::testOptionalTypesAnnotation; com.google.javascript.jscomp.CodePrinterTest::testTempConstructor; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsDispatcher1; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsDispatcher2; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsImplements; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsNamespace; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotations; com.google.javascript.jscomp.CodePrinterTest::testVariableArgumentsTypesAnnotation; com.google.javascript.jscomp.CodePrinterTest::testEmitUnknownParamTypesAsAllType; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsMemberSubclass; com.google.javascript.jscomp.DevirtualizePrototypeMethodsTest::testRewritePrototypeMethods2; com.google.javascript.jscomp.DisambiguatePropertiesTest::testStaticProperty; com.google.javascript.jscomp.ExternExportsPassTest::testExportDontEmitPrototypePathPrefix; com.google.javascript.jscomp.ExternExportsPassTest::testExportMultiple; com.google.javascript.jscomp.ExternExportsPassTest::testExportSymbolWithConstructor; com.google.javascript.jscomp.ExternExportsPassTest::testExportSymbolDefinedInVar; com.google.javascript.jscomp.ExternExportsPassTest::testExportSymbol; com.google.javascript.jscomp.ExternExportsPassTest::testExportMultiple2; com.google.javascript.jscomp.ExternExportsPassTest::testExportMultiple3; com.google.javascript.jscomp.ExternExportsPassTest::testExportProperty; com.google.javascript.jscomp.LooseTypeCheckTest::testNestedFunctionInference1; com.google.javascript.jscomp.LooseTypeCheckTest::testScoping10; com.google.javascript.jscomp.LooseTypeCheckTest::testDuplicateOldTypeDef; com.google.javascript.jscomp.LooseTypeCheckTest::testBadConstructorCall; com.google.javascript.jscomp.LooseTypeCheckTest::testDontAddMethodsIfNoConstructor; com.google.javascript.jscomp.LooseTypeCheckTest::testInterfaceInheritanceCheck11; com.google.javascript.jscomp.LooseTypeCheckTest::testErrorMismatchingPropertyOnInterface5; com.google.javascript.jscomp.LooseTypeCheckTest::testDuplicateTypeDef; com.google.javascript.jscomp.LooseTypeCheckTest::testBug911118; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference12; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference13; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference15; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference16; com.google.javascript.jscomp.LooseTypeCheckTest::testPrototypePropertyReference; com.google.javascript.jscomp.LooseTypeCheckTest::testGoodExtends7; com.google.javascript.jscomp.LooseTypeCheckTest::testTypeRedefinition; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference1; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference2; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference3; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference4; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference7; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference8; com.google.javascript.jscomp.LooseTypeCheckTest::testFunctionInference9; com.google.javascript.jscomp.LooseTypeCheckTest::testInterfaceInheritanceCheck7; com.google.javascript.jscomp.LooseTypeCheckTest::testDuplicateStaticMethodDecl1; com.google.javascript.jscomp.LooseTypeCheckTest::testDuplicateStaticMethodDecl5; com.google.javascript.jscomp.TypeCheckTest::testNestedFunctionInference1; com.google.javascript.jscomp.TypeCheckTest::testScoping10; com.google.javascript.jscomp.TypeCheckTest::testDuplicateOldTypeDef; com.google.javascript.jscomp.TypeCheckTest::testInferredReturn1; com.google.javascript.jscomp.TypeCheckTest::testInferredReturn2; com.google.javascript.jscomp.TypeCheckTest::testInferredReturn3; com.google.javascript.jscomp.TypeCheckTest::testInferredReturn4; com.google.javascript.jscomp.TypeCheckTest::testInferredReturn6; com.google.javascript.jscomp.TypeCheckTest::testBadConstructorCall; com.google.javascript.jscomp.TypeCheckTest::testDontAddMethodsIfNoConstructor; com.google.javascript.jscomp.TypeCheckTest::testInterfaceInheritanceCheck11; com.google.javascript.jscomp.TypeCheckTest::testErrorMismatchingPropertyOnInterface5; com.google.javascript.jscomp.TypeCheckTest::testDuplicateTypeDef; com.google.javascript.jscomp.TypeCheckTest::testBug911118; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference12; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference13; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference15; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference16; com.google.javascript.jscomp.TypeCheckTest::testPrototypePropertyReference; com.google.javascript.jscomp.TypeCheckTest::testGoodExtends7; com.google.javascript.jscomp.TypeCheckTest::testTypeRedefinition; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference1; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference2; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference3; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference4; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference7; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference8; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference9; com.google.javascript.jscomp.TypeCheckTest::testInterfaceInheritanceCheck7; com.google.javascript.jscomp.TypeCheckTest::testDuplicateStaticMethodDecl1; com.google.javascript.jscomp.TypeCheckTest::testDuplicateStaticMethodDecl5; com.google.javascript.jscomp.TypedScopeCreatorTest::testConstructorNode; com.google.javascript.jscomp.TypedScopeCreatorTest::testPropertiesOnInterface; com.google.javascript.jscomp.TypedScopeCreatorTest::testMethodBeforeFunction; com.google.javascript.jscomp.TypedScopeCreatorTest::testConstructorProperty; com.google.javascript.jscomp.TypedScopeCreatorTest::testReturnTypeInference1,532.47
Mockito-30,Yes,No,No,,196.49
Closure-135,No,Yes,No,com.google.javascript.jscomp.DevirtualizePrototypeMethodsTest::testRewritePrototypeMethods2; com.google.javascript.jscomp.TypeCheckTest::testGoodExtends9,599.90
Mockito-17,No,Yes,No,org.mockitousage.basicapi.MocksSerializationTest::shouldBeSerializeAndHaveExtraInterfaces,467.59
Closure-90,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testBackwardsTypedefUse8; com.google.javascript.jscomp.TypeCheckTest::testBackwardsTypedefUse9,507.70
Closure-110,No,Yes,No,com.google.javascript.jscomp.ScopedAliasesTest::testHoistedFunctionDeclaration; com.google.javascript.jscomp.ScopedAliasesTest::testFunctionDeclaration,109.66
Closure-167,No,Yes,No,com.google.javascript.jscomp.LooseTypeCheckTest::testMissingProperty11; com.google.javascript.jscomp.TypeCheckTest::testIssue783; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty11; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty20; com.google.javascript.rhino.jstype.JSTypeTest::testRestrictedTypeGivenToBoolean,1196.03
Closure-47,No,Yes,No,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testParseSourceMetaMap; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput0a; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultiFunctionMapping; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappingsGoldenOutput; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMappingGoldenOutput; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testSourceMapMerging; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappings; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping1; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput1; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput3; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput4; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput5,119.31
Mockito-16,Yes,No,No,,373.91
