bug,pass,test_fail,compile_fail,failed_tests
Closure-26,No,Yes,No,com.google.javascript.jscomp.CleanupPassesTest; com.google.javascript.jscomp.ChainCallsTest::testSubclass; com.google.javascript.jscomp.ChainCallsTest::testSecondCallReturnNotThis; com.google.javascript.jscomp.ChainCallsTest::testSimpleDefinitionFinder2; com.google.javascript.jscomp.ChainCallsTest::testDifferentInstance; com.google.javascript.jscomp.ChainCallsTest::testSimpleDefinitionFinder; com.google.javascript.jscomp.ChainCallsTest::testUnchainedCalls; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty1; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty2; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty3; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty4; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty5; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty6; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty7; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty8; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty9; com.google.javascript.jscomp.CheckAccessControlsTest::testOkAssignmentOfDeprecatedProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningInGlobalScopeForCall; com.google.javascript.jscomp.CheckAccessControlsTest::testNullableDeprecatedProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testDeprecatedFunctionVariable; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningInDeprecatedFunction; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningInGlobalScope; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty10; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty11; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty12; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty13; com.google.javascript.jscomp.CheckAccessControlsTest::testConstantProperty14; com.google.javascript.jscomp.CheckAccessControlsTest::testPrivateAccessForNames; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningOnDeprecatedConstVariable; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningInDeprecatedStaticMethod; com.google.javascript.jscomp.CheckAccessControlsTest::testProtectedAccessForProperties1; com.google.javascript.jscomp.CheckAccessControlsTest::testProtectedAccessForProperties2; com.google.javascript.jscomp.CheckAccessControlsTest::testProtectedAccessForProperties3; com.google.javascript.jscomp.CheckAccessControlsTest::testProtectedAccessForProperties4; com.google.javascript.jscomp.CheckAccessControlsTest::testProtectedAccessForProperties5; com.google.javascript.jscomp.CheckAccessControlsTest::testProtectedAccessForProperties6; com.google.javascript.jscomp.CheckAccessControlsTest::testBadOverrideOfProtectedProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testPrivateAccessForProperties1; com.google.javascript.jscomp.CheckAccessControlsTest::testPrivateAccessForProperties2; com.google.javascript.jscomp.CheckAccessControlsTest::testPrivateAccessForProperties3; com.google.javascript.jscomp.CheckAccessControlsTest::testPrivateAccessForProperties4; com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties1; com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties2; com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties3; com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties4; com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties5; com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties6; com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties7; com.google.javascript.jscomp.CheckAccessControlsTest::testNoPrivateAccessForProperties8; com.google.javascript.jscomp.CheckAccessControlsTest::testAccessOfStaticMethodOnPrivateQualifiedConstructor; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForSubclassMethod; com.google.javascript.jscomp.CheckAccessControlsTest::testGoodOverrideOfProtectedProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningInDeprecatedClass; com.google.javascript.jscomp.CheckAccessControlsTest::testNoProtectedAccessForProperties1; com.google.javascript.jscomp.CheckAccessControlsTest::testNoProtectedAccessForProperties2; com.google.javascript.jscomp.CheckAccessControlsTest::testNoProtectedAccessForProperties3; com.google.javascript.jscomp.CheckAccessControlsTest::testNoProtectedAccessForProperties4; com.google.javascript.jscomp.CheckAccessControlsTest::testNoProtectedAccessForProperties5; com.google.javascript.jscomp.CheckAccessControlsTest::testAutoboxedDeprecatedProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForDeprecatedClassInGlobalScope; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningForDeprecatedClassInstance; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForDeprecatedClass; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningInDeprecatedClass2; com.google.javascript.jscomp.CheckAccessControlsTest::testDeprecatedObjLitKey; com.google.javascript.jscomp.CheckAccessControlsTest::testNullablePrivateProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForSuperClassWithDeprecatedSubclassMethod; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningInStaticMethod; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForSuperclassMethod; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningInNormalClass; com.google.javascript.jscomp.CheckAccessControlsTest::testInstanceofOfPrivateConstructor; com.google.javascript.jscomp.CheckAccessControlsTest::testAutoboxedPrivateProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForProperty1; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForProperty2; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningOnDeprecatedPrototype; com.google.javascript.jscomp.CheckAccessControlsTest::testAccessOfStaticMethodOnPrivateConstructor; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForDeprecatedSuperClass; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForSuperclassMethod2; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForDeprecatedSuperClass2; com.google.javascript.jscomp.CheckAccessControlsTest::testDeprecatedFunction; com.google.javascript.jscomp.CheckAccessControlsTest::testSuppressConstantProperty2; com.google.javascript.jscomp.CheckAccessControlsTest::testSuppressConstantProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testBadOverrideOfPrivateProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testBadReadOfDeprecatedProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testNoExceptionsWithBadConstructors1; com.google.javascript.jscomp.CheckAccessControlsTest::testNoExceptionsWithBadConstructors2; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForBind; com.google.javascript.jscomp.CheckAccessControlsTest::testThatNumbersArentDeprecated; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningForPrototypeCopying; com.google.javascript.jscomp.CheckAccessControlsTest::testNoWarningForNumbers; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForPrototypeProperty; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForMethod1; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForMethod2; com.google.javascript.jscomp.CheckAccidentalSemicolonTest::testSuspiciousSemi; com.google.javascript.jscomp.CheckDebuggerStatementTest::testCheckDebuggerStatementInEval; com.google.javascript.jscomp.CheckDebuggerStatementTest::testCheckDebuggerStatement; com.google.javascript.jscomp.CheckDebuggerStatementTest::testCheckIsDisabledByDefault; com.google.javascript.jscomp.CheckDebuggerStatementTest::testNoWarningWhenExplicitlyDisabled; com.google.javascript.jscomp.CheckDebuggerStatementTest::testCheckDebuggerKeywordMayAppearInComments; com.google.javascript.jscomp.CheckGlobalNamesTest::testLateDefinedName1; com.google.javascript.jscomp.CheckGlobalNamesTest::testLateDefinedName2; com.google.javascript.jscomp.CheckGlobalNamesTest::testLateDefinedName3; com.google.javascript.jscomp.CheckGlobalNamesTest::testLateDefinedName4; com.google.javascript.jscomp.CheckGlobalNamesTest::testLateDefinedName5; com.google.javascript.jscomp.CheckGlobalNamesTest::testPathologicalCaseThatsOkAnyway; com.google.javascript.jscomp.CheckGlobalNamesTest::testRefToPropertyOfAliasedName; com.google.javascript.jscomp.CheckGlobalNamesTest::testSuppressionOfUndefinedNamesWarning; com.google.javascript.jscomp.CheckGlobalNamesTest::testRefToDescendantOfUndefinedProperty1; com.google.javascript.jscomp.CheckGlobalNamesTest::testRefToDescendantOfUndefinedProperty2; com.google.javascript.jscomp.CheckGlobalNamesTest::testRefToDescendantOfUndefinedProperty3; com.google.javascript.jscomp.CheckGlobalNamesTest::testNoWarningForGoodModuleDep1; com.google.javascript.jscomp.CheckGlobalNamesTest::testSelfModuleDep; com.google.javascript.jscomp.CheckGlobalNamesTest::testUndefinedPrototypeMethodRefGivesNoWarning; com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode; com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCodeInFor; com.google.javascript.jscomp.CheckSideEffectsTest::testTypeAnnotations; com.google.javascript.jscomp.CheckSideEffectsTest::testJSDocComments; com.google.javascript.jscomp.CheckSideEffectsTest::testIssue80; com.google.javascript.jscomp.CheckSideEffectsTest::testIsue504; com.google.javascript.jscomp.CheckUnreachableCodeTest::testVarDeclaration; com.google.javascript.jscomp.CheckUnreachableCodeTest::testUncheckedWhileInDo; com.google.javascript.jscomp.CheckUnreachableCodeTest::testSpuriousBreak; com.google.javascript.jscomp.CheckUnreachableCodeTest::testInfiniteLoop; com.google.javascript.jscomp.CheckUnreachableCodeTest::testIncorrectSimple; com.google.javascript.jscomp.CheckUnreachableCodeTest::testInCorrectLoopBreaksAndContinues; com.google.javascript.jscomp.CheckUnreachableCodeTest::testUnreachableLoop; com.google.javascript.jscomp.CheckUnreachableCodeTest::testUnreachableCatch; com.google.javascript.jscomp.CheckUnreachableCodeTest::testFalseCondition; com.google.javascript.jscomp.CheckUnreachableCodeTest::testCorrectSwitchReturn; com.google.javascript.jscomp.CheckUnreachableCodeTest::testSuppression; com.google.javascript.jscomp.CheckUnreachableCodeTest::testCorrectLoopBreaksAndContinues; com.google.javascript.jscomp.CheckUnreachableCodeTest::testReachableTryCatchFinally; com.google.javascript.jscomp.CheckUnreachableCodeTest::testFunctionDeclaration; com.google.javascript.jscomp.CheckUnreachableCodeTest::testInstanceOfThrowsException; com.google.javascript.jscomp.CheckUnreachableCodeTest::testInCorrectIfReturns; com.google.javascript.jscomp.CheckUnreachableCodeTest::testCorrectSimple; com.google.javascript.jscomp.CheckUnreachableCodeTest::testUncheckedConditionInFor; com.google.javascript.jscomp.CheckUnreachableCodeTest::testInCorrectSwitchReturn; com.google.javascript.jscomp.CheckUnreachableCodeTest::testCorrectIfReturns; com.google.javascript.jscomp.ClosureCodeRemovalTest::testDoNotRemoveNonQualifiedName; com.google.javascript.jscomp.ClosureCodeRemovalTest::testRemoveAbstract; com.google.javascript.jscomp.ClosureCodeRemovalTest::testDoNotRemoveOverride; com.google.javascript.jscomp.ClosureCodeRemovalTest::testStopRemovalAtNonQualifiedName; com.google.javascript.jscomp.ClosureCodeRemovalTest::testDoNotRemoveNormal; com.google.javascript.jscomp.ClosureCodeRemovalTest::testAssertionRemoval1; com.google.javascript.jscomp.ClosureCodeRemovalTest::testAssertionRemoval2; com.google.javascript.jscomp.ClosureCodeRemovalTest::testAssertionRemoval3; com.google.javascript.jscomp.ClosureCodeRemovalTest::testAssertionRemoval4; com.google.javascript.jscomp.ClosureCodeRemovalTest::testRemoveMultiplySetAbstract; com.google.javascript.jscomp.ClosureCodingConventionTest::testObjectLiteralCast; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection1; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection2; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection3; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection4; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection5; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection6; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection7; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection8; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection9; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetectionPostCollapseProperties; com.google.javascript.jscomp.ClosureCodingConventionTest::testRequire; com.google.javascript.jscomp.ClosureCodingConventionTest::testFunctionBind; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection10; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection11; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection12; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection13; com.google.javascript.jscomp.ClosureCodingConventionTest::testInheritanceDetection14; com.google.javascript.jscomp.ClosureOptimizePrimitivesTest::testObjectCreateOddParams; com.google.javascript.jscomp.ClosureOptimizePrimitivesTest::testObjectCreate1; com.google.javascript.jscomp.ClosureOptimizePrimitivesTest::testObjectCreate2; com.google.javascript.jscomp.ClosureOptimizePrimitivesTest::testObjectCreate3; com.google.javascript.jscomp.ClosureOptimizePrimitivesTest::testObjectCreate4; com.google.javascript.jscomp.ClosureOptimizePrimitivesTest::testObjectCreate5; com.google.javascript.jscomp.ClosureOptimizePrimitivesTest::testObjectCreateNonConstKey; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsArrayOnNull; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsDefAndNotNull1; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsDefAndNotNull2; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsDefAndNotNull3; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsArray; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsNull1; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsNull2; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsFunction; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsFunctionOnNull; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsObjectOnNull; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsBoolean1; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsBoolean2; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsDef1; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsDef2; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsNumber; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsString1; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsString2; com.google.javascript.jscomp.CoalesceVariableNamesTest::testEscaped; com.google.javascript.jscomp.CoalesceVariableNamesTest::testParameter; com.google.javascript.jscomp.CoalesceVariableNamesTest::testTryCatch; com.google.javascript.jscomp.CoalesceVariableNamesTest::testCannotReuseAnyParamsBug; com.google.javascript.jscomp.CoalesceVariableNamesTest::testFor; com.google.javascript.jscomp.CoalesceVariableNamesTest::testForIn; com.google.javascript.jscomp.CoalesceVariableNamesTest::testLoops; com.google.javascript.jscomp.CoalesceVariableNamesTest::testSwitchCase; com.google.javascript.jscomp.CoalesceVariableNamesTest::testDeadAssignment; com.google.javascript.jscomp.CoalesceVariableNamesTest::testForInWithAssignment; com.google.javascript.jscomp.CoalesceVariableNamesTest::testParameter2; com.google.javascript.jscomp.CoalesceVariableNamesTest::testParameter3; com.google.javascript.jscomp.CoalesceVariableNamesTest::testParameter4; com.google.javascript.jscomp.CoalesceVariableNamesTest::testDifferentBlock; com.google.javascript.jscomp.CoalesceVariableNamesTest::testMaxVars; com.google.javascript.jscomp.CoalesceVariableNamesTest::testMergeThreeVarNames; com.google.javascript.jscomp.CoalesceVariableNamesTest::testDuplicatedVar; com.google.javascript.jscomp.CoalesceVariableNamesTest::testParameter4b; com.google.javascript.jscomp.CoalesceVariableNamesTest::testDeterministic; com.google.javascript.jscomp.CoalesceVariableNamesTest::testVarLiveRangeCross; com.google.javascript.jscomp.CoalesceVariableNamesTest::testLoopInductionVar; com.google.javascript.jscomp.CoalesceVariableNamesTest::testBug1401831; com.google.javascript.jscomp.CoalesceVariableNamesTest::testUsePseduoNames; com.google.javascript.jscomp.CoalesceVariableNamesTest::testBug1445366; com.google.javascript.jscomp.CoalesceVariableNamesTest::testLiveRangeChangeWithinCfgNode2; com.google.javascript.jscomp.CoalesceVariableNamesTest::testSimple; com.google.javascript.jscomp.CoalesceVariableNamesTest::testLiveRangeChangeWithinCfgNode; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsAssign; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsMember; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsTypeDef; com.google.javascript.jscomp.CodePrinterTest::testFunctionSafariCompatiblity; com.google.javascript.jscomp.CodePrinterTest::testOptionalTypesAnnotation; com.google.javascript.jscomp.CodePrinterTest::testPrint; com.google.javascript.jscomp.CodePrinterTest::testNegCollapse; com.google.javascript.jscomp.CodePrinterTest::testTempConstructor; com.google.javascript.jscomp.CodePrinterTest::testLineBreak; com.google.javascript.jscomp.CodePrinterTest::testHook; com.google.javascript.jscomp.CodePrinterTest::testZero; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsInterface; com.google.javascript.jscomp.CodePrinterTest::testLineLength; com.google.javascript.jscomp.CodePrinterTest::testPrettyPrinter2; com.google.javascript.jscomp.CodePrinterTest::testPrettyPrinter3; com.google.javascript.jscomp.CodePrinterTest::testPrettyPrinter4; com.google.javascript.jscomp.CodePrinterTest::testParsePrintParse; com.google.javascript.jscomp.CodePrinterTest::testObjectLit; com.google.javascript.jscomp.CodePrinterTest::testLiteralProperty; com.google.javascript.jscomp.CodePrinterTest::testStringEscapeSequences; com.google.javascript.jscomp.CodePrinterTest::testUnicode; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsDispatcher1; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsDispatcher2; com.google.javascript.jscomp.CodePrinterTest::testPrintArray; com.google.javascript.jscomp.CodePrinterTest::testNumericKeys; com.google.javascript.jscomp.CodePrinterTest::testPrintInOperatorInForLoop; com.google.javascript.jscomp.CodePrinterTest::testDirectEval; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsMultipleInterface; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsImplements; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsNamespace; com.google.javascript.jscomp.CodePrinterTest::testEnumAnnotation1; com.google.javascript.jscomp.CodePrinterTest::testEnumAnnotation2; com.google.javascript.jscomp.CodePrinterTest::testDoLoopIECompatiblity; com.google.javascript.jscomp.CodePrinterTest::testArrayLiteral; com.google.javascript.jscomp.CodePrinterTest::testFunctionWithCall; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotations; com.google.javascript.jscomp.CodePrinterTest::testFreeCall1; com.google.javascript.jscomp.CodePrinterTest::testFreeCall2; com.google.javascript.jscomp.CodePrinterTest::testFreeCall3; com.google.javascript.jscomp.CodePrinterTest::testObjectLit2; com.google.javascript.jscomp.CodePrinterTest::testObjectLit3; com.google.javascript.jscomp.CodePrinterTest::testObjectLit4; com.google.javascript.jscomp.CodePrinterTest::testIssue5746867; com.google.javascript.jscomp.CodePrinterTest::testUnicodeKeyword; com.google.javascript.jscomp.CodePrinterTest::testCommaSpacing; com.google.javascript.jscomp.CodePrinterTest::testPrettyPrinter; com.google.javascript.jscomp.CodePrinterTest::testExponents; com.google.javascript.jscomp.CodePrinterTest::testU2UFunctionTypeAnnotation; com.google.javascript.jscomp.CodePrinterTest::testGetter; com.google.javascript.jscomp.CodePrinterTest::testIssue582; com.google.javascript.jscomp.CodePrinterTest::testIssue601; com.google.javascript.jscomp.CodePrinterTest::testIssue620; com.google.javascript.jscomp.CodePrinterTest::testSetter; com.google.javascript.jscomp.CodePrinterTest::testVariableArgumentsTypesAnnotation; com.google.javascript.jscomp.CodePrinterTest::testStrict; com.google.javascript.jscomp.CodePrinterTest::testIndirectEval; com.google.javascript.jscomp.CodePrinterTest::testSubtraction; com.google.javascript.jscomp.CodePrinterTest::testEmitUnknownParamTypesAsAllType; com.google.javascript.jscomp.CodePrinterTest::testMinusNegativeZero; com.google.javascript.jscomp.CodePrinterTest::testPreferLineBreakAtEndOfFile; com.google.javascript.jscomp.CodePrinterTest::testTypeAnnotationsMemberSubclass; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testVarNotImmediatelyBelowScriptOrBlock1; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testVarNotImmediatelyBelowScriptOrBlock2; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testVarNotImmediatelyBelowScriptOrBlock3; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testConstantFunction1; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testGlobalScope; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testAlert; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testRecursiveInternal1; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testRecursiveInternal2; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testBothScopes; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testMultipleVar; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testInnerFunction1; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testLocalScope1; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testLocalScope2; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testLocalScopeOnly1; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testLocalScopeOnly2; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testMultipleVar2; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testReturn; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testRecursiveExternal1; com.google.javascript.jscomp.CollapseAnonymousFunctionsTest::testRecursiveExternal2; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForEnumOfObjects2; com.google.javascript.jscomp.CollapsePropertiesTest::testResetObjectPropertyInLocalScope; com.google.javascript.jscomp.CollapsePropertiesTest::testObjLitDeclarationWithDuplicateKeys; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForCtorDepth2; com.google.javascript.jscomp.CollapsePropertiesTest::testObjectOfObjects1; com.google.javascript.jscomp.CollapsePropertiesTest::testNonWellformedAlias1; com.google.javascript.jscomp.CollapsePropertiesTest::testNonWellformedAlias2; com.google.javascript.jscomp.CollapsePropertiesTest::testCollapseForEachWithoutExterns; com.google.javascript.jscomp.CollapsePropertiesTest::testPropertyOnGlobalFunction; com.google.javascript.jscomp.CollapsePropertiesTest::testPropertyOfAnObjectThatIsNeitherFunctionNorObjLit; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForPropertyOfEnumOfObjects2; com.google.javascript.jscomp.CollapsePropertiesTest::testGlobalFunctionNameInBooleanExpressionDepth1; com.google.javascript.jscomp.CollapsePropertiesTest::testGlobalFunctionNameInBooleanExpressionDepth2; com.google.javascript.jscomp.CollapsePropertiesTest::testObjLitRedefinedInLocalScope; com.google.javascript.jscomp.CollapsePropertiesTest::testSafeReferenceOfThis; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForObjectDepth1_1; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForObjectDepth1_2; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testExports
Closure-27,Yes,No,No,
Closure-29,No,Yes,No,com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject10; com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject12; com.google.javascript.jscomp.InlineObjectLiteralsTest::testObject22; com.google.javascript.jscomp.InlineObjectLiteralsTest::testIssue724; com.google.javascript.jscomp.IntegrationTest::testIssue724
Closure-30,No,Yes,No,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testInlineAcrossSideEffect1; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testInlineExpressions13; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testIssue698
Closure-32,No,Yes,No,com.google.javascript.jscomp.IntegrationTest::testIssue701; com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicense; com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParsePreserve; com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicenseAscii
Closure-34,No,Yes,No,com.google.javascript.jscomp.CodePrinterTest::testParsePrintParse; com.google.javascript.jscomp.CodePrinterTest::testManyAdds
Closure-37,No,Yes,No,com.google.javascript.jscomp.IntegrationTest::testIncompleteFunction
Closure-39,No,Yes,No,com.google.javascript.rhino.jstype.RecordTypeTest::testRecursiveRecord; com.google.javascript.rhino.jstype.RecordTypeTest::testLongToString
Closure-41,No,No,Yes,
Closure-43,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testLends10; com.google.javascript.jscomp.TypeCheckTest::testLends11
Closure-45,No,Yes,No,com.google.javascript.jscomp.RemoveUnusedVarsTest::testNestedAssign1; com.google.javascript.jscomp.RemoveUnusedVarsTest::testNestedAssign2; com.google.javascript.jscomp.RemoveUnusedVarsTest::testNestedAssign3; com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue618_1
Closure-47,No,Yes,No,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testParseSourceMetaMap; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput0a; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultiFunctionMapping; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappingsGoldenOutput; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMappingGoldenOutput; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testSourceMapMerging; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappings; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping1; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput1; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput3; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput4; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput5
