bug,glob,google_web_search,list_directory,read_file,read_many_files,replace,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other,search_file_content,web_fetch,write_file
Closure-141,2,0,0,7,0,11,9,0,8,0,1,0,0,0,0,0,0,0
Closure-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-144,9,0,0,18,0,5,5,2,1,0,2,0,0,0,0,0,0,0
Closure-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-153,0,0,2,35,1,46,33,0,6,0,16,0,11,0,0,0,0,0
Closure-154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-156,3,0,0,22,0,45,16,1,0,0,15,0,0,0,0,0,0,0
Closure-157,0,0,0,8,0,53,66,21,23,0,1,21,0,0,0,5,0,0
Closure-158,5,0,0,42,0,73,13,6,0,0,3,4,0,0,0,0,0,0
Closure-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-160,16,0,0,19,0,28,26,9,6,0,2,9,0,0,0,8,0,7
Closure-162,0,0,0,5,0,3,7,2,3,0,1,1,0,0,0,0,0,0
Closure-163,3,0,0,6,0,2,6,1,4,0,1,0,0,0,0,0,0,0
Closure-164,0,0,0,8,0,11,14,1,12,0,1,0,0,0,0,1,0,0
Closure-165,1,0,0,24,0,12,29,13,0,0,12,4,0,0,0,4,0,0
Closure-167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-169,10,0,0,31,0,11,22,10,0,0,10,2,0,0,0,1,0,0
Closure-171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-174,3,0,0,13,0,79,19,1,17,0,1,0,0,0,0,0,0,0
Closure-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-21,3,0,0,19,0,9,21,11,0,0,9,1,0,0,0,0,0,6
Closure-24,1,0,0,21,0,32,62,32,0,0,15,15,0,0,0,0,0,1
Closure-25,3,0,0,7,0,2,9,3,2,0,3,1,0,0,0,1,0,0
Closure-26,0,0,2,23,0,30,42,20,20,0,2,0,0,0,0,0,0,0
Closure-27,3,0,0,6,0,7,8,0,5,0,2,1,0,0,0,0,0,0
Closure-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-30,1,0,0,3,1,1,5,2,2,0,1,0,0,0,0,0,0,0
Closure-32,3,0,0,5,0,2,3,0,1,0,2,0,0,0,0,1,0,0
Closure-34,0,0,0,15,0,25,21,1,14,0,4,2,0,0,0,1,0,1
Closure-37,2,0,0,10,0,8,8,3,4,0,1,0,0,0,0,1,0,0
Closure-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-4,6,0,0,24,0,38,19,10,1,0,8,0,0,0,0,2,0,0
Closure-41,4,0,1,27,0,34,10,1,3,0,5,0,1,0,0,3,0,0
Closure-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-45,2,0,0,37,0,56,17,0,16,0,1,0,0,0,0,0,0,0
Closure-47,4,0,0,11,0,45,38,18,19,0,1,0,0,0,0,0,0,0
Closure-49,5,0,0,6,0,7,44,6,8,0,1,29,0,0,0,0,0,0
Closure-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-51,3,0,0,6,0,1,8,2,4,0,1,1,0,0,0,0,0,0
Closure-53,0,0,0,5,0,1,7,2,1,0,3,1,0,0,0,0,0,0
Closure-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-6,4,0,0,8,0,3,7,2,1,0,3,1,0,0,0,0,0,0
Closure-60,3,0,0,19,0,31,28,2,16,0,9,1,0,0,0,7,0,0
Closure-64,2,0,0,8,2,14,9,3,0,0,5,1,0,0,0,1,0,0
Closure-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-74,1,0,1,36,0,52,11,6,0,0,5,0,0,0,0,0,0,0
Closure-75,0,0,0,32,0,31,38,19,0,0,19,0,0,0,0,0,0,0
Closure-76,2,0,0,11,0,5,13,6,0,0,7,0,0,0,0,0,0,0
Closure-79,1,0,0,13,0,4,11,1,5,0,3,0,0,2,0,3,0,0
Closure-80,2,0,0,9,0,3,7,1,3,0,2,1,0,0,0,1,0,0
Closure-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-98,2,0,0,7,0,14,13,6,5,0,1,1,0,0,0,0,0,0
Closure-99,1,0,0,6,1,53,29,27,1,0,1,0,0,0,0,1,0,0
Codec-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Codec-11,2,0,0,4,0,136,50,0,49,0,1,0,0,0,0,0,0,0
Codec-12,0,0,0,10,0,17,16,8,7,0,0,1,0,0,0,0,0,0
Codec-13,0,0,0,5,0,5,13,4,5,0,3,1,0,0,0,0,0,0
Codec-14,3,1,1,12,1,0,3,1,0,0,2,0,0,0,0,1,0,0
Codec-6,0,0,3,13,0,4,13,4,7,0,1,1,0,0,0,0,0,0
Codec-8,0,0,0,4,0,1,6,1,3,0,1,1,0,0,0,0,0,0
Collections-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-11,0,0,0,4,0,1,6,1,3,0,1,1,0,0,0,0,0,0
Compress-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-29,11,0,0,18,0,24,20,9,4,0,6,1,0,0,0,0,0,0
Compress-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-34,0,0,1,6,0,2,8,3,1,0,3,1,0,0,0,0,0,0
Compress-35,2,0,0,7,0,1,5,0,1,0,3,1,0,0,0,1,0,0
Compress-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress-47,0,0,0,7,0,5,14,4,8,0,1,1,0,0,0,0,0,0
Compress-6,0,0,0,3,0,1,5,1,2,0,1,1,0,0,0,0,0,0
Compress-9,0,0,0,6,0,9,4,2,0,0,2,0,0,0,0,0,0,0
Csv-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csv-16,0,0,0,2,1,5,8,2,4,0,1,1,0,0,0,0,0,0
Csv-7,0,0,0,4,0,2,7,2,3,0,1,1,0,0,0,0,0,0
Csv-8,0,0,0,5,0,3,7,2,3,0,1,1,0,0,0,0,0,0
Gson-1,0,0,0,7,1,3,8,3,1,0,3,1,0,0,0,0,0,0
Gson-14,1,0,0,9,0,8,13,5,0,0,7,1,0,0,0,0,0,0
Gson-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gson-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gson-7,0,0,0,4,0,3,4,1,2,0,1,0,0,0,0,1,0,0
Gson-8,1,0,0,3,0,4,4,2,1,0,1,0,0,0,0,0,0,0
Gson-9,2,0,0,18,0,10,32,18,5,0,2,7,0,0,0,0,0,9
JacksonCore-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonCore-10,2,6,0,14,0,16,47,14,12,2,2,4,6,4,3,0,0,1
JacksonCore-12,1,0,0,6,0,2,7,2,1,0,3,1,0,0,0,0,0,0
JacksonCore-16,0,0,0,6,0,2,7,2,1,0,3,1,0,0,0,0,0,0
JacksonCore-17,1,0,0,4,0,1,6,2,2,0,1,1,0,0,0,0,0,0
JacksonCore-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonCore-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonCore-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonCore-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonCore-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonCore-24,0,0,0,15,0,14,12,6,1,0,4,1,0,0,0,0,0,1
JacksonCore-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-103,2,0,0,22,0,55,34,17,0,0,17,0,0,0,0,0,0,0
JacksonDatabind-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-108,1,0,0,24,0,27,29,13,0,0,16,0,0,0,0,5,0,0
JacksonDatabind-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-110,3,0,0,9,0,23,17,7,7,0,1,0,1,1,0,0,0,1
JacksonDatabind-111,2,0,0,6,0,2,5,1,4,0,0,0,0,0,0,2,0,0
JacksonDatabind-13,4,0,0,7,0,4,10,4,3,0,3,0,0,0,0,0,0,0
JacksonDatabind-14,3,0,0,6,0,14,25,13,10,0,0,1,0,1,0,0,0,1
JacksonDatabind-15,1,0,0,6,0,1,6,2,0,0,1,0,1,2,0,0,2,1
JacksonDatabind-18,2,0,0,23,0,41,37,19,0,0,18,0,0,0,0,0,0,5
JacksonDatabind-20,0,0,0,8,0,3,10,3,4,0,1,1,0,1,0,11,0,1
JacksonDatabind-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-22,2,0,0,11,0,9,18,7,9,0,1,1,0,0,0,1,0,0
JacksonDatabind-23,9,0,0,15,0,16,16,4,5,0,1,6,0,0,0,3,0,0
JacksonDatabind-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-29,0,0,0,11,0,27,15,6,7,0,1,1,0,0,0,2,0,0
JacksonDatabind-3,0,0,0,4,0,1,5,0,3,0,1,1,0,0,0,1,0,0
JacksonDatabind-30,0,0,0,5,0,1,4,2,2,0,0,0,0,0,0,2,0,1
JacksonDatabind-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-36,0,0,1,27,0,108,31,1,23,0,1,6,0,0,0,0,0,0
JacksonDatabind-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-41,3,0,0,5,0,1,5,2,0,0,3,0,0,0,0,0,0,0
JacksonDatabind-43,1,0,0,14,0,4,12,4,5,0,2,1,0,0,0,3,0,0
JacksonDatabind-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-52,0,0,0,6,0,2,7,1,3,1,1,1,0,0,0,3,0,0
JacksonDatabind-53,3,0,0,7,0,1,5,1,0,0,4,0,0,0,0,0,0,0
JacksonDatabind-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-56,0,0,0,3,0,1,5,1,2,0,1,1,0,0,0,1,0,0
JacksonDatabind-59,0,0,0,38,0,47,17,10,7,0,0,0,0,0,0,8,0,3
JacksonDatabind-6,1,0,0,11,0,12,12,0,4,0,5,3,0,0,0,0,0,0
JacksonDatabind-60,0,0,0,6,0,1,9,2,5,0,1,1,0,0,0,1,0,0
JacksonDatabind-61,0,0,0,7,0,2,11,2,0,0,7,1,0,1,0,0,0,0
JacksonDatabind-65,1,0,0,5,0,1,7,2,1,0,3,1,0,0,0,0,0,0
JacksonDatabind-66,3,0,0,12,0,3,14,4,0,0,7,1,0,2,0,0,0,2
JacksonDatabind-68,0,5,0,27,0,61,53,34,19,0,0,0,0,0,0,3,0,2
JacksonDatabind-69,2,0,0,14,0,27,75,23,31,0,0,20,0,1,0,0,0,1
JacksonDatabind-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-73,1,0,0,19,0,22,19,11,0,0,8,0,0,0,0,4,0,0
JacksonDatabind-75,2,1,0,24,0,71,15,8,0,0,7,0,0,0,0,6,0,0
JacksonDatabind-77,0,0,0,7,0,0,3,1,0,0,2,0,0,0,0,1,0,0
JacksonDatabind-78,1,0,0,3,1,0,3,1,0,0,2,0,0,0,0,1,0,0
JacksonDatabind-79,1,0,0,7,0,5,9,5,3,0,1,0,0,0,0,4,0,0
JacksonDatabind-8,0,0,0,6,0,1,7,2,1,0,3,1,0,0,0,0,0,0
JacksonDatabind-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind-87,1,0,0,7,0,8,10,4,2,0,3,1,0,0,0,0,0,0
JacksonDatabind-90,0,0,0,14,0,13,10,1,8,0,0,1,0,0,0,2,0,4
JacksonDatabind-94,1,0,0,11,0,11,14,5,1,0,7,1,0,0,0,1,0,0
JacksonDatabind-95,0,0,0,4,0,2,7,2,3,0,1,1,0,0,0,0,0,0
JacksonXml-1,0,0,0,18,2,22,10,1,2,0,7,0,0,0,0,1,0,0
JacksonXml-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonXml-6,4,0,0,11,0,42,21,11,0,0,4,6,0,0,0,0,0,0
Jsoup-11,0,0,0,13,0,27,20,0,18,0,1,1,0,0,0,0,0,0
Jsoup-12,1,0,0,12,0,35,37,16,15,0,1,1,4,0,0,1,0,0
Jsoup-14,1,0,0,20,0,28,41,17,15,0,1,8,0,0,0,0,0,8
Jsoup-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-18,0,0,0,33,0,35,17,11,5,0,1,0,0,0,0,1,0,2
Jsoup-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-22,0,0,0,17,0,29,20,3,12,0,4,1,0,0,0,0,0,0
Jsoup-23,0,0,0,6,0,4,11,3,4,0,1,3,0,0,0,0,0,1
Jsoup-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-3,0,0,0,20,0,83,64,34,25,0,5,0,0,0,0,0,0,3
Jsoup-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-4,0,0,1,10,0,3,4,1,2,0,1,0,0,0,0,0,0,0
Jsoup-42,0,0,0,4,0,1,8,1,3,0,1,1,2,0,0,0,0,0
Jsoup-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-56,0,0,0,57,3,16,55,0,54,0,1,0,0,0,0,0,0,48
Jsoup-58,0,0,0,8,0,19,27,11,12,0,2,1,0,1,0,0,0,1
Jsoup-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-60,0,0,0,10,0,23,23,11,8,0,2,2,0,0,0,0,0,1
Jsoup-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-65,0,0,0,19,0,26,18,8,2,0,7,1,0,0,0,2,0,1
Jsoup-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-67,1,0,1,5,0,2,6,1,3,0,1,1,0,0,0,0,0,0
Jsoup-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-71,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-73,0,0,0,6,0,6,7,2,1,0,3,1,0,0,0,0,0,0
Jsoup-74,0,0,0,10,0,5,10,3,6,0,0,1,0,0,0,0,0,0
Jsoup-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup-81,0,0,0,7,0,133,95,47,46,0,2,0,0,0,0,0,0,0
Jsoup-83,0,0,0,26,0,24,4,2,1,0,1,0,0,0,0,0,0,0
Jsoup-87,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,1
Jsoup-91,0,0,0,19,0,21,19,9,0,0,9,1,0,0,0,0,0,0
Jsoup-92,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
JxPath-1,0,0,0,54,0,62,55,34,0,0,21,0,0,0,0,0,0,3
JxPath-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath-13,1,0,0,7,0,9,12,6,1,0,4,1,0,0,0,0,0,0
JxPath-15,4,0,0,11,0,3,11,4,5,0,1,1,0,0,0,0,0,0
JxPath-16,0,0,0,4,0,2,6,2,2,0,1,1,0,0,0,0,0,0
JxPath-17,4,0,0,7,0,3,8,3,3,0,1,1,0,0,0,0,0,0
JxPath-18,0,0,1,51,0,59,90,34,36,0,20,0,0,0,0,1,0,0
JxPath-19,0,0,0,7,0,2,7,1,1,0,4,1,0,0,0,1,0,0
JxPath-2,3,0,0,8,0,3,7,2,1,0,3,1,0,0,0,0,0,0
JxPath-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath-3,0,0,0,63,0,106,44,21,19,0,4,0,0,0,0,6,0,0
JxPath-4,1,0,0,48,0,56,31,1,0,0,16,14,0,0,0,9,0,0
JxPath-7,2,0,0,8,1,8,8,5,1,0,1,1,0,0,0,0,0,0
JxPath-9,0,0,0,26,0,25,38,17,14,0,6,1,0,0,0,0,0,0
Lang-13,0,1,0,5,0,8,19,7,8,0,1,3,0,0,0,0,0,0
Lang-15,2,0,0,8,0,34,74,33,29,0,2,10,0,0,0,0,0,8
Lang-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang-20,0,0,0,14,0,25,27,10,12,0,2,1,0,1,1,3,0,1
Lang-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang-27,0,0,0,5,0,1,6,1,1,0,3,1,0,0,0,0,0,0
Lang-30,3,0,0,13,0,27,24,10,10,0,1,3,0,0,0,0,0,0
Lang-32,0,0,0,5,0,13,11,5,5,0,1,0,0,0,0,0,0,0
Lang-34,0,0,0,17,0,46,18,10,7,0,1,0,0,0,0,0,0,0
Lang-35,0,0,0,6,0,2,8,2,4,0,1,1,0,0,0,3,0,0
Lang-36,1,0,1,9,0,7,14,5,0,0,6,3,0,0,0,0,0,0
Lang-4,1,1,0,4,0,1,8,0,6,0,1,1,0,0,0,0,0,0
Lang-41,4,0,0,5,0,2,8,1,5,0,1,1,0,0,0,0,0,0
Lang-46,0,0,0,7,0,24,13,6,5,0,1,0,0,1,0,0,0,1
Lang-47,0,0,0,2,0,2,4,1,2,0,1,0,0,0,0,0,0,0
Lang-5,0,0,0,5,0,0,3,1,1,0,1,0,0,0,0,0,0,0
Lang-50,0,0,0,1,0,3,6,1,3,0,1,1,0,0,0,0,0,0
Lang-56,1,0,0,2,0,2,4,1,1,0,1,1,0,0,0,0,0,0
Lang-60,0,0,0,2,0,2,5,1,2,0,1,1,0,0,0,1,0,0
Lang-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang-63,0,0,0,3,0,3,7,2,3,0,1,1,0,0,0,0,0,0
Lang-64,0,0,0,10,0,4,13,5,0,0,7,1,0,0,0,0,0,0
Lang-65,0,0,0,6,0,34,37,19,17,0,1,0,0,0,0,0,0,0
Lang-7,0,0,0,4,0,1,5,1,2,0,1,1,0,0,0,0,0,0
Lang-8,0,0,1,6,0,1,7,2,0,0,4,1,0,0,0,0,0,0
Math-1,0,0,0,4,0,4,10,3,4,0,2,1,0,0,0,0,0,0
Math-100,1,0,0,2,0,2,4,1,1,0,1,1,0,0,0,0,0,0
Math-106,0,0,0,5,0,0,2,0,1,0,1,0,0,0,0,0,0,0
Math-12,1,0,0,2,0,1,6,1,3,0,1,1,0,0,0,0,0,0
Math-14,0,0,0,7,0,2,9,3,4,0,1,1,0,0,0,0,0,0
Math-15,1,0,0,1,0,1,4,1,1,0,1,1,0,0,0,0,0,0
Math-16,2,0,0,4,0,6,12,3,7,0,1,1,0,0,0,0,0,0
Math-18,1,0,0,23,0,116,38,19,0,0,19,0,0,0,0,0,0,0
Math-21,3,0,0,3,0,1,8,1,5,0,1,1,0,0,0,0,0,0
Math-22,0,0,0,4,0,2,6,2,2,0,1,1,0,0,0,0,0,0
Math-23,0,0,0,3,0,4,8,3,4,0,1,0,0,0,0,0,0,0
Math-24,2,0,0,3,0,4,5,2,2,0,1,0,0,0,0,0,0,0
Math-26,2,0,0,9,0,22,34,15,15,0,0,4,0,0,0,0,0,1
Math-28,2,1,0,3,0,2,5,1,3,0,1,0,0,0,0,2,0,0
Math-29,0,0,0,2,0,2,6,2,2,0,1,1,0,0,0,0,0,0
Math-31,4,0,0,5,0,7,14,4,5,0,2,3,0,0,0,0,0,0
Math-35,0,0,0,3,0,2,6,2,1,0,2,1,0,0,0,0,0,0
Math-36,0,0,0,2,0,6,9,4,3,0,1,1,0,0,0,0,0,0
Math-37,0,0,0,10,0,5,10,4,0,0,5,1,0,0,0,0,0,0
Math-38,2,0,0,41,0,62,30,15,0,0,15,0,0,0,0,8,0,0
Math-4,0,0,0,5,0,2,5,1,2,0,1,1,0,0,0,0,0,0
Math-44,2,0,0,3,0,79,82,40,41,0,1,0,0,0,0,0,0,0
Math-46,2,0,0,3,0,2,4,1,2,0,1,0,0,0,0,0,0,0
Math-47,0,0,0,3,0,2,3,1,1,0,1,0,0,0,0,0,0,0
