bug_id,total_input_token,total_output_token,time_duration,unread_instruction
Closure-75,22393656,17880,1365159,0
Closure-76,1517279,7081,698498,0
Closure-79,4741916,4937,250376,0
Closure-80,1266093,1392,82242,0
Closure-84,10205,14,3855,1
Closure-85,10205,11,3151,1
Closure-89,10204,6,2801,1
Closure-90,10217,6,3215,1
Closure-98,1989018,7821,229882,0
Closure-99,4732606,17615,907602,0
Closure-9,9901,6,3133,1
Codec-11,22175610,117988,1588972,0
Codec-12,2734208,6396,175920,0
Codec-13,594981,1926,83165,0
Codec-14,677857,1175,91850,0
Codec-1,9123,6,2490,1
Codec-6,1046830,4012,121532,0
Codec-8,237291,619,42910,0
Collections-25,10484,8,3584,1
Compress-10,9923,7,2552,1
Compress-11,171135,1229,49998,0
Compress-20,9986,6,2886,1
Compress-22,10000,11,2916,1
Compress-29,6674171,12997,386015,0
Compress-2,9901,6,3308,1
Compress-33,9994,14,3879,1
Compress-34,396822,2314,81074,0
Compress-35,535371,1491,432617,0
Compress-39,0,0,0,1
Compress-3,10083,5,2687,1
Compress-40,10015,22,4122,1
Compress-42,9991,8,3156,1
Compress-43,9969,11,3798,1
Compress-47,863043,3928,110427,0
Compress-4,10083,5,4432,1
Compress-6,144458,963,33248,0
Compress-9,363286,2476,82760,0
Csv-13,8957,6,2746,1
Csv-16,585276,9024,145124,0
Csv-7,322253,899,44803,0
Csv-8,410739,1250,52210,0
Gson-14,2556899,6070,155577,0
Gson-1,437513,2409,78273,0
Gson-3,9915,6,2633,1
Gson-4,9902,8,2679,1
Gson-7,344833,4179,470610,0
Gson-8,214045,1462,44432,0
Gson-9,7432567,163534,1740429,0
JacksonCore-10,4850360,8531,713758,0
JacksonCore-12,595394,1879,57603,0
JacksonCore-16,273544,1451,348740,0
JacksonCore-17,0,0,0,1
JacksonCore-18,10443,19,2863,1
JacksonCore-19,10443,11,2450,1
JacksonCore-1,10543,6,2459,1
JacksonCore-21,10370,6,3376,1
JacksonCore-22,10357,15,2842,1
JacksonCore-24,2675484,8649,189014,0
JacksonCore-2,10522,10,2482,1
JacksonCore-9,10373,11,2196,1
JacksonDatabind-103,25317730,15108,1572306,0
JacksonDatabind-104,10473,11,2671,1
JacksonDatabind-105,10473,11,2742,1
JacksonDatabind-108,18943829,44239,1158542,0
JacksonDatabind-109,10419,11,2639,1
JacksonDatabind-10,10379,15,2781,1
JacksonDatabind-110,2306249,13281,227870,0
JacksonDatabind-111,1189068,1599,76913,0
JacksonDatabind-13,1155530,2382,92571,0
JacksonDatabind-14,3647693,15633,636800,0
JacksonDatabind-15,653484,1853,64802,0
JacksonDatabind-18,24452513,32011,1366300,0
JacksonDatabind-20,0,0,0,1
JacksonDatabind-21,10341,6,2440,1
JacksonDatabind-22,3198304,10628,208323,0
JacksonDatabind-23,4590681,6097,237511,0
JacksonDatabind-25,10331,52,2782,0
JacksonDatabind-29,3418085,14332,236812,0
JacksonDatabind-30,228995,1364,44837,0
JacksonDatabind-31,10336,7,2582,1
JacksonDatabind-32,27180,78,6724,0
JacksonDatabind-36,26149053,47464,1489843,0
JacksonDatabind-38,10355,6,20722,1
JacksonDatabind-3,386776,1044,36622,0
JacksonDatabind-41,516376,768,44816,0
JacksonDatabind-43,1933937,2933,122108,0
JacksonDatabind-48,20729,24,4073,1
JacksonDatabind-4,10396,6,2960,1
JacksonDatabind-50,10362,9,2304,1
JacksonDatabind-52,774947,1819,66079,0
JacksonDatabind-53,805981,859,50487,0
JacksonDatabind-54,10343,9,2159,1
JacksonDatabind-55,10357,15,2652,1
JacksonDatabind-56,326021,1187,34949,0
JacksonDatabind-59,20781230,35776,1367651,0
JacksonDatabind-60,864040,1308,56840,0
JacksonDatabind-61,1315547,1524,62155,0
JacksonDatabind-65,726729,1260,47645,0
JacksonDatabind-66,2783839,3211,128861,0
JacksonDatabind-68,19490858,41556,1501942,0
JacksonDatabind-69,19037138,80904,1158050,0
JacksonDatabind-6,2653956,10638,254219,0
JacksonDatabind-72,10357,22,2601,1
JacksonDatabind-73,10669194,15693,553136,0
JacksonDatabind-75,25681983,47372,1564044,0
JacksonDatabind-77,431018,559,34715,0
JacksonDatabind-78,289018,430,27535,0
JacksonDatabind-79,988800,3068,87885,0
JacksonDatabind-80,10357,13,2875,1
JacksonDatabind-81,10353,9,2913,1
JacksonDatabind-87,1715158,3034,103960,0
JacksonDatabind-8,858641,1391,55032,0
JacksonDatabind-90,5752209,74591,616310,0
JacksonDatabind-94,3497877,4476,181894,0
JacksonDatabind-95,557818,1232,47362,0
JacksonXml-1,6665276,10271,503212,0
JacksonXml-2,9677,9,2514,1
JacksonXml-6,6533922,14181,423404,0
Jsoup-11,3585180,9446,394071,0
Jsoup-12,7732209,23458,1556139,0
Jsoup-14,17353810,122225,1394327,0
Jsoup-16,9347,6,3007,1
Jsoup-18,15672169,39320,1176590,0
Jsoup-21,9365,9,2824,1
Jsoup-22,5045449,7658,348172,0
Jsoup-23,1051279,2698,83349,0
Jsoup-28,9406,6,3825,1
Jsoup-29,9406,10,3003,1
Jsoup-30,9433,9,3248,1
Jsoup-31,9433,6,4100,1
Jsoup-36,9470,11,4171,1
Jsoup-3,24554970,67115,1479622,0
Jsoup-42,311990,4696,77981,0
Jsoup-4,1037374,7150,897600,0
Jsoup-50,9609,6,2779,1
Jsoup-52,9624,6,3210,1
Jsoup-56,25547868,49612,1582923,0
Jsoup-58,5206079,6588,786482,0
Jsoup-59,9678,6,2824,1
Jsoup-60,3204895,9858,306070,0
Jsoup-63,9770,6,4102,1
Jsoup-65,11026311,52172,1218624,0
Jsoup-66,9819,6,3817,1
Jsoup-67,366775,1657,80560,0
Jsoup-71,48282,139,14894,0
Jsoup-73,462576,2065,80891,0
Jsoup-74,911148,2590,101142,0
Jsoup-78,10119,9,3214,1
Jsoup-79,10050,6,4238,1
Jsoup-7,9041,15,3089,1
Jsoup-81,23595601,28211,1344191,0
Jsoup-83,8565047,15856,584770,0
Jsoup-87,130295,1052,30748,0
Jsoup-91,4774107,7616,358620,0
Jsoup-92,40822,253,14195,0
JxPath-11,10251,16,3395,1
JxPath-13,1160057,3178,109985,0
JxPath-15,791162,2502,93652,0
JxPath-16,252453,1610,37037,0
JxPath-17,489798,1554,74115,0
JxPath-18,25879363,22160,1369372,0
JxPath-19,456726,1674,63491,0
JxPath-1,23307630,21162,1604395,0
JxPath-20,10204,6,3164,1
JxPath-2,496896,2040,104253,0
JxPath-3,22222300,19233,1564269,0
JxPath-4,25721716,13510,1620087,0
JxPath-7,776338,6982,131590,0
JxPath-9,6435987,18204,1235508,0
Lang-13,925407,5592,163159,0
Lang-15,22981444,103652,1250935,0
Lang-19,9894,11,3116,1
Lang-20,5517006,10371,309189,0
Lang-23,9866,6,3696,1
Lang-27,184073,1095,34571,0
Lang-30,10999221,14200,570101,0
Lang-32,1309680,4084,101430,0
Lang-34,11577014,16444,648233,0
Lang-35,734571,1581,54158,0
Lang-36,1492213,3036,130428,0
Lang-41,562510,2076,74609,0
Lang-46,1951024,4949,146591,0
Lang-47,204242,997,26529,0
Lang-4,235434,980,56555,0
Lang-50,263346,1289,32232,0
Lang-56,212064,765,24183,0
Lang-5,106920,336,35885,0
Lang-60,266264,763,24425,0
Lang-62,0,0,0,1
Lang-63,368324,1476,74944,0
Lang-64,949477,4271,109346,0
Lang-65,8818024,32443,1339311,0
Lang-7,287123,706,33012,0
Lang-8,454226,1072,48153,0
Math-100,141484,1128,23856,0
Math-106,173522,1613,72017,0
Math-12,148769,724,26993,0
Math-14,447746,1777,59516,0
Math-15,239169,547,19980,0
Math-16,1358928,3016,110646,0
Math-18,25992136,38933,1482854,0
Math-1,570752,2558,77852,0
Math-21,303780,3710,90702,0
Math-22,213124,900,36678,0
Math-23,276619,1918,49477,0
Math-24,236882,1455,43907,0
Math-26,4324405,13945,729981,0
Math-28,417617,3177,94088,0
Math-29,207874,1674,36015,0
Math-31,856142,5216,160738,0
Math-35,177511,910,28765,0
Math-36,392228,2430,63576,0
Math-37,1911849,2558,131441,0
Math-38,25303461,11497,1556951,0
Math-44,10768696,20025,734043,0
Math-46,248696,709,47962,0
Math-47,230569,586,30061,0
Math-49,184082,969,42399,0
Math-4,212979,1622,33306,0
Math-52,94258,314,19807,0
Math-54,1096440,2338,100922,0
Math-55,2497610,5610,442159,0
Math-61,519685,1193,94370,0
Math-62,129348,547,22965,0
Math-64,1970211,4270,184597,0
Math-65,172404,1146,32209,0
Math-66,8527201,18788,955354,0
Math-68,22221019,34948,1430417,0
Math-6,5624068,6226,194773,0
Math-71,26042691,47122,1388755,0
Math-72,204355,2059,32247,0
Math-76,16491448,31217,795511,0
Math-77,237273,954,27511,0
Math-78,2360376,8716,1277646,0
Math-7,10097440,12250,504318,0
Math-81,26917787,24131,1524879,0
Math-83,546246,3840,461506,0
Math-84,887574,5772,132236,0
Math-86,200175,988,49858,0
Math-90,818086,6331,140322,0
Math-92,406672,2346,43578,0
Math-93,606897,1950,65493,0
Math-98,411507,811,28469,0
Math-99,458073,1243,49461,0
Mockito-10,4337311,16115,330990,0
Mockito-14,140219,491,23147,0
Mockito-15,231558,1635,64764,0
Mockito-16,23077748,34418,1248179,0
Mockito-17,1424396,5327,116002,0
Mockito-19,6051302,23347,501961,0
Mockito-20,2562822,5948,162603,0
Mockito-21,1107038,11387,150364,0
Mockito-23,4059373,7047,1185019,0
Mockito-25,6102286,15898,857083,0
Mockito-2,2472592,3940,110000,0
Mockito-30,317222,2989,51241,0
Mockito-31,193294,2655,34756,0
Mockito-32,380475,2307,43923,0
Mockito-35,1660743,4996,418969,0
Mockito-36,122513,426,21215,0
Mockito-3,1340256,7900,646733,0
Mockito-4,2933265,72933,1270042,0
Mockito-6,2104089,18930,202101,0
Mockito-9,276347,2247,48240,0
Time-10,324468,1325,40142,0
Time-12,792425,2413,63666,0
Time-13,1212441,4679,116124,0
Time-1,25675575,32185,1507651,0
Time-23,22524101,12089,1385347,0
Time-26,552198,1257,110788,0
Time-2,1306545,6959,512118,0
Time-3,1565168,4139,102245,0
Time-6,10324050,18115,1080068,0
Time-9,1172349,2789,106942,0
