bug,edit,exit_plan_mode,glob,list_directory,read_file,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other,search_file_content,task,todo_write,web_fetch,write_file
Closure_139,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_140,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_141,3,0,4,0,16,9,0,2,0,2,0,0,0,5,4,0,3,0,0
Closure_142,6,0,1,0,11,17,0,0,0,3,0,0,0,14,7,0,1,0,2
Closure_143,4,0,0,1,10,20,3,8,0,2,4,0,1,2,8,0,0,0,1
Closure_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_147,0,0,2,0,6,4,1,1,0,2,0,0,0,0,0,0,0,0,0
Closure_148,3,0,0,0,16,8,1,3,0,2,1,0,0,1,7,0,0,0,1
Closure_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_151,4,0,1,0,9,11,3,2,0,2,0,0,0,4,4,0,1,0,0
Closure_153,0,0,0,0,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0
Closure_154,0,0,0,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0
Closure_155,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_157,5,1,1,0,13,31,5,8,0,2,0,0,1,15,6,0,2,0,0
Closure_158,1,0,2,0,12,6,0,0,0,2,0,0,0,4,7,0,0,0,0
Closure_16,5,0,1,0,9,12,3,5,0,4,0,0,0,0,3,0,0,0,0
Closure_160,6,0,5,0,12,27,2,7,0,3,4,0,0,11,1,0,0,0,3
Closure_162,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_163,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_164,0,0,4,0,11,5,1,2,0,2,0,0,0,0,2,0,1,0,0
Closure_165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_167,5,0,2,0,16,32,4,6,0,1,0,0,0,21,8,0,2,0,1
Closure_169,6,0,4,0,11,16,5,7,0,2,0,0,0,2,9,0,0,0,0
Closure_171,5,0,0,0,13,16,3,6,0,1,0,3,0,3,4,0,0,0,0
Closure_173,7,0,0,0,9,21,6,6,0,1,5,2,0,1,6,0,0,0,1
Closure_174,0,0,0,0,3,5,1,1,0,2,0,0,0,1,2,0,0,0,0
Closure_175,9,0,3,0,13,30,0,2,0,1,0,0,0,27,4,0,1,0,0
Closure_176,5,1,0,0,7,16,3,6,0,2,5,0,0,0,2,0,0,0,0
Closure_21,7,0,0,0,8,14,3,5,0,3,0,0,0,3,4,0,2,0,0
Closure_24,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_25,11,0,0,0,15,17,6,10,0,1,0,0,0,0,14,0,0,0,0
Closure_26,2,0,2,0,10,3,0,1,0,2,0,0,0,0,2,0,0,0,0
Closure_27,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_29,0,0,3,0,6,5,1,2,0,2,0,0,0,0,0,0,0,0,0
Closure_3,0,0,0,0,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0
Closure_30,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_32,0,0,0,2,5,3,0,1,0,2,0,0,0,0,0,0,0,0,0
Closure_34,9,0,0,0,15,19,4,6,0,3,5,0,0,1,2,0,0,0,0
Closure_37,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_39,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_4,0,0,0,0,3,2,0,0,0,2,0,0,0,0,1,0,0,0,0
Closure_41,0,0,6,0,13,13,1,2,0,1,0,0,0,9,9,0,0,0,3
Closure_43,3,0,0,0,8,17,2,9,0,3,0,0,0,3,6,0,0,0,0
Closure_45,8,0,2,0,9,38,10,9,0,2,4,0,0,13,3,0,0,0,1
Closure_47,1,0,5,0,10,2,0,0,0,2,0,0,0,0,2,0,0,0,0
Closure_49,0,0,0,0,11,5,0,3,0,2,0,0,0,0,3,0,0,0,0
Closure_50,11,0,0,0,13,25,6,10,0,5,4,0,0,0,2,0,0,0,0
Closure_51,3,0,3,0,8,10,0,7,0,1,0,2,0,0,1,0,0,0,0
Closure_53,2,0,1,0,7,6,1,3,0,1,1,0,0,0,1,0,0,0,0
Closure_54,1,1,3,0,10,9,1,1,0,2,0,0,0,5,6,0,1,0,0
Closure_6,3,0,3,0,10,14,3,7,0,2,1,0,0,1,7,0,0,0,0
Closure_60,5,0,2,5,20,10,3,3,0,4,0,0,0,0,7,0,0,0,0
Closure_64,6,0,0,0,22,16,0,0,0,1,0,0,0,15,8,0,0,0,1
Closure_68,2,0,2,0,12,7,1,4,0,2,0,0,0,0,6,0,0,0,0
Closure_72,3,0,0,0,11,9,0,2,0,1,0,0,0,6,3,0,2,0,1
Closure_74,7,0,2,0,4,22,6,13,0,2,1,0,0,0,1,0,0,0,0
Closure_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_76,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_79,0,0,1,0,6,7,0,2,0,2,0,0,0,3,1,0,0,0,0
Closure_80,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_84,3,0,1,0,7,9,4,3,0,2,0,0,0,0,4,0,0,0,0
Closure_85,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_89,8,0,2,0,14,13,0,0,0,1,0,0,0,12,2,0,0,0,0
Closure_9,3,0,2,0,8,15,3,4,0,3,0,0,0,5,1,0,0,0,0
Closure_90,11,0,0,0,12,25,8,11,0,3,1,0,0,2,8,0,0,0,1
Closure_98,0,0,0,0,4,3,1,0,0,2,0,0,0,0,0,0,0,0,0
Closure_99,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Codec_1,3,0,2,0,12,14,2,5,0,3,1,0,0,3,1,0,0,0,0
Codec_11,3,0,2,0,6,18,2,6,0,1,0,2,0,7,1,0,0,0,1
Codec_12,4,0,0,0,13,17,3,9,0,1,0,1,0,3,6,0,0,0,1
Codec_13,1,0,2,0,4,13,0,0,0,1,0,0,0,12,0,0,1,0,1
Codec_14,1,0,1,10,10,12,0,0,0,2,0,0,0,10,4,0,2,0,2
Codec_6,6,0,3,0,11,22,0,0,0,2,0,0,0,20,0,0,0,0,4
Codec_8,6,0,1,0,19,17,0,0,0,1,0,0,0,16,5,0,1,0,1
Collections_25,1,0,0,0,8,8,0,0,0,1,0,0,0,7,2,0,1,0,0
Compress_10,3,0,0,10,8,17,0,0,0,2,0,0,0,15,4,0,0,0,2
Compress_11,1,0,0,0,8,11,0,0,0,2,0,0,0,9,2,0,0,0,0
Compress_2,11,0,0,12,8,18,3,12,0,1,0,0,0,2,0,0,1,0,4
Compress_20,3,0,5,0,13,15,2,6,0,2,2,0,0,3,1,0,0,0,0
Compress_22,5,0,0,0,4,9,1,2,0,1,0,0,0,5,2,0,2,0,1
Compress_29,6,0,0,9,10,13,2,5,0,1,0,0,1,4,1,0,3,0,1
Compress_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress_33,3,0,1,1,10,16,1,4,0,2,1,0,0,8,1,0,0,0,0
Compress_34,11,0,0,0,6,24,5,8,0,2,2,1,1,5,2,0,5,0,3
Compress_35,2,0,1,0,6,24,2,5,0,2,0,0,3,12,1,0,2,0,1
Compress_39,1,0,0,0,4,11,1,3,0,2,1,0,0,4,2,0,0,0,2
Compress_4,15,0,0,0,14,9,2,2,0,2,0,0,0,3,7,0,0,0,2
Compress_40,5,0,0,0,9,18,0,0,0,2,0,0,0,16,1,0,0,0,2
Compress_42,1,0,3,0,5,6,2,2,0,2,0,0,0,0,2,0,0,0,0
Compress_43,3,0,1,0,7,9,1,4,0,3,0,0,0,1,3,0,0,0,0
Compress_47,5,0,0,0,12,20,5,8,0,2,0,0,2,3,6,0,1,0,1
Compress_6,2,0,2,0,5,5,1,2,0,1,0,0,0,1,0,0,2,0,0
Compress_9,7,0,0,17,10,23,0,0,0,2,0,0,0,21,0,0,1,0,4
Csv_13,3,0,3,0,10,16,1,5,0,3,0,1,1,5,1,0,1,0,1
Csv_16,8,0,3,0,8,12,1,2,0,1,0,0,0,8,0,0,2,0,1
Csv_7,4,0,0,13,10,13,0,0,0,1,0,0,0,12,1,0,1,0,2
Csv_8,1,0,1,0,5,5,1,2,0,2,0,0,0,0,0,0,0,0,0
Gson_1,5,0,1,0,12,11,0,0,0,3,0,0,0,8,1,0,1,0,0
Gson_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gson_3,3,0,5,0,10,10,3,4,0,3,0,0,0,0,2,0,0,0,1
Gson_4,9,0,4,0,20,24,3,10,0,2,2,0,0,7,1,0,2,0,2
Gson_7,2,0,0,0,16,13,1,9,0,1,0,0,0,2,9,0,0,0,0
Gson_8,10,0,0,0,7,32,0,1,0,3,0,0,0,28,4,0,3,0,2
Gson_9,6,1,1,0,14,22,2,6,0,2,1,1,0,10,2,0,0,0,3
JacksonCore_1,2,0,4,4,8,35,1,2,0,1,0,0,2,29,2,0,0,0,2
JacksonCore_10,4,0,0,13,11,15,2,6,0,2,0,0,1,4,5,0,0,0,2
JacksonCore_12,2,0,0,0,10,10,2,3,0,1,1,1,0,2,10,0,1,0,2
JacksonCore_16,7,0,1,0,10,12,0,2,0,3,0,0,0,7,2,0,4,1,0
JacksonCore_17,2,0,0,13,7,11,0,0,0,2,0,0,0,9,8,0,1,0,0
JacksonCore_18,3,0,0,10,9,23,0,0,0,2,0,0,0,21,4,0,4,0,3
JacksonCore_19,12,0,3,0,10,22,6,5,0,1,0,1,0,9,1,0,0,0,2
JacksonCore_2,7,0,2,0,15,25,4,9,0,4,3,0,1,4,7,0,1,0,3
JacksonCore_21,2,0,0,16,6,10,0,0,0,3,0,0,0,7,2,0,0,0,0
JacksonCore_22,8,0,4,0,9,17,3,6,0,2,0,0,0,6,1,1,0,0,0
JacksonCore_24,2,0,0,8,11,11,2,4,0,1,0,0,0,4,2,0,0,0,0
JacksonCore_9,1,0,1,0,5,6,1,4,0,1,0,0,0,0,1,0,0,0,0
JacksonDatabind_10,10,0,3,0,21,16,0,0,0,2,0,0,0,14,7,0,0,0,0
JacksonDatabind_103,13,0,0,0,21,35,0,2,0,2,0,0,1,30,10,0,3,0,4
JacksonDatabind_104,2,0,1,0,4,10,0,0,0,1,0,0,0,9,0,0,2,0,2
JacksonDatabind_105,6,0,6,1,18,25,0,0,0,2,0,0,0,23,7,0,2,0,0
JacksonDatabind_108,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
JacksonDatabind_109,0,0,0,0,5,5,1,2,0,2,0,0,0,0,1,0,0,0,0
JacksonDatabind_110,5,0,1,0,6,8,0,0,0,3,0,0,0,5,3,0,2,0,0
JacksonDatabind_111,6,0,0,0,8,22,0,0,0,2,0,0,0,20,1,0,3,0,1
JacksonDatabind_13,1,0,3,0,4,13,0,0,0,1,0,0,0,12,3,0,1,0,1
JacksonDatabind_14,4,0,0,0,3,17,0,0,0,2,0,0,0,15,1,0,2,0,0
JacksonDatabind_15,2,0,2,0,6,7,2,3,0,1,1,0,0,0,1,0,0,0,0
JacksonDatabind_18,9,0,0,8,12,13,0,0,0,1,0,0,0,12,2,0,0,0,0
JacksonDatabind_20,2,0,0,0,13,5,1,3,0,1,0,0,0,0,9,0,0,0,0
JacksonDatabind_21,5,0,1,0,16,21,0,0,0,1,0,0,0,20,7,0,1,0,2
JacksonDatabind_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind_23,0,0,0,0,3,3,0,0,0,2,0,0,0,1,1,0,0,0,0
JacksonDatabind_25,14,0,0,0,24,34,0,0,0,2,0,0,0,32,6,0,0,0,2
JacksonDatabind_29,10,0,0,0,15,25,6,8,0,4,3,0,2,2,4,0,3,0,1
JacksonDatabind_3,1,0,0,0,4,11,0,0,0,2,0,0,0,9,2,0,0,0,0
JacksonDatabind_30,10,0,7,1,22,19,0,0,0,1,0,0,0,18,9,1,3,0,3
JacksonDatabind_31,0,0,0,0,4,5,0,2,0,2,0,0,0,1,0,0,0,0,0
JacksonDatabind_32,0,0,0,0,4,5,0,2,0,2,0,0,0,1,0,0,0,0,0
JacksonDatabind_36,4,0,0,0,4,12,4,3,0,1,0,3,0,1,2,0,0,0,1
JacksonDatabind_38,7,0,0,0,17,26,0,0,0,3,0,0,0,23,2,0,0,0,1
JacksonDatabind_4,5,0,1,0,9,17,2,5,0,2,1,0,1,6,3,0,0,0,3
JacksonDatabind_41,3,0,2,0,12,29,1,3,0,3,0,0,0,22,0,0,0,0,1
JacksonDatabind_43,0,0,0,0,2,3,0,0,0,2,0,0,0,1,0,0,0,0,0
JacksonDatabind_48,5,0,0,3,9,18,0,0,0,1,0,0,0,17,1,0,1,0,0
JacksonDatabind_50,0,0,0,0,3,4,0,2,0,2,0,0,0,0,1,0,0,0,0
JacksonDatabind_52,10,0,2,0,14,19,5,8,0,1,0,0,0,5,4,0,0,0,4
JacksonDatabind_53,5,1,0,3,11,26,0,0,0,3,0,0,0,23,5,0,0,0,2
JacksonDatabind_54,8,0,0,1,9,19,1,2,0,3,0,0,1,12,2,0,3,0,4
JacksonDatabind_55,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
JacksonDatabind_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind_59,7,0,0,4,10,15,0,0,0,3,0,0,0,12,9,0,1,0,0
JacksonDatabind_6,6,0,3,0,8,21,5,13,0,2,0,1,0,0,1,0,4,0,0
JacksonDatabind_60,0,0,0,0,5,5,1,2,0,2,0,0,0,0,2,0,0,0,0
JacksonDatabind_61,4,0,0,1,11,11,1,0,0,1,0,0,0,9,3,0,2,0,1
JacksonDatabind_65,0,0,0,0,3,5,1,1,0,2,0,0,0,1,0,0,0,0,0
JacksonDatabind_66,6,0,1,0,12,16,0,2,0,1,0,0,0,13,5,0,0,0,2
JacksonDatabind_68,4,0,0,0,13,12,0,0,0,1,0,0,0,11,7,0,3,0,2
JacksonDatabind_69,3,0,0,0,7,14,0,0,0,1,0,0,0,13,2,0,0,0,3
JacksonDatabind_72,2,0,0,0,11,13,0,0,0,1,0,0,0,12,7,0,1,0,1
JacksonDatabind_73,14,0,1,0,24,28,0,0,0,2,0,0,0,26,10,0,1,0,0
JacksonDatabind_75,0,0,0,0,3,6,0,2,0,2,0,0,0,2,1,0,0,0,1
JacksonDatabind_77,3,0,0,4,12,10,0,0,0,2,0,0,0,8,9,0,0,0,0
JacksonDatabind_78,4,0,6,0,17,10,3,5,0,2,0,0,0,0,15,0,3,0,1
JacksonDatabind_79,4,0,1,0,16,16,0,0,0,2,0,0,0,14,8,0,0,0,0
JacksonDatabind_8,0,0,0,0,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0
JacksonDatabind_80,0,0,0,0,2,4,0,0,0,2,0,0,0,2,0,0,0,0,0
JacksonDatabind_81,0,0,0,1,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0
JacksonDatabind_87,1,0,0,0,10,6,0,0,0,1,0,0,0,5,1,0,0,0,0
JacksonDatabind_90,1,0,2,0,6,4,0,0,0,0,0,0,0,4,1,0,1,0,0
JacksonDatabind_94,5,0,0,0,11,10,0,0,0,2,0,0,0,8,2,0,0,0,1
JacksonDatabind_95,4,0,0,0,12,21,4,10,0,2,0,0,0,5,2,0,0,0,1
JacksonXml_1,4,0,1,0,16,13,1,5,0,3,0,0,0,4,1,0,0,0,2
JacksonXml_2,6,0,1,0,14,16,0,0,0,1,0,0,0,15,3,0,0,0,2
JacksonXml_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup_11,6,0,0,11,12,11,0,0,0,2,0,0,0,9,1,0,1,0,0
Jsoup_12,13,0,0,2,14,19,7,6,0,1,0,0,0,5,4,0,0,0,1
Jsoup_14,12,0,0,10,18,25,0,0,0,2,0,0,0,23,3,0,0,0,2
Jsoup_16,8,0,0,0,9,26,1,8,0,4,5,0,2,6,1,0,0,0,3
Jsoup_18,8,0,1,9,11,28,0,1,0,2,0,0,0,25,0,0,0,0,2
Jsoup_21,4,0,2,0,10,18,2,10,0,2,0,0,1,3,5,0,0,0,2
Jsoup_22,5,0,1,6,21,57,5,5,0,2,5,0,5,35,2,0,0,0,1
Jsoup_23,3,0,2,6,6,9,0,0,0,1,0,0,0,8,2,0,0,0,1
Jsoup_28,4,0,3,7,13,17,0,0,0,1,0,0,0,16,6,1,2,1,3
Jsoup_29,3,0,5,0,13,17,3,5,0,2,1,1,1,4,3,0,1,0,4
Jsoup_3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup_31,0,0,5,6,12,3,1,1,0,1,0,0,0,0,1,0,0,0,0
Jsoup_36,6,0,0,0,16,24,0,2,0,2,0,0,0,20,2,0,0,0,2
Jsoup_4,1,0,1,0,5,15,2,4,0,1,0,0,0,8,0,0,0,0,1
Jsoup_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup_50,7,0,1,0,9,22,6,9,0,2,2,0,0,3,1,0,0,0,0
Jsoup_52,13,1,4,0,26,30,0,2,0,1,0,0,0,27,3,1,1,0,6
Jsoup_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup_59,2,0,2,0,11,15,0,3,0,1,0,1,0,10,6,0,1,0,2
Jsoup_60,6,0,3,0,12,22,0,0,0,3,0,0,0,19,1,0,0,0,1
Jsoup_63,6,0,6,2,15,19,1,1,0,2,0,0,0,15,2,0,0,0,2
Jsoup_65,2,0,3,0,13,19,2,6,0,3,1,0,2,5,6,0,0,0,3
Jsoup_66,7,0,1,0,17,43,0,1,0,1,0,0,0,41,12,0,1,0,12
Jsoup_67,19,1,0,0,20,15,0,0,0,3,0,0,0,12,3,0,5,0,0
Jsoup_7,21,0,1,0,10,29,12,7,0,1,0,0,0,9,4,0,0,0,4
Jsoup_71,8,0,2,0,22,24,4,8,0,1,0,0,2,9,5,0,3,0,3
Jsoup_73,23,0,1,0,10,22,0,0,0,2,0,0,0,20,1,0,1,0,0
Jsoup_74,9,0,1,0,17,23,0,0,0,2,0,0,0,21,2,0,1,0,6
Jsoup_78,1,0,0,11,8,9,2,3,0,3,0,0,0,1,0,0,0,0,0
Jsoup_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup_81,2,0,0,0,7,17,0,0,0,1,0,0,0,16,3,0,1,0,2
Jsoup_83,2,0,0,6,11,15,2,5,0,1,1,0,0,6,4,0,0,0,1
Jsoup_87,9,0,0,12,18,20,0,0,0,1,0,0,0,19,8,0,0,0,4
Jsoup_91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jsoup_92,17,0,1,0,27,19,5,2,0,2,0,0,0,10,4,0,0,0,1
JxPath_1,1,0,3,0,12,20,3,7,0,1,3,0,0,6,6,0,0,0,7
JxPath_11,9,0,1,0,14,17,0,0,0,2,0,0,0,15,6,0,1,0,0
JxPath_13,1,0,3,0,10,7,1,3,0,2,0,0,0,1,2,0,1,0,0
JxPath_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxPath_16,2,0,6,0,9,9,1,7,0,1,0,0,0,0,2,0,1,0,0
JxPath_17,4,0,0,3,9,19,3,11,0,2,0,0,0,3,2,0,0,0,2
JxPath_18,2,0,1,0,12,14,3,6,0,3,0,0,0,2,6,0,1,0,0
JxPath_19,4,0,3,0,7,15,0,0,0,3,0,0,0,12,3,0,1,0,0
JxPath_2,5,0,4,0,14,14,5,3,0,2,0,0,0,4,3,0,0,0,1
JxPath_20,5,0,0,1,13,24,8,3,0,2,5,0,0,6,2,0,1,0,3
JxPath_3,2,0,0,3,7,11,0,0,0,2,0,0,0,9,4,0,3,0,1
JxPath_4,5,0,4,0,14,10,2,1,0,5,0,0,0,2,2,0,0,0,0
JxPath_7,3,0,0,0,12,7,0,0,0,1,0,0,0,6,3,0,1,0,4
JxPath_9,2,0,0,0,12,18,0,0,0,2,0,0,0,16,1,0,1,0,2
Lang_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang_15,7,0,2,0,8,10,0,0,0,2,0,0,0,8,2,0,3,0,0
Lang_19,7,0,0,0,9,24,1,3,0,2,0,0,0,18,1,0,2,0,2
Lang_20,2,0,1,0,6,7,1,4,0,2,0,0,0,0,2,0,2,0,0
Lang_23,1,0,0,0,6,9,0,0,0,2,0,0,0,7,3,0,1,0,0
Lang_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang_30,3,0,2,0,13,8,0,0,0,1,0,0,0,7,4,0,0,0,1
Lang_32,9,0,0,0,10,16,3,8,0,2,2,0,0,1,5,0,1,0,1
Lang_34,9,0,1,0,11,9,3,3,0,1,2,0,0,0,1,0,0,0,0
Lang_35,1,0,0,0,6,12,2,4,0,1,0,0,0,5,1,0,0,0,1
Lang_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang_4,2,0,3,0,7,8,0,3,0,2,3,0,0,0,0,0,2,0,0
Lang_41,4,0,0,0,7,12,0,1,0,3,0,0,0,8,4,0,1,0,0
Lang_46,6,0,1,0,11,26,3,7,0,1,0,0,3,12,2,0,2,0,5
Lang_47,6,0,2,0,12,27,3,7,0,1,2,0,2,12,2,0,0,0,0
Lang_5,4,0,0,0,12,17,3,5,0,2,0,2,0,5,2,0,1,0,2
Lang_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang_56,5,0,3,0,9,26,1,5,0,1,0,0,3,16,3,0,0,0,1
Lang_60,2,0,1,0,7,13,1,4,0,1,0,0,0,7,1,0,0,0,0
Lang_62,2,1,0,0,10,22,0,0,0,3,0,0,0,19,6,0,1,0,3
Lang_63,18,0,0,7,4,34,0,0,0,2,0,0,0,32,1,0,0,0,2
Lang_64,3,0,0,0,9,11,3,3,0,2,2,0,1,0,3,0,0,0,2
Lang_65,2,0,0,13,10,13,0,0,0,1,0,0,0,12,1,0,0,0,3
Lang_7,1,0,0,11,4,5,0,0,0,1,0,0,0,4,2,0,0,0,1
Lang_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_1,5,0,0,0,13,15,1,1,0,1,0,0,3,9,1,0,1,0,4
Math_100,6,0,2,0,8,8,0,0,0,2,0,0,0,6,2,0,0,0,0
Math_106,3,0,0,8,12,10,0,0,0,1,0,0,0,9,1,0,0,0,3
Math_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math_14,2,0,2,0,8,11,2,4,0,2,0,0,0,3,2,0,0,0,0
Math_15,1,0,1,0,4,6,0,0,0,0,0,0,0,6,3,0,0,0,0
Math_16,4,0,0,0,9,24,0,0,0,1,0,0,0,23,2,0,0,0,2
Math_18,4,0,0,0,7,17,3,7,0,1,0,0,3,3,3,0,3,0,3
Math_21,9,0,2,0,11,21,2,9,0,1,0,0,0,9,4,0,2,0,0
