bug,pass,test_fail,compile_fail,failed_tests,duration
Closure-115,No,Yes,No,com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression11; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression12; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression13; com.google.javascript.jscomp.FunctionInjectorTest::testInlineAssignmentToConstant; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression1; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression2; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression3; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression4; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression5; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression6; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression7; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression8; com.google.javascript.jscomp.FunctionInjectorTest::testInlineReferenceInExpression9; com.google.javascript.jscomp.FunctionInjectorTest::testInline12; com.google.javascript.jscomp.FunctionInjectorTest::testInline5; com.google.javascript.jscomp.FunctionInjectorTest::testInline7; com.google.javascript.jscomp.FunctionInjectorTest::testInline9; com.google.javascript.jscomp.FunctionInjectorTest::testInlineFunctionWithInnerFunction2; com.google.javascript.jscomp.FunctionInjectorTest::testInlineFunctionWithInnerFunction4; com.google.javascript.jscomp.FunctionInjectorTest::testInlineWithinCalls1; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables16; com.google.javascript.jscomp.InlineFunctionsTest::testInlineConstructor3; com.google.javascript.jscomp.InlineFunctionsTest::testInlineWithThis1; com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous3; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables2; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables7; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining11a; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining11c; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining11d; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining11e; com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineNoResultNoParamCall1; com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineNoResultWithParamCall1; com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineNoResultWithParamCall2; com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInliningComplex2; com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInliningComplex3; com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInliningComplex5; com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInliningComplex6; com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInliningComplex9; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionInlining2; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionOmega; com.google.javascript.jscomp.InlineFunctionsTest::testBug4944818; com.google.javascript.jscomp.InlineFunctionsTest::testDoubleInlining1; com.google.javascript.jscomp.InlineFunctionsTest::testDoubleInlining2; com.google.javascript.jscomp.InlineFunctionsTest::testComplexSample; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining2; com.google.javascript.jscomp.InlineFunctionsTest::testIssue423; com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition1; com.google.javascript.jscomp.InlineFunctionsTest::testDecomposeFunctionExpressionInCall; com.google.javascript.jscomp.InlineFunctionsTest::testComplexNoVarSub; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions19; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions21; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions6,1335.61
Closure-116,No,Yes,No,com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining10; com.google.javascript.jscomp.InlineFunctionsTest::testInlineEmptyFunction4; com.google.javascript.jscomp.InlineFunctionsTest::testMixedModeInliningCosting3; com.google.javascript.jscomp.InlineFunctionsTest::testBug4944818; com.google.javascript.jscomp.InlineFunctionsTest::testDoubleInlining2; com.google.javascript.jscomp.InlineFunctionsTest::testInlineIfParametersModified8; com.google.javascript.jscomp.InlineFunctionsTest::testInlineIfParametersModified9; com.google.javascript.jscomp.InlineFunctionsTest::testInlineMutableArgsReferencedOnce; com.google.javascript.jscomp.InlineFunctionsTest::testMixedModeInlining2; com.google.javascript.jscomp.InlineFunctionsTest::testMixedModeInlining3; com.google.javascript.jscomp.InlineFunctionsTest::testMixedModeInlining4; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions6,1540.59
Closure-117,Yes,No,No,,476.43
Closure-134,No,Yes,No,com.google.javascript.jscomp.AmbiguatePropertiesTest::testImplementsAndExtends; com.google.javascript.jscomp.TypeCheckTest::testIssue86,977.22
Closure-135,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testErrorMismatchingPropertyOnInterface5; com.google.javascript.jscomp.TypeCheckTest::testGoodExtends9,905.05
Closure-136,No,Yes,No,com.google.javascript.jscomp.InlineGettersTest::testIssue2508576_3; com.google.javascript.jscomp.MethodCheckTest::testSeparateMethods; com.google.javascript.jscomp.RenameVarsTest::testDollarSignSuperExport2,727.99
Closure-137,Yes,No,No,,1194.30
Closure-138,Yes,No,No,,741.90
Closure-139,Yes,No,No,,741.19
Closure-140,No,Yes,No,com.google.javascript.jscomp.CrossModuleCodeMotionTest::testEmptyModule,1110.87
Closure-141,Yes,No,No,,342.44
Closure-142,Yes,No,No,,291.64
Closure-143,Yes,No,No,,361.03
Closure-144,Yes,No,No,,1028.40
Closure-147,Yes,No,No,,199.52
Closure-148,No,No,Yes,,671.83
Closure-149,Yes,No,No,,617.07
Closure-151,Yes,No,No,,276.19
Closure-153,Yes,No,No,,579.37
Closure-154,Yes,No,No,,388.96
Closure-155,Yes,No,No,,576.94
Closure-156,No,No,Yes,,881.04
Closure-157,No,Yes,No,com.google.javascript.jscomp.CodePrinterTest::testGetter; com.google.javascript.jscomp.CodePrinterTest::testSetter; com.google.javascript.jscomp.RenamePrototypesTest::testRenamePrototypes1; com.google.javascript.jscomp.RenamePrototypesTest::testRenamePrototypes2,1519.52
Closure-158,Yes,No,No,,220.80
Closure-160,Yes,No,No,,278.98
Closure-162,Yes,No,No,,339.64
Closure-163,Yes,No,No,,406.12
Closure-164,Yes,No,No,,245.90
Closure-165,Yes,No,No,,862.28
Closure-167,Yes,No,No,,802.69
Closure-169,Yes,No,No,,602.54
Closure-171,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testIssue1023; com.google.javascript.jscomp.TypedScopeCreatorTest::testMethodBeforeFunction2; com.google.javascript.jscomp.TypedScopeCreatorTest::testPropertiesOnInterface2,1017.16
Closure-173,Yes,No,No,,1565.58
Closure-174,Yes,No,No,,504.09
Closure-175,Yes,No,No,,662.31
Closure-176,No,Yes,No,com.google.javascript.jscomp.LooseTypeCheckTest::testAdd14; com.google.javascript.jscomp.LooseTypeCheckTest::testAdd16; com.google.javascript.jscomp.LooseTypeCheckTest::testAdd17; com.google.javascript.jscomp.LooseTypeCheckTest::testFlowScopeBug2; com.google.javascript.jscomp.TypeCheckTest::testAdd14; com.google.javascript.jscomp.TypeCheckTest::testAdd16; com.google.javascript.jscomp.TypeCheckTest::testAdd17; com.google.javascript.jscomp.TypeCheckTest::testFlowScopeBug2; com.google.javascript.jscomp.TypeCheckTest::testClosure7,855.84
Codec-1,No,Yes,No,org.apache.commons.codec.language.CaverphoneTest::testLocaleIndependence; org.apache.commons.codec.language.DoubleMetaphoneTest::testLocaleIndependence; org.apache.commons.codec.language.MetaphoneTest::testLocaleIndependence; org.apache.commons.codec.language.RefinedSoundexTest::testLocaleIndependence; org.apache.commons.codec.language.SoundexTest::testLocaleIndependence,115.11
Codec-6,Yes,No,No,,94.37
Codec-8,Yes,No,No,,126.18
Codec-11,No,Yes,No,org.apache.commons.codec.net.QuotedPrintableCodecTest::testUltimateSoftBreak; org.apache.commons.codec.net.QuotedPrintableCodecTest::testTrailingSpecial,957.58
Codec-12,Yes,No,No,,362.12
Codec-13,Yes,No,No,,111.57
Codec-14,Yes,No,No,,293.33
Collections-25,Yes,No,No,,183.31
Compress-2,Yes,No,No,,186.63
Compress-3,Yes,No,No,,150.84
Compress-4,Yes,No,No,,404.03
Compress-6,Yes,No,No,,77.85
Compress-9,Yes,No,No,,92.70
Compress-10,Yes,No,No,,104.05
Compress-11,Yes,No,No,,158.71
Compress-20,Yes,No,No,,151.38
Compress-22,Yes,No,No,,207.60
Compress-29,Yes,No,No,,514.08
Compress-33,Yes,No,No,,139.24
Compress-34,Yes,No,No,,145.26
Compress-35,Yes,No,No,,169.61
Compress-39,Yes,No,No,,137.40
Compress-40,Yes,No,No,,184.48
Compress-42,Yes,No,No,,187.87
Compress-43,Yes,No,No,,146.78
Compress-47,No,Yes,No,org.apache.commons.compress.compressors.DetectCompressorTestCase::testDetection; org.apache.commons.compress.compressors.DetectCompressorTestCase::testDetect; org.apache.commons.compress.compressors.zstandard.ZstdCompressorInputStreamTest::testTurningOnCachingReEvaluatesAvailability; org.apache.commons.compress.compressors.zstandard.ZstdCompressorInputStreamTest::testCanTurnOffCaching; org.apache.commons.compress.compressors.zstandard.ZstdCompressorInputStreamTest::singleByteReadWorksAsExpected; org.apache.commons.compress.compressors.zstandard.ZstdCompressorInputStreamTest::singleByteReadReturnsMinusOneAtEof; org.apache.commons.compress.compressors.zstandard.ZstdCompressorInputStreamTest::testZstdDecode; org.apache.commons.compress.compressors.zstandard.ZstdCompressorInputStreamTest::testCachingIsEnabledByDefaultAndZstdUtilsPresent; org.apache.commons.compress.compressors.zstandard.ZstdCompressorInputStreamTest::shouldBeAbleToSkipAByte; org.apache.commons.compress.compressors.zstandard.ZstdCompressorInputStreamTest::testZstandardUnarchive; org.apache.commons.compress.compressors.zstandard.ZstdRoundtripTest::directRoundtrip; org.apache.commons.compress.compressors.zstandard.ZstdRoundtripTest::factoryRoundtrip; org.apache.commons.compress.compressors.zstandard.ZstdUtilsTest::testMatchesSkippableFrame; org.apache.commons.compress.compressors.zstandard.ZstdUtilsTest::testMatchesZstandardFrame,268.27
Csv-7,Yes,No,No,,378.97
Csv-8,Yes,No,No,,80.84
Csv-13,Yes,No,No,,135.13
Csv-16,Yes,No,No,,181.14
Gson-1,No,Yes,No,com.google.gson.functional.DefaultTypeAdaptersTest::testDefaultDateSerializationUsingBuilder; com.google.gson.functional.DefaultTypeAdaptersTest::testDefaultDateSerialization,357.36
Gson-3,Yes,No,No,,111.61
Gson-4,Yes,No,No,,144.74
Gson-7,Yes,No,No,,205.83
Gson-8,Yes,No,No,,58.27
Gson-9,Yes,No,No,,480.92
Gson-14,Yes,No,No,,266.26
JacksonCore-1,Yes,No,No,,178.55
JacksonCore-2,Yes,No,No,,589.47
JacksonCore-9,Yes,No,No,,105.75
JacksonCore-10,No,Yes,No,com.fasterxml.jackson.core.sym.TestSymbolTables::testCollisionsWithBytesNew187b; com.fasterxml.jackson.core.sym.TestSymbolTables::testSyntheticWithBytesNew; com.fasterxml.jackson.core.sym.TestSymbolTables::testShortNameCollisionsDirectNew,717.59
JacksonCore-12,Yes,No,No,,378.44
JacksonCore-16,Yes,No,No,,336.35
JacksonCore-17,Yes,No,No,,124.26
JacksonCore-18,Yes,No,No,,161.85
JacksonCore-19,Yes,No,No,,224.90
JacksonCore-21,Yes,No,No,,115.90
JacksonCore-22,Yes,No,No,,291.36
JacksonCore-24,Yes,No,No,,297.85
JacksonDatabind-3,Yes,No,No,,268.89
JacksonDatabind-4,Yes,No,No,,452.32
JacksonDatabind-6,Yes,No,No,,484.35
JacksonDatabind-8,Yes,No,No,,448.12
JacksonDatabind-10,Yes,No,No,,415.88
JacksonDatabind-13,No,Yes,No,tmp.InetTest,559.17
JacksonDatabind-14,Yes,No,No,,513.67
JacksonDatabind-15,Yes,No,No,,562.46
JacksonDatabind-18,Yes,No,No,,454.71
JacksonDatabind-20,Yes,No,No,,485.76
JacksonDatabind-21,Yes,No,No,,272.87
JacksonDatabind-22,Yes,No,No,,507.29
JacksonDatabind-23,Yes,No,No,,338.25
JacksonDatabind-25,Yes,No,No,,423.30
JacksonDatabind-29,Yes,No,No,,948.92
JacksonDatabind-30,Yes,No,No,,491.74
JacksonDatabind-31,Yes,No,No,,491.39
JacksonDatabind-32,Yes,No,No,,454.89
JacksonDatabind-36,Yes,No,No,,728.50
JacksonDatabind-38,Yes,No,No,,416.43
JacksonDatabind-41,Yes,No,No,,283.62
JacksonDatabind-43,Yes,No,No,,284.65
JacksonDatabind-48,Yes,No,No,,521.37
JacksonDatabind-50,Yes,No,No,,798.02
JacksonDatabind-52,Yes,No,No,,434.37
JacksonDatabind-53,Yes,No,No,,684.06
JacksonDatabind-54,Yes,No,No,,417.77
JacksonDatabind-55,Yes,No,No,,414.35
JacksonDatabind-56,Yes,No,No,,417.29
JacksonDatabind-59,Yes,No,No,,584.23
JacksonDatabind-60,Yes,No,No,,700.50
JacksonDatabind-61,Yes,No,No,,368.31
JacksonDatabind-65,Yes,No,No,,378.30
JacksonDatabind-66,Yes,No,No,,471.89
JacksonDatabind-68,Yes,No,No,,572.87
JacksonDatabind-69,Yes,No,No,,474.43
JacksonDatabind-72,Yes,No,No,,317.61
JacksonDatabind-73,Yes,No,No,,581.34
JacksonDatabind-75,Yes,No,No,,339.66
JacksonDatabind-77,Yes,No,No,,491.07
JacksonDatabind-78,Yes,No,No,,309.81
JacksonDatabind-79,Yes,No,No,,545.11
JacksonDatabind-80,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,362.59
JacksonDatabind-81,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,382.91
JacksonDatabind-87,Yes,No,No,,208.87
JacksonDatabind-90,Yes,No,No,,383.05
JacksonDatabind-94,Yes,No,No,,278.67
JacksonDatabind-95,Yes,No,No,,335.07
JacksonDatabind-103,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,848.55
JacksonDatabind-104,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,223.24
JacksonDatabind-105,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,401.65
JacksonDatabind-108,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,448.55
JacksonDatabind-109,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,859.92
JacksonDatabind-110,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,451.81
JacksonDatabind-111,No,Yes,No,com.fasterxml.jackson.databind.ObjectWriterTest::testViewSettings,849.46
JacksonXml-1,Yes,No,No,,304.23
JacksonXml-6,Yes,No,No,,275.25
Jsoup-3,Yes,No,No,,397.27
Jsoup-4,Yes,No,No,,124.19
Jsoup-7,Yes,No,No,,486.15
Jsoup-11,Yes,No,No,,151.94
Jsoup-12,Yes,No,No,,302.27
Jsoup-14,Yes,No,No,,208.44
Jsoup-16,Yes,No,No,,88.45
Jsoup-18,Yes,No,No,,124.07
Jsoup-21,Yes,No,No,,245.60
Jsoup-22,Yes,No,No,,113.60
Jsoup-23,Yes,No,No,,60.87
Jsoup-28,Yes,No,No,,169.14
Jsoup-29,Yes,No,No,,89.07
Jsoup-30,Yes,No,No,,84.84
Jsoup-31,Yes,No,No,,109.09
Jsoup-36,No,No,Yes,,131.78
Jsoup-42,Yes,No,No,,109.90
Jsoup-50,Yes,No,No,,430.66
Jsoup-52,Yes,No,No,,178.32
Jsoup-56,Yes,No,No,,158.76
Jsoup-58,Yes,No,No,,261.03
Jsoup-59,Yes,No,No,,165.75
Jsoup-60,Yes,No,No,,262.07
Jsoup-63,Yes,No,No,,433.86
Jsoup-65,Yes,No,No,,227.42
Jsoup-66,Yes,No,No,,555.61
Jsoup-67,Yes,No,No,,323.97
Jsoup-71,Yes,No,No,,771.97
Jsoup-73,Yes,No,No,,133.69
Jsoup-74,Yes,No,No,,143.17
Jsoup-78,No,Yes,No,org.jsoup.integration.ConnectTest::handlesEmptyStreamDuringParseRead,158.56
Jsoup-79,Yes,No,No,,131.97
Jsoup-81,Yes,No,No,,123.56
Jsoup-83,Yes,No,No,,402.12
Jsoup-87,Yes,No,No,,193.60
Jsoup-91,Yes,No,No,,307.10
Jsoup-92,Yes,No,No,,327.45
JxPath-1,Yes,No,No,,346.86
JxPath-2,Yes,No,No,,101.76
JxPath-3,Yes,No,No,,264.38
JxPath-4,Yes,No,No,,299.36
JxPath-7,Yes,No,No,,187.89
JxPath-9,Yes,No,No,,324.28
JxPath-11,Yes,No,No,,286.13
JxPath-13,Yes,No,No,,433.94
JxPath-15,Yes,No,No,,112.68
JxPath-16,Yes,No,No,,86.32
JxPath-17,Yes,No,No,,71.68
JxPath-18,Yes,No,No,,176.09
JxPath-19,Yes,No,No,,127.33
JxPath-20,Yes,No,No,,146.49
Lang-4,Yes,No,No,,95.48
Lang-5,Yes,No,No,,143.91
Lang-7,Yes,No,No,,135.66
Lang-8,Yes,No,No,,120.93
Lang-13,Yes,No,No,,92.92
Lang-15,Yes,No,No,,299.06
Lang-19,Yes,No,No,,96.88
Lang-20,Yes,No,No,,126.21
Lang-23,Yes,No,No,,150.19
Lang-27,Yes,No,No,,140.08
Lang-30,Yes,No,No,,342.61
Lang-32,Yes,No,No,,121.42
Lang-34,Yes,No,No,,172.65
Lang-35,Yes,No,No,,108.43
Lang-36,Yes,No,No,,194.44
Lang-41,Yes,No,No,,318.32
Lang-46,Yes,No,No,,371.75
Lang-47,Yes,No,No,,102.59
Lang-50,Yes,No,No,,435.14
Lang-56,Yes,No,No,,157.58
Lang-60,Yes,No,No,,137.47
Lang-62,Yes,No,No,,133.83
Lang-63,Yes,No,No,,168.47
Lang-64,Yes,No,No,,113.64
Lang-65,Yes,No,No,,995.87
Math-1,Yes,No,No,,277.76
Math-4,Yes,No,No,,202.91
Math-6,Yes,No,No,,733.03
Math-7,Yes,No,No,,712.68
Math-12,Yes,No,No,,453.62
Math-14,Yes,No,No,,553.88
Math-15,Yes,No,No,,251.40
Math-16,Yes,No,No,,279.48
Math-18,No,Yes,No,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest::testFitAccuracyDependsOnBoundary,1128.16
Math-21,No,Yes,No,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest::testMath789; org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest::testFullRank,899.53
Math-22,Yes,No,No,,358.74
Math-23,Yes,No,No,,266.25
Math-24,Yes,No,No,,232.32
Math-26,Yes,No,No,,391.33
Math-28,Yes,No,No,,609.39
Math-29,Yes,No,No,,228.77
Math-31,No,Yes,No,org.apache.commons.math3.distribution.FDistributionTest::testMath785,1803.11
Math-35,Yes,No,No,,194.38
Math-36,Yes,No,No,,552.28
Math-37,Yes,No,No,,284.16
Math-38,Yes,No,No,,286.94
Math-44,Yes,No,No,,251.77
Math-46,Yes,No,No,,811.80
Math-47,Yes,No,No,,234.04
Math-49,Yes,No,No,,196.63
Math-52,Yes,No,No,,264.26
Math-54,Yes,No,No,,349.37
Math-55,Yes,No,No,,512.14
Math-61,Yes,No,No,,65.58
Math-62,Yes,No,No,,260.47
Math-64,Yes,No,No,,242.23
Math-65,Yes,No,No,,89.00
Math-66,No,Yes,No,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest::testQuinticMin; org.apache.commons.math.optimization.univariate.BrentOptimizerTest::testSinMin,781.72
Math-68,No,Yes,No,org.apache.commons.math.optimization.fitting.PolynomialFitterTest::testNoError; org.apache.commons.math.optimization.general.MinpackTest::testMinpackJennrichSampson; org.apache.commons.math.optimization.general.MinpackTest::testMinpackFreudensteinRoth,456.07
Math-71,Yes,No,No,,341.35
Math-72,Yes,No,No,,96.05
Math-76,No,Yes,No,org.apache.commons.math.linear.SingularValueSolverTest::testMath320A,727.02
Math-77,Yes,No,No,,72.59
Math-78,Yes,No,No,,172.46
Math-81,Yes,No,No,,113.69
Math-83,Yes,No,No,,622.80
Math-84,Yes,No,No,,164.10
Math-86,Yes,No,No,,132.70
Math-90,Yes,No,No,,82.11
Math-92,Yes,No,No,,90.79
Math-93,Yes,No,No,,148.59
Math-98,Yes,No,No,,60.13
Math-99,Yes,No,No,,113.23
Math-100,Yes,No,No,,257.90
Math-106,Yes,No,No,,101.40
Mockito-2,Yes,No,No,,143.27
Mockito-3,No,Yes,No,org.mockito.internal.invocation.InvocationMatcherTest::should_capture_varargs_as_vararg; org.mockitousage.matchers.CapturingArgumentsTest::should_print_captor_matcher; org.mockitousage.matchers.CapturingArgumentsTest::should_allow_assertions_on_captured_null,194.62
Mockito-4,No,Yes,No,org.mockito.exceptions.ReporterTest::can_use_print_mock_name_even_when_mock_bogus_default_answer_and_when_reporting_injection_failure,658.35
Mockito-6,No,Yes,No,org.mockitousage.matchers.MatchersTest::anyMatcher,157.88
Mockito-9,Yes,No,No,,151.46
Mockito-10,No,Yes,No,org.mockitousage.serialization.DeepStubsSerializableTest::should_serialize_and_deserialize_parameterized_class_mocked_with_deep_stubs; org.mockitousage.serialization.DeepStubsSerializableTest::should_discard_generics_metadata_when_serialized_then_disabling_deep_stubs_with_generics; org.mockitousage.serialization.DeepStubsSerializableTest::should_serialize_and_deserialize_mock_created_with_deep_stubs,117.07
Mockito-14,Yes,No,No,,309.77
Mockito-15,Yes,No,No,,162.47
Mockito-16,Yes,No,No,,160.95
Mockito-17,Yes,No,No,,141.47
Mockito-19,Yes,No,No,,184.96
Mockito-20,Yes,No,No,,362.65
Mockito-21,Yes,No,No,,1825.80
Mockito-23,No,Yes,No,org.mockitousage.stubbing.DeepStubsSerializableTest::should_serialize_and_deserialize_mock_created_by_deep_stubs,124.75
Mockito-25,No,Yes,No,org.mockitousage.bugs.ConcurrentModificationExceptionOnMultiThreadedVerificationTest::testInvocationConcurrently,657.66
Mockito-30,Yes,No,No,,124.83
Mockito-31,Yes,No,No,,153.25
Mockito-32,Yes,No,No,,175.81
Mockito-35,Yes,No,No,,211.11
Mockito-36,Yes,No,No,,121.86
Time-1,Yes,No,No,,248.73
Time-2,Yes,No,No,,311.96
Time-3,Yes,No,No,,99.99
Time-6,Yes,No,No,,315.49
Time-9,Yes,No,No,,164.48
Time-10,Yes,No,No,,144.48
Time-12,Yes,No,No,,193.22
Time-13,Yes,No,No,,122.14
Time-23,Yes,No,No,,124.81
Time-26,Yes,No,No,,223.59
JacksonXml-2,No,Yes,No,test hung (likely infinite loop),1800.00
