bug,pass,test_fail,compile_fail,failed_tests,duration
Closure-32,No,Yes,No,com.google.javascript.jscomp.IntegrationTest::testIssue701; com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicense; com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParsePreserve; com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicenseAscii,N/A
Closure-34,No,Yes,No,com.google.javascript.jscomp.CodePrinterTest::testManyAdds,N/A
Closure-37,No,Yes,No,com.google.javascript.jscomp.IntegrationTest::testIncompleteFunction,N/A
Closure-39,No,Yes,No,com.google.javascript.rhino.jstype.RecordTypeTest::testRecursiveRecord; com.google.javascript.rhino.jstype.RecordTypeTest::testLongToString,N/A
Closure-41,No,Yes,No,com.google.javascript.jscomp.LooseTypeCheckTest::testMethodInference6; com.google.javascript.jscomp.TypeCheckTest::testIssue368; com.google.javascript.jscomp.TypeCheckTest::testMethodInference6,N/A
Closure-43,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testLends10; com.google.javascript.jscomp.TypeCheckTest::testLends11,N/A
Closure-45,No,Yes,No,com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue618_1,N/A
Closure-47,No,Yes,No,com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testParseSourceMetaMap; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput0a; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultiFunctionMapping; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappingsGoldenOutput; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testMultilineMapping2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMappingGoldenOutput; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testSourceMapMerging; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testLiteralMappings; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping1; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testBasicMapping2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput1; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput2; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput3; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput4; com.google.debugging.sourcemap.SourceMapGeneratorV3Test::testGoldenOutput5,N/A
Closure-49,No,Yes,No,com.google.javascript.jscomp.FunctionInjectorTest::testInline19b; com.google.javascript.jscomp.FunctionInjectorTest::testInlineIntoLoop; com.google.javascript.jscomp.FunctionInjectorTest::testInline13; com.google.javascript.jscomp.FunctionInjectorTest::testInline14; com.google.javascript.jscomp.FunctionInjectorTest::testInline15; com.google.javascript.jscomp.FunctionInjectorTest::testInline16; com.google.javascript.jscomp.FunctionInjectorTest::testInline17; com.google.javascript.jscomp.FunctionInjectorTest::testInline18; com.google.javascript.jscomp.FunctionInjectorTest::testInline19; com.google.javascript.jscomp.FunctionInjectorTest::testBug1897706; com.google.javascript.jscomp.FunctionInjectorTest::testInlineFunctionWithInnerFunction5; com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateWithParameters3; com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateCallInLoopVars1; com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateInitializeUninitializedVars1; com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateInitializeUninitializedVars2; com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutateFunctionDefinition; com.google.javascript.jscomp.FunctionToBlockMutatorTest::testMutate8; com.google.javascript.jscomp.InlineFunctionsTest::testLoopWithFunctionWithFunction; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables16; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables18; com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining11; com.google.javascript.jscomp.InlineFunctionsTest::testMixedModeInliningCosting3; com.google.javascript.jscomp.InlineFunctionsTest::testInlineNeverMutateConstants; com.google.javascript.jscomp.InlineFunctionsTest::testInlineWithThis7; com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous1; com.google.javascript.jscomp.InlineFunctionsTest::testAnonymous3; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables1; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables3; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables6; com.google.javascript.jscomp.InlineFunctionsTest::testShadowVariables7; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionCallInlining11b; com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineNoResultNoParamCall3; com.google.javascript.jscomp.InlineFunctionsTest::testCostBasedInlining9; com.google.javascript.jscomp.InlineFunctionsTest::testMethodWithFunctionWithFunction; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionYCombinator; com.google.javascript.jscomp.InlineFunctionsTest::testComplexInlineVars7; com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition2a; com.google.javascript.jscomp.InlineFunctionsTest::testComplexInline7; com.google.javascript.jscomp.InlineFunctionsTest::testFunctionExpressionOmega; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions15b; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions15d; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions16a; com.google.javascript.jscomp.InlineFunctionsTest::testBug4944818; com.google.javascript.jscomp.InlineFunctionsTest::testComplexSample; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified1; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified2; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified3; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified4; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified5; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified6; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified7; com.google.javascript.jscomp.InlineFunctionsTest::testIssue423; com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition2; com.google.javascript.jscomp.InlineFunctionsTest::testComplexFunctionWithFunctionDefinition3; com.google.javascript.jscomp.InlineFunctionsTest::testDecomposeFunctionExpressionInCall; com.google.javascript.jscomp.InlineFunctionsTest::testInlineNeverOverrideNewValues; com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs1; com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs2; com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs3; com.google.javascript.jscomp.InlineFunctionsTest::testInlineBlockMutableArgs4; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions10; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions13; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions22; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions23; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions9; com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest::testMakeLocalNamesUniqueWithContext5,N/A
Closure-50,No,Yes,No,com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest::testStringJoinAddSparse; com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest::testStringJoinAdd,N/A
Closure-51,Yes,No,No,,N/A
Closure-53,Yes,No,No,,N/A
Closure-54,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testIssue537a; com.google.javascript.jscomp.TypeCheckTest::testIssue537b; com.google.javascript.jscomp.TypedScopeCreatorTest::testPropertyOnUnknownSuperClass2,N/A
Closure-60,Yes,No,No,,604.34
Closure-64,No,No,Yes,,389.03
Closure-68,Yes,No,No,,379.89
Closure-72,Yes,No,No,,384.59
Closure-74,No,Yes,No,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testFoldComparison3; com.google.javascript.jscomp.PeepholeFoldConstantsTest::testInvertibleOperators; com.google.javascript.jscomp.PeepholeFoldConstantsTest::testCommutativeOperators,636.74
Closure-75,No,Yes,No,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testIEString,7.49
Closure-76,No,Yes,No,com.google.javascript.jscomp.DeadAssignmentsEliminationTest::testInExpression2; com.google.javascript.jscomp.DeadAssignmentsEliminationTest::testIssue384b; com.google.javascript.jscomp.DeadAssignmentsEliminationTest::testIssue384c; com.google.javascript.jscomp.DeadAssignmentsEliminationTest::testIssue384d,143.25
Closure-79,No,Yes,No,com.google.javascript.jscomp.NormalizeTest::testIssue; com.google.javascript.jscomp.VarCheckTest::testPropReferenceInExterns1; com.google.javascript.jscomp.VarCheckTest::testPropReferenceInExterns3; com.google.javascript.jscomp.VarCheckTest::testVarReferenceInExterns; com.google.javascript.jscomp.VarCheckTest::testCallInExterns,321.30
Closure-80,No,Yes,No,com.google.javascript.jscomp.NodeUtilTest::testIsBooleanResult; com.google.javascript.jscomp.NodeUtilTest::testLocalValue1,152.08
Closure-84,No,No,Yes,,529.88
Closure-85,No,Yes,No,com.google.javascript.jscomp.UnreachableCodeEliminationTest::testCascadedRemovalOfUnlessUnconditonalJumps; com.google.javascript.jscomp.UnreachableCodeEliminationTest::testIssue311,147.56
Closure-89,No,Yes,No,com.google.javascript.jscomp.CollapsePropertiesTest::testAddPropertyToChildOfUncollapsibleFunctionInLocalScope; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForFunctionDepth1_1; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForFunctionDepth1_2; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForFunctionDepth1_3; com.google.javascript.jscomp.CollapsePropertiesTest::testAddPropertyToUncollapsibleNamedCtorInLocalScopeDepth1; com.google.javascript.jscomp.CollapsePropertiesTest::testAddPropertyToUncollapsibleFunctionInLocalScopeDepth1; com.google.javascript.jscomp.CollapsePropertiesTest::testAddPropertyToUncollapsibleFunctionInLocalScopeDepth2; com.google.javascript.jscomp.CollapsePropertiesTest::testAliasCreatedForFunctionDepth2,554.90
Closure-90,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testBackwardsTypedefUse3; com.google.javascript.jscomp.TypeCheckTest::testBackwardsTypedefUse8; com.google.javascript.jscomp.TypeCheckTest::testBackwardsTypedefUse9,674.23
Closure-98,No,Yes,No,com.google.javascript.jscomp.InlineVariablesTest::testNoInlineAliasesInLoop,166.73
Closure-99,No,Yes,No,com.google.javascript.jscomp.CheckGlobalThisTest::testPropertyOfMethod; com.google.javascript.jscomp.CheckGlobalThisTest::testMethod4; com.google.javascript.jscomp.CheckGlobalThisTest::testInterface1,150.33
Closure-100,No,Yes,No,com.google.javascript.jscomp.CheckGlobalThisTest::testStaticFunction6; com.google.javascript.jscomp.CheckGlobalThisTest::testStaticFunction7; com.google.javascript.jscomp.CheckGlobalThisTest::testStaticFunction8; com.google.javascript.jscomp.CheckGlobalThisTest::testGlobalThis7; com.google.javascript.jscomp.CheckGlobalThisTest::testStaticMethod2; com.google.javascript.jscomp.CheckGlobalThisTest::testStaticMethod3; com.google.javascript.jscomp.CheckGlobalThisTest::testInnerFunction1; com.google.javascript.jscomp.CheckGlobalThisTest::testInnerFunction2; com.google.javascript.jscomp.CheckGlobalThisTest::testInnerFunction3,155.46
Closure-103,Yes,No,No,,434.32
Closure-105,No,Yes,No,com.google.javascript.jscomp.FoldConstantsTest::testStringJoinAdd,7.73
Closure-106,No,Yes,No,com.google.javascript.jscomp.CheckSideEffectsTest::testJSDocComments; com.google.javascript.jscomp.CollapsePropertiesTest::testTwinReferenceCancelsChildCollapsing; com.google.javascript.jscomp.CollapsePropertiesTest::testCrashInNestedAssign; com.google.javascript.jscomp.CollapsePropertiesTest::testCrashInCommaOperator,370.44
Closure-108,Yes,No,No,,335.03
Closure-110,No,Yes,No,com.google.javascript.jscomp.ScopedAliasesTest::testHoistedFunctionDeclaration; com.google.javascript.jscomp.ScopedAliasesTest::testFunctionDeclaration,625.62
Closure-115,No,Yes,No,com.google.javascript.jscomp.InlineFunctionsTest::testBug4944818; com.google.javascript.jscomp.InlineFunctionsTest::testDoubleInlining1; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified8; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineIfParametersModified9; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions6,119.94
Closure-116,No,Yes,No,com.google.javascript.jscomp.FunctionInjectorTest::testIssue1101a; com.google.javascript.jscomp.FunctionInjectorTest::testIssue1101b; com.google.javascript.jscomp.InlineFunctionsTest::testBug4944818; com.google.javascript.jscomp.InlineFunctionsTest::testDoubleInlining2; com.google.javascript.jscomp.InlineFunctionsTest::testIssue1101; com.google.javascript.jscomp.InlineFunctionsTest::testInlineIfParametersModified8; com.google.javascript.jscomp.InlineFunctionsTest::testInlineIfParametersModified9; com.google.javascript.jscomp.InlineFunctionsTest::testInlineFunctions6,269.42
Closure-117,No,Yes,No,com.google.javascript.jscomp.LooseTypeCheckTest::testMissingProperty7; com.google.javascript.jscomp.LooseTypeCheckTest::testMissingProperty14; com.google.javascript.jscomp.LooseTypeCheckTest::testMissingProperty16; com.google.javascript.jscomp.LooseTypeCheckTest::testMissingProperty23; com.google.javascript.jscomp.LooseTypeCheckTest::testMissingProperty28; com.google.javascript.jscomp.TypeCheckTest::testNonexistentPropertyAccessStructSubtype; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty7; com.google.javascript.jscomp.TypeCheckTest::testIssue1047; com.google.javascript.jscomp.TypeCheckTest::testNonexistentPropertyAccessOnStruct; com.google.javascript.jscomp.TypeCheckTest::testIssue301; com.google.javascript.jscomp.TypeCheckTest::testIssue725; com.google.javascript.jscomp.TypeCheckTest::testIssue783; com.google.javascript.jscomp.TypeCheckTest::testIssue810; com.google.javascript.jscomp.TypeCheckTest::testLends3; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty14; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty16; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty23; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty28; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty32; com.google.javascript.jscomp.TypeCheckTest::testNonexistentPropertyAccessOnExternStruct,927.28
Closure-134,No,Yes,No,com.google.javascript.jscomp.AmbiguatePropertiesTest::testImplementsAndExtends; com.google.javascript.jscomp.TypeCheckTest::testIssue86,467.31
Closure-135,No,Yes,No,com.google.javascript.jscomp.DevirtualizePrototypeMethodsTest::testRewritePrototypeMethods2; com.google.javascript.jscomp.TypeCheckTest::testGoodExtends9,440.81
Closure-136,No,Yes,No,com.google.javascript.jscomp.InlineGettersTest::testIssue2508576_1; com.google.javascript.jscomp.InlineGettersTest::testIssue2508576_3; com.google.javascript.jscomp.MethodCheckTest::testSeparateMethods; com.google.javascript.jscomp.RenameVarsTest::testDollarSignSuperExport2,7.58
Closure-137,No,Yes,No,com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest::testOnlyInversion3; com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest::testOnlyInversion4; com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest::testArguments; com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest::testMakeLocalNamesUniqueWithContext1; com.google.javascript.jscomp.NormalizeTest::testRemoveDuplicateVarDeclarations2,149.34
Closure-138,No,Yes,No,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsArrayOnNull; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsFunctionOnNull; com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsObjectOnNull; com.google.javascript.jscomp.TypeCheckTest::testIssue124b; com.google.javascript.jscomp.TypeCheckTest::testIssue124,367.31
Closure-139,No,Yes,No,com.google.javascript.jscomp.NormalizeTest::testNormalizeFunctionDeclarations; com.google.javascript.jscomp.NormalizeTest::testRemoveDuplicateVarDeclarations3; com.google.javascript.jscomp.NormalizeTest::testMoveFunctions2,166.02
Closure-140,No,Yes,No,com.google.javascript.jscomp.CrossModuleCodeMotionTest::testEmptyModule,126.27
Closure-141,No,Yes,No,com.google.javascript.jscomp.ExpresssionDecomposerTest::testCanExposeExpression2; com.google.javascript.jscomp.ExpresssionDecomposerTest::testCanExposeExpression7; com.google.javascript.jscomp.InlineFunctionsTest::testDecomposeAnonymousInCall; com.google.javascript.jscomp.PureFunctionIdentifierTest::testCallFunctionFOrGViaHookWithSideEffects; com.google.javascript.jscomp.PureFunctionIdentifierTest::testCallFunctionForGorH; com.google.javascript.jscomp.PureFunctionIdentifierTest::testCallFunctionFOrG; com.google.javascript.jscomp.PureFunctionIdentifierTest::testCallFunctionFOrGViaHook; com.google.javascript.jscomp.PureFunctionIdentifierTest::testCallFunctionFOrGWithSideEffects,481.76
Closure-142,No,Yes,No,com.google.javascript.jscomp.CoalesceVariableNamesTest::testParameter4; com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testParseLicenseWithAnnotation,719.04
Closure-143,No,Yes,No,com.google.javascript.jscomp.RemoveConstantExpressionsTest::testCall1; com.google.javascript.jscomp.RemoveConstantExpressionsTest::testNew1,483.52
