bug_id,hunk_i,hunk_j,lexical_distance,ast_distance,file_distance,pair_divergence
django__django-11138,0,5,0.9564,1.0000,0.4000,0.5738
django__django-11138,0,6,0.9016,1.0000,0.4000,0.5409
django__django-11138,1,2,0.9952,1.0000,0.4000,0.5971
django__django-11138,1,3,0.9962,1.0000,0.4000,0.5977
django__django-11138,1,4,0.9757,1.0000,0.4000,0.5854
django__django-11138,1,5,0.9929,1.0000,0.4000,0.5957
django__django-11138,1,6,0.9040,1.0000,0.4000,0.5424
django__django-11138,2,3,0.9937,0.3263,0.0000,0.1621
django__django-11138,2,4,0.9924,0.3263,0.0000,0.1619
django__django-11138,2,5,0.9939,0.3263,0.0000,0.1621
django__django-11138,2,6,0.9894,1.0000,0.2000,0.4617
django__django-11138,3,4,0.8583,0.0000,0.0000,0.0000
django__django-11138,3,5,0.8390,0.0000,0.0000,0.0000
django__django-11138,3,6,0.9908,1.0000,0.2000,0.4624
django__django-11138,4,5,0.8557,0.0000,0.0000,0.0000
django__django-11138,4,6,0.9688,1.0000,0.2000,0.4521
django__django-11138,5,6,0.9822,1.0000,0.2000,0.4583
django__django-11400,0,1,0.9054,0.3554,0.0000,0.1609
django__django-11400,0,2,0.9924,1.0000,0.8000,0.8600
django__django-11400,0,3,0.9889,1.0000,0.8000,0.8570
django__django-11400,1,2,0.9896,1.0000,0.8000,0.8577
django__django-11400,1,3,0.9875,1.0000,0.8000,0.8558
django__django-11400,2,3,0.4199,1.0000,0.2000,0.1960
django__django-11532,0,1,0.9902,0.2211,0.0000,0.1094
django__django-11532,0,2,0.8965,1.0000,0.2500,0.4483
django__django-11532,0,3,0.9813,1.0000,0.2500,0.4906
django__django-11532,0,4,0.8965,1.0000,0.5000,0.5977
django__django-11532,0,5,0.9902,1.0000,0.5000,0.6601
django__django-11532,0,6,0.9858,1.0000,0.5000,0.6572
django__django-11532,0,7,0.9918,1.0000,0.7500,0.8265
django__django-11532,0,8,0.8965,1.0000,0.7500,0.7471
django__django-11532,0,9,0.9902,1.0000,0.7500,0.8251
django__django-11532,0,10,0.9858,1.0000,0.7500,0.8215
django__django-11532,1,2,0.9998,1.0000,0.2500,0.4999
django__django-11532,1,3,0.9596,1.0000,0.2500,0.4798
django__django-11532,1,4,0.9998,1.0000,0.5000,0.6666
django__django-11532,1,5,0.6580,1.0000,0.5000,0.4387
django__django-11532,1,6,0.6844,1.0000,0.5000,0.4563
django__django-11532,1,7,0.6675,1.0000,0.7500,0.5562
django__django-11532,1,8,0.9998,1.0000,0.7500,0.8332
django__django-11532,1,9,0.6580,1.0000,0.7500,0.5484
django__django-11532,1,10,0.4262,1.0000,0.7500,0.3552
django__django-11532,2,3,0.9813,0.0000,0.0000,0.0000
django__django-11532,2,4,0.0000,1.0000,0.5000,0.0000
django__django-11532,2,5,0.9902,1.0000,0.5000,0.6601
django__django-11532,2,6,0.9858,1.0000,0.5000,0.6572
django__django-11532,2,7,0.9918,1.0000,0.7500,0.8265
django__django-11532,2,8,0.0000,1.0000,0.7500,0.0000
django__django-11532,2,9,0.9902,1.0000,0.7500,0.8251
django__django-11532,2,10,0.9858,1.0000,0.7500,0.8215
django__django-11532,3,4,0.9936,1.0000,0.5000,0.6624
django__django-11532,3,5,0.9409,1.0000,0.5000,0.6273
django__django-11532,3,6,0.9083,1.0000,0.5000,0.6055
django__django-11532,3,7,0.9756,1.0000,0.7500,0.8130
django__django-11532,3,8,0.9936,1.0000,0.7500,0.8280
django__django-11532,3,9,0.9409,1.0000,0.7500,0.7841
django__django-11532,3,10,0.9083,1.0000,0.7500,0.7569
django__django-11532,4,5,0.9902,0.5714,0.0000,0.2829
django__django-11532,4,6,0.9858,0.4421,0.0000,0.2179
django__django-11532,4,7,0.9918,1.0000,0.6667,0.7714
django__django-11532,4,8,0.0000,1.0000,0.6667,0.0000
django__django-11532,4,9,0.9902,1.0000,0.6667,0.7701
django__django-11532,4,10,0.9858,1.0000,0.6667,0.7667
django__django-11532,5,6,0.6844,0.7008,0.0000,0.2398
django__django-11532,5,7,0.7549,1.0000,0.6667,0.5871
django__django-11532,5,8,0.9998,1.0000,0.6667,0.7777
django__django-11532,5,9,0.0000,1.0000,0.6667,0.0000
django__django-11532,5,10,0.6844,1.0000,0.6667,0.5323
django__django-11532,6,7,0.7549,1.0000,0.6667,0.5871
django__django-11532,6,8,0.9982,1.0000,0.6667,0.7763
django__django-11532,6,9,0.6580,1.0000,0.6667,0.5118
django__django-11532,6,10,0.4500,1.0000,0.6667,0.3500
django__django-11532,7,8,1.0000,1.0000,0.3333,0.5555
django__django-11532,7,9,0.7586,1.0000,0.3333,0.4214
django__django-11532,7,10,0.7412,1.0000,0.3333,0.4118
django__django-11532,8,9,0.9902,0.2211,0.0000,0.1094
django__django-11532,8,10,0.9858,0.6206,0.0000,0.3059
django__django-11532,9,10,0.6844,0.6632,0.0000,0.2270
django__django-11728,0,1,0.9918,0.2211,0.0000,0.1096
django__django-11728,0,2,0.9916,0.0000,0.0000,0.0000
django__django-11728,0,3,0.3713,0.3504,0.0000,0.0650
django__django-11728,0,4,0.9973,0.4421,0.0000,0.2205
django__django-11728,0,5,0.9973,0.3504,0.0000,0.1747
django__django-11728,1,2,0.0797,0.2211,0.0000,0.0088
django__django-11728,1,3,0.9862,0.4421,0.0000,0.2180
django__django-11728,1,4,0.9216,0.5133,0.0000,0.2365
django__django-11728,1,5,0.9216,0.4421,0.0000,0.2037
django__django-11728,2,3,0.9862,0.3504,0.0000,0.1728
django__django-11728,2,4,0.9253,0.4421,0.0000,0.2046
django__django-11728,2,5,0.9286,0.3504,0.0000,0.1627
django__django-11728,3,4,0.9966,0.2211,0.0000,0.1102
django__django-11728,3,5,0.9966,0.0000,0.0000,0.0000
django__django-11728,4,5,0.1606,0.2211,0.0000,0.0177
django__django-11740,0,1,1.0000,0.0000,0.0000,0.0000
django__django-11740,0,2,1.0000,0.3142,0.0000,0.1571
django__django-11740,1,2,0.9187,0.3142,0.0000,0.1443
django__django-12406,0,1,0.9824,1.0000,0.8000,0.8514
django__django-12406,0,2,0.9940,1.0000,0.8000,0.8615
django__django-12406,1,2,0.9882,0.3413,0.0000,0.1686
django__django-13343,0,1,0.9677,0.2242,0.0000,0.1085
django__django-13346,0,1,1.0000,0.0000,0.0000,0.0000
django__django-13449,0,1,0.9846,0.2181,0.0000,0.1074
django__django-15128,0,1,0.9868,0.0000,0.0000,0.0000
django__django-15128,0,2,0.9061,0.3333,0.0000,0.1510
django__django-15128,0,3,0.9747,0.2103,0.0000,0.1025
django__django-15128,0,4,1.0000,0.3333,0.0000,0.1667
django__django-15128,0,5,0.9989,0.2103,0.0000,0.1050
django__django-15128,1,2,0.9887,0.3333,0.0000,0.1648
django__django-15128,1,3,0.9917,0.2103,0.0000,0.1043
django__django-15128,1,4,1.0000,0.3333,0.0000,0.1667
django__django-15128,1,5,0.9852,0.2103,0.0000,0.1036
django__django-15128,2,3,0.9914,0.2103,0.0000,0.1042
django__django-15128,2,4,1.0000,0.3333,0.0000,0.1667
django__django-15128,2,5,0.9931,0.2103,0.0000,0.1044
django__django-15128,3,4,0.9996,0.2103,0.0000,0.1051
django__django-15128,3,5,0.9956,0.0000,0.0000,0.0000
django__django-15128,4,5,0.9843,0.2103,0.0000,0.1035
django__django-15503,0,1,0.9388,0.2211,0.0000,0.1038
django__django-15503,0,2,0.7670,0.2211,0.0000,0.0848
django__django-15503,0,3,0.9946,0.3504,0.0000,0.1742
django__django-15503,0,4,0.9892,0.4421,0.0000,0.2187
django__django-15503,0,5,0.9908,0.4421,0.0000,0.2190
django__django-15503,1,2,0.9713,0.3504,0.0000,0.1702
django__django-15503,1,3,0.9983,0.4421,0.0000,0.2207
django__django-15503,1,4,0.9952,0.5133,0.0000,0.2554
django__django-15503,1,5,0.9962,0.5133,0.0000,0.2557
django__django-15503,2,3,0.9749,0.2211,0.0000,0.1078
django__django-15503,2,4,0.9630,0.3504,0.0000,0.1687
django__django-15503,2,5,0.9667,0.3504,0.0000,0.1694
django__django-15503,3,4,0.9489,0.2211,0.0000,0.1049
django__django-15503,3,5,0.8580,0.4421,0.0000,0.1897
django__django-15503,4,5,0.4682,0.5133,0.0000,0.1202
django__django-15563,0,1,0.9978,0.2000,0.0000,0.0998
django__django-15563,0,2,0.9998,1.0000,0.2000,0.4666
django__django-15563,1,2,0.9899,1.0000,0.2000,0.4620
django__django-15572,0,1,0.9903,0.3801,0.0000,0.1882
django__django-15732,0,1,0.9646,0.3413,0.0000,0.1646
django__django-15732,0,2,0.9800,0.3413,0.0000,0.1672
django__django-15732,0,3,0.9817,0.2153,0.0000,0.1057
django__django-15732,1,2,0.9477,0.3413,0.0000,0.1617
django__django-15732,1,3,0.9587,0.2153,0.0000,0.1032
django__django-15732,2,3,0.3190,0.2153,0.0000,0.0343
django__django-16631,0,1,1.0000,1.0000,0.2500,0.5000
django__django-16631,0,2,0.9965,1.0000,0.2500,0.4982
django__django-16631,1,2,1.0000,0.2398,0.0000,0.1199
scikit-learn__scikit-learn-10297,0,1,0.3259,0.5000,0.0000,0.0815
scikit-learn__scikit-learn-10297,0,2,0.9999,0.4307,0.0000,0.2153
scikit-learn__scikit-learn-10297,1,2,0.9999,0.2153,0.0000,0.1077
scikit-learn__scikit-learn-14087,0,1,0.9832,0.2153,0.0000,0.1059
scikit-learn__scikit-learn-25232,0,1,0.9997,0.3504,0.0000,0.1751
scikit-learn__scikit-learn-25232,0,2,1.0000,0.3504,0.0000,0.1752
scikit-learn__scikit-learn-25232,0,3,1.0000,0.3504,0.0000,0.1752
scikit-learn__scikit-learn-25232,0,4,1.0000,0.4421,0.0000,0.2211
scikit-learn__scikit-learn-25232,1,2,0.9997,0.3504,0.0000,0.1751
scikit-learn__scikit-learn-25232,1,3,0.9974,0.3504,0.0000,0.1747
scikit-learn__scikit-learn-25232,1,4,0.9997,0.4421,0.0000,0.2210
scikit-learn__scikit-learn-25232,2,3,1.0000,0.0000,0.0000,0.0000
scikit-learn__scikit-learn-25232,2,4,0.9325,0.4421,0.0000,0.2061
scikit-learn__scikit-learn-25232,3,4,1.0000,0.4421,0.0000,0.2211
scikit-learn__scikit-learn-25747,0,1,0.9920,0.2398,0.0000,0.1189
scikit-learn__scikit-learn-25931,0,1,0.9539,0.0000,0.0000,0.0000
scikit-learn__scikit-learn-26194,0,1,0.9196,0.0000,0.0000,0.0000
scikit-learn__scikit-learn-26194,0,2,0.9907,0.2127,0.0000,0.1054
scikit-learn__scikit-learn-26194,0,3,0.9769,0.2127,0.0000,0.1039
scikit-learn__scikit-learn-26194,1,2,0.9912,0.2127,0.0000,0.1054
scikit-learn__scikit-learn-26194,1,3,0.9887,0.2127,0.0000,0.1052
scikit-learn__scikit-learn-26194,2,3,0.9869,0.0000,0.0000,0.0000
scikit-learn__scikit-learn-26323,0,1,1.0000,0.2242,0.0000,0.1121
sympy__sympy-13877,0,1,0.9862,0.0000,0.0000,0.0000
sympy__sympy-13877,0,2,0.9910,0.0000,0.0000,0.0000
sympy__sympy-13877,0,3,1.0000,0.3115,0.0000,0.1558
sympy__sympy-13877,0,4,1.0000,0.3931,0.0000,0.1966
sympy__sympy-13877,0,5,1.0000,1.0000,0.6667,0.7778
sympy__sympy-13877,1,2,0.9881,0.0000,0.0000,0.0000
sympy__sympy-13877,1,3,0.9907,0.3115,0.0000,0.1543
sympy__sympy-13877,1,4,0.9931,0.3931,0.0000,0.1952
sympy__sympy-13877,1,5,0.9937,1.0000,0.6667,0.7729
sympy__sympy-13877,2,3,0.9826,0.3115,0.0000,0.1531
sympy__sympy-13877,2,4,0.9927,0.3931,0.0000,0.1951
sympy__sympy-13877,2,5,0.9885,1.0000,0.6667,0.7689
sympy__sympy-13877,3,4,0.9376,0.1966,0.0000,0.0922
sympy__sympy-13877,3,5,0.9801,1.0000,0.6667,0.7623
sympy__sympy-13877,4,5,0.9924,1.0000,0.6667,0.7719
