bug_id,input_token,output_token,time_duration
Closure_167,99240,2399,803.0
Closure_169,95706,2580,602.0
Closure_171,159050,1845,1017.0
Closure_173,213930,3112,1565.0
Closure_174,52972,1107,504.0
Closure_175,82560,1760,662.0
Closure_176,84441,1238,855.0
Closure_21,71788,763,483.0
Closure_24,38129,1191,375.0
Closure_25,55145,1657,211.0
Closure_26,19660,531,248.0
Closure_27,31164,691,321.0
Closure_29,82583,435,954.0
Closure_3,60971,1984,355.0
Closure_30,99050,1865,964.0
Closure_32,50353,1725,368.0
Closure_34,49756,1243,288.0
Closure_37,62832,1603,487.0
Closure_39,45472,1433,231.0
Closure_4,56118,1501,379.0
Closure_41,78962,1635,900.0
Closure_43,62347,1706,393.0
Closure_45,36284,688,223.0
Closure_47,78434,1230,351.0
Closure_49,170418,22860,1786.0
Closure_50,35394,549,214.0
Closure_51,38852,1161,275.0
Closure_53,19068,600,215.0
Closure_54,150915,620,811.0
Closure_6,71172,2533,430.0
Closure_60,73827,1529,426.0
Closure_64,41988,1035,344.0
Closure_68,57219,2983,383.0
Closure_72,45565,1591,303.0
Closure_74,97402,2344,385.0
Closure_75,41964,1465,322.0
Closure_76,47115,1100,390.0
Closure_79,64438,1547,310.0
Closure_80,31483,956,211.0
Closure_84,115933,2576,687.0
Closure_85,103373,947,1016.0
Closure_89,129932,2074,634.0
Closure_9,25316,2175,301.0
Closure_90,150704,1388,1073.0
Closure_98,44607,602,376.0
Closure_99,18370,414,170.0
Codec_1,21889,3947,115.0
Codec_11,101004,2658,957.0
Codec_12,53336,1715,362.0
Codec_13,72356,3171,112.0
Codec_14,101856,1747,293.0
Codec_6,28962,1502,95.0
Codec_8,35009,468,126.0
Collections_25,37907,1895,184.0
Compress_10,23099,809,104.0
Compress_11,27109,556,158.0
Compress_2,33999,1036,187.0
Compress_20,27581,988,152.0
Compress_22,28206,742,207.0
Compress_29,155079,2385,514.0
Compress_3,39502,1690,151.0
Compress_33,47615,1558,140.0
Compress_34,22640,660,146.0
Compress_35,32240,1091,169.0
Compress_39,15288,361,137.0
Compress_4,71875,1203,404.0
Compress_40,24849,769,185.0
Compress_42,27238,732,188.0
Compress_43,59829,1755,147.0
Compress_47,63393,1713,268.0
Compress_6,19015,718,78.0
Compress_9,19362,1086,92.0
Csv_13,32575,1009,135.0
Csv_16,40654,1935,181.0
Csv_7,41266,1759,379.0
Csv_8,18958,1074,81.0
Gson_1,62436,828,357.0
Gson_14,59483,1607,266.0
Gson_3,35071,1137,112.0
Gson_4,36121,1048,144.0
Gson_7,42233,1077,205.0
Gson_8,12284,637,58.0
Gson_9,80196,3041,480.0
JacksonCore_1,28862,1001,179.0
JacksonCore_10,211663,2307,717.0
JacksonCore_12,70322,1499,379.0
JacksonCore_16,91646,3464,337.0
JacksonCore_17,30915,1137,125.0
JacksonCore_18,41184,495,162.0
JacksonCore_19,53558,2181,225.0
JacksonCore_2,102329,2211,589.0
JacksonCore_21,22458,755,115.0
JacksonCore_22,57833,1598,291.0
JacksonCore_24,54113,1499,298.0
JacksonCore_9,38370,1465,105.0
JacksonDatabind_10,61354,1130,416.0
JacksonDatabind_103,99133,1848,849.0
JacksonDatabind_104,38006,1012,223.0
JacksonDatabind_105,64630,1623,401.0
JacksonDatabind_108,53667,1335,448.0
JacksonDatabind_109,79931,1328,859.0
JacksonDatabind_110,76769,2039,452.0
JacksonDatabind_111,107504,1160,850.0
JacksonDatabind_13,159462,3322,559.0
JacksonDatabind_14,66770,1661,514.0
JacksonDatabind_15,69622,1090,563.0
JacksonDatabind_18,81889,1569,455.0
JacksonDatabind_20,62568,912,486.0
JacksonDatabind_21,46618,1282,273.0
JacksonDatabind_22,100919,816,507.0
JacksonDatabind_23,94170,1969,338.0
JacksonDatabind_25,91085,1701,423.0
JacksonDatabind_29,105226,1543,949.0
JacksonDatabind_3,67532,1482,269.0
JacksonDatabind_30,119904,2512,492.0
JacksonDatabind_31,72565,1540,491.0
JacksonDatabind_32,63240,1092,455.0
JacksonDatabind_36,86981,1819,728.0
JacksonDatabind_38,83122,1751,417.0
JacksonDatabind_4,64313,1347,453.0
JacksonDatabind_41,50182,1401,284.0
JacksonDatabind_43,60150,1277,284.0
JacksonDatabind_48,89524,1601,521.0
JacksonDatabind_50,138782,2254,798.0
JacksonDatabind_52,158510,3086,435.0
JacksonDatabind_53,248149,5820,683.0
JacksonDatabind_54,44529,833,417.0
JacksonDatabind_55,65987,1616,414.0
JacksonDatabind_56,73311,1726,417.0
JacksonDatabind_59,115062,2546,584.0
JacksonDatabind_6,67585,339,484.0
JacksonDatabind_60,72016,1776,700.0
JacksonDatabind_61,48074,881,368.0
JacksonDatabind_65,41727,601,379.0
JacksonDatabind_66,49138,1133,472.0
JacksonDatabind_68,83020,595,573.0
JacksonDatabind_69,69507,1765,475.0
JacksonDatabind_72,49813,1143,318.0
JacksonDatabind_73,98869,1469,581.0
JacksonDatabind_75,61599,734,340.0
JacksonDatabind_77,71387,1297,491.0
JacksonDatabind_78,54946,1140,310.0
JacksonDatabind_79,59160,1268,545.0
JacksonDatabind_8,60189,1226,447.0
JacksonDatabind_80,49142,784,362.0
JacksonDatabind_81,69545,339,383.0
JacksonDatabind_87,66051,677,209.0
JacksonDatabind_90,69011,1558,383.0
JacksonDatabind_94,42674,314,278.0
JacksonDatabind_95,49009,682,335.0
JacksonXml_1,94729,2395,304.0
JacksonXml_2,19299,8845,33575.0
JacksonXml_6,60815,1760,275.0
Jsoup_11,46904,870,152.0
Jsoup_12,41398,1620,302.0
Jsoup_14,91618,2200,208.0
Jsoup_16,23043,1030,88.0
Jsoup_18,43496,1467,123.0
Jsoup_21,55902,1499,246.0
Jsoup_22,34926,1412,113.0
Jsoup_23,17388,572,61.0
Jsoup_28,31740,739,169.0
Jsoup_29,22837,1184,89.0
Jsoup_3,78127,2220,397.0
Jsoup_30,31586,1472,84.0
Jsoup_31,33519,1229,109.0
Jsoup_36,38118,886,132.0
Jsoup_4,24715,909,125.0
Jsoup_42,19612,507,110.0
Jsoup_50,23772,194,430.0
Jsoup_52,52170,1551,179.0
Jsoup_56,36610,815,159.0
Jsoup_58,44758,1439,260.0
Jsoup_59,37254,1101,165.0
Jsoup_60,70019,1995,262.0
Jsoup_63,100234,1206,434.0
Jsoup_65,75377,2567,228.0
Jsoup_66,82729,1884,555.0
Jsoup_67,99587,2704,324.0
Jsoup_7,128841,2278,486.0
Jsoup_71,126593,2206,771.0
Jsoup_73,25059,654,134.0
Jsoup_74,70582,2001,143.0
Jsoup_78,32401,867,159.0
Jsoup_79,23208,727,132.0
Jsoup_81,34108,1158,123.0
Jsoup_83,159874,1187,402.0
Jsoup_87,61978,1852,193.0
Jsoup_91,129081,3497,307.0
Jsoup_92,67879,1278,327.0
JxPath_1,184379,4147,347.0
JxPath_11,115237,3137,286.0
JxPath_13,18494,605,434.0
JxPath_15,26114,1018,112.0
JxPath_16,54663,2017,86.0
JxPath_17,21300,768,71.0
JxPath_18,80974,1565,176.0
JxPath_19,56494,1512,128.0
JxPath_2,29205,1081,101.0
JxPath_20,37357,854,147.0
JxPath_3,81497,1829,265.0
JxPath_4,61350,1229,300.0
JxPath_7,59033,1161,188.0
JxPath_9,62306,1925,324.0
Lang_13,17774,763,93.0
Lang_15,121614,3125,299.0
Lang_19,27925,272,96.0
Lang_20,50847,1067,126.0
Lang_23,32810,1134,150.0
Lang_27,35375,1323,140.0
Lang_30,277261,9104,342.0
Lang_32,38219,1475,121.0
Lang_34,79770,2848,173.0
Lang_35,55293,2203,108.0
Lang_36,76319,2743,195.0
Lang_4,23870,503,95.0
Lang_41,157574,3851,318.0
Lang_46,96674,1058,371.0
Lang_47,84316,3133,103.0
Lang_5,41987,413,143.0
Lang_50,137391,3175,435.0
Lang_56,49457,2029,157.0
Lang_60,44002,930,138.0
Lang_62,57616,822,134.0
Lang_63,33582,1187,168.0
Lang_64,44907,1680,114.0
Lang_65,135833,2383,996.0
Lang_7,45864,1716,136.0
Lang_8,33925,1110,121.0
Math_1,61716,2533,277.0
Math_100,75111,1895,258.0
Math_106,20466,465,101.0
Math_12,23094,793,453.0
Math_14,37545,988,553.0
Math_15,47980,2345,251.0
Math_16,35810,1004,279.0
Math_18,254256,4847,1128.0
Math_21,127987,2307,899.0
Math_22,26958,1131,359.0
Math_23,17995,362,266.0
Math_24,22680,725,233.0
Math_26,89270,2424,392.0
Math_28,107739,2992,610.0
Math_29,32044,443,228.0
Math_31,128233,27126,1803.0
Math_35,8093,454,194.0
Math_36,150682,4042,552.0
Math_37,46327,1456,284.0
Math_38,119424,2708,287.0
Math_4,51892,1368,203.0
Math_44,101982,1364,252.0
Math_46,150241,2652,812.0
Math_47,28030,567,234.0
Math_49,34434,1104,196.0
Math_52,77043,1862,264.0
Math_54,113337,3562,349.0
Math_55,136498,2817,512.0
Math_6,126883,2704,733.0
Math_61,13649,380,66.0
Math_62,34105,904,260.0
Math_64,94127,2087,242.0
Math_65,13459,763,89.0
Math_66,311775,2077,782.0
Math_68,162594,1247,456.0
Math_7,37895,583,713.0
Math_71,136912,1923,341.0
Math_72,44460,2193,96.0
Math_76,307789,1141,727.0
Math_77,13925,521,73.0
Math_78,21083,296,172.0
Math_81,34328,1001,113.0
Math_83,127479,2208,623.0
Math_84,31456,352,164.0
Math_86,26011,773,133.0
Math_90,18695,800,82.0
Math_92,26201,876,91.0
Math_93,30007,1204,148.0
Math_98,26483,1033,60.0
Math_99,39742,776,114.0
Mockito_10,36149,1004,117.0
Mockito_14,110516,2276,309.0
Mockito_15,21471,792,162.0
Mockito_16,33383,728,161.0
Mockito_17,25017,1083,141.0
Mockito_19,28827,329,185.0
Mockito_2,54184,1141,143.0
Mockito_20,126264,2800,362.0
Mockito_21,81089,24777,1825.0
Mockito_23,26357,264,124.0
Mockito_25,118045,2146,658.0
Mockito_3,77100,1981,195.0
Mockito_30,38002,1170,125.0
Mockito_31,22478,905,153.0
Mockito_32,32453,1186,176.0
Mockito_35,41037,1139,211.0
Mockito_36,34185,1071,121.0
Mockito_4,93759,1448,658.0
Mockito_6,41172,1152,157.0
Mockito_9,66979,988,151.0
Time_1,58322,1067,249.0
Time_10,37512,1239,145.0
Time_12,65683,1833,193.0
Time_13,61170,2235,122.0
Time_2,133033,3310,312.0
Time_23,69828,851,125.0
Time_26,67350,704,223.0
Time_3,33255,873,99.0
Time_6,70966,1453,315.0
Time_9,38823,1301,165.0
