bug_id,input_token,output_token,time_duration
Compress_42,25756,2214,188.0
Compress_43,58105,3479,147.0
Compress_47,58148,6958,268.0
Compress_6,17877,1856,78.0
Compress_9,19069,1379,92.0
Csv_13,31231,2353,135.0
Csv_16,38282,4307,181.0
Csv_7,40999,2026,379.0
Csv_8,18775,1257,81.0
Gson_1,56877,6387,357.0
Gson_14,49651,11439,266.0
Gson_3,33705,2503,112.0
Gson_4,34928,2241,144.0
Gson_7,38168,5142,205.0
Gson_8,10694,2227,58.0
Gson_9,76714,6523,480.0
JacksonCore_1,26948,2915,179.0
JacksonCore_10,189677,24293,717.0
JacksonCore_12,60180,11641,379.0
JacksonCore_16,86344,8766,337.0
JacksonCore_17,30000,2052,125.0
JacksonCore_18,35625,6054,162.0
JacksonCore_19,53423,2316,225.0
JacksonCore_2,85999,18541,589.0
JacksonCore_21,20931,2282,115.0
JacksonCore_22,52056,7375,291.0
JacksonCore_24,51179,4433,298.0
JacksonCore_9,38065,1770,105.0
JacksonDatabind_10,56627,5857,416.0
JacksonDatabind_103,90820,10161,849.0
JacksonDatabind_104,35330,3688,223.0
JacksonDatabind_105,62907,3346,401.0
JacksonDatabind_108,51909,3093,448.0
JacksonDatabind_109,67499,13760,859.0
JacksonDatabind_110,72707,6101,452.0
JacksonDatabind_111,98736,9928,850.0
JacksonDatabind_13,149814,12970,559.0
JacksonDatabind_14,63432,4999,514.0
JacksonDatabind_15,62491,8221,563.0
JacksonDatabind_18,76637,6821,455.0
JacksonDatabind_20,59615,3865,486.0
JacksonDatabind_21,44844,3056,273.0
JacksonDatabind_22,90991,10744,507.0
JacksonDatabind_23,87471,8668,338.0
JacksonDatabind_25,89053,3733,423.0
JacksonDatabind_29,92462,14307,949.0
JacksonDatabind_3,64046,4968,269.0
JacksonDatabind_30,111795,10621,492.0
JacksonDatabind_31,66312,7793,491.0
JacksonDatabind_32,57117,7215,455.0
JacksonDatabind_36,75653,13147,728.0
JacksonDatabind_38,77153,7720,417.0
JacksonDatabind_4,58789,6871,453.0
JacksonDatabind_41,48560,3023,284.0
JacksonDatabind_43,56328,5099,284.0
JacksonDatabind_48,85921,5204,521.0
JacksonDatabind_50,130011,11025,798.0
JacksonDatabind_52,150109,11487,435.0
JacksonDatabind_53,241904,12065,683.0
JacksonDatabind_54,40912,4450,417.0
JacksonDatabind_55,62924,4679,414.0
JacksonDatabind_56,67290,7747,417.0
JacksonDatabind_59,111695,5913,584.0
JacksonDatabind_6,58928,8996,484.0
JacksonDatabind_60,64639,9153,700.0
JacksonDatabind_61,45937,3018,368.0
JacksonDatabind_65,38144,4184,379.0
JacksonDatabind_66,46921,3350,472.0
JacksonDatabind_68,76110,7505,573.0
JacksonDatabind_69,66573,4699,475.0
JacksonDatabind_72,47829,3127,318.0
JacksonDatabind_73,92555,7783,581.0
JacksonDatabind_75,57295,5038,340.0
JacksonDatabind_77,67776,4908,491.0
JacksonDatabind_78,50623,5463,310.0
JacksonDatabind_79,55717,4711,545.0
JacksonDatabind_8,57242,4173,447.0
JacksonDatabind_80,46116,3810,362.0
JacksonDatabind_81,58304,11580,383.0
JacksonDatabind_87,58445,8283,209.0
JacksonDatabind_90,66656,3913,383.0
JacksonDatabind_94,36343,6645,278.0
JacksonDatabind_95,45904,3787,335.0
JacksonXml_1,90050,7074,304.0
JacksonXml_2,26325,1819,33575.0
JacksonXml_6,54508,8067,275.0
Jsoup_11,42820,4954,152.0
Jsoup_12,40901,2117,302.0
Jsoup_14,88439,5379,208.0
Jsoup_16,19833,4240,88.0
Jsoup_18,42237,2726,123.0
Jsoup_21,51714,5687,246.0
Jsoup_22,33823,2515,113.0
Jsoup_23,15095,2865,61.0
Jsoup_28,27606,4873,169.0
Jsoup_29,22711,1310,89.0
Jsoup_3,73274,7073,397.0
Jsoup_30,30711,2347,84.0
Jsoup_31,31923,2825,109.0
Jsoup_36,34299,4705,132.0
Jsoup_4,22763,2861,125.0
Jsoup_42,17781,2338,110.0
Jsoup_50,17100,6866,430.0
Jsoup_52,48967,4754,179.0
Jsoup_56,32888,4537,159.0
Jsoup_58,42745,3452,260.0
Jsoup_59,35923,2432,165.0
Jsoup_60,62993,9021,262.0
Jsoup_63,90174,11266,434.0
Jsoup_65,70991,6953,228.0
Jsoup_66,71993,12620,555.0
Jsoup_67,94935,7356,324.0
Jsoup_7,119462,11657,486.0
Jsoup_71,117073,11726,771.0
Jsoup_73,22749,2964,134.0
Jsoup_74,69081,3502,143.0
Jsoup_78,30913,2355,159.0
Jsoup_79,22069,1866,132.0
Jsoup_81,32521,2745,123.0
Jsoup_83,145248,15813,402.0
Jsoup_87,60043,3787,193.0
Jsoup_91,125311,7267,307.0
Jsoup_92,63897,5260,327.0
JxPath_1,179995,8531,347.0
JxPath_11,106394,11980,286.0
JxPath_13,17304,1795,434.0
JxPath_15,24889,2243,112.0
JxPath_16,51774,4906,86.0
JxPath_17,17648,4420,71.0
JxPath_18,76680,5859,176.0
JxPath_19,53129,4877,128.0
JxPath_2,28018,2268,101.0
JxPath_20,33974,4237,147.0
JxPath_3,77164,6162,265.0
JxPath_4,53022,9557,300.0
JxPath_7,49317,10877,188.0
JxPath_9,54395,9836,324.0
Lang_13,16758,1779,93.0
Lang_15,116306,8433,299.0
Lang_19,18777,9420,96.0
Lang_20,49268,2646,126.0
Lang_23,31593,2351,150.0
Lang_27,34727,1971,140.0
Lang_30,254093,32272,342.0
Lang_32,36935,2759,121.0
Lang_34,78641,3977,173.0
Lang_35,53732,3764,108.0
Lang_36,73373,5689,195.0
Lang_4,18312,6061,95.0
Lang_41,152061,9364,318.0
Lang_46,86565,11167,371.0
Lang_47,81015,6434,103.0
Lang_5,34465,7935,143.0
Lang_50,128245,12321,435.0
Lang_56,47959,3527,157.0
Lang_60,40487,4445,138.0
Lang_62,48264,10174,134.0
Lang_63,32007,2762,168.0
Lang_64,42303,4284,114.0
Lang_65,115151,23065,996.0
Lang_7,45181,2399,136.0
Lang_8,30701,4334,121.0
Math_1,60792,3457,277.0
Math_100,70098,6908,258.0
Math_106,17845,3086,101.0
Math_12,19908,3979,453.0
Math_14,34838,3695,553.0
Math_15,46828,3497,251.0
Math_16,33302,3512,279.0
Math_18,181126,77977,1128.0
Math_21,89993,40301,899.0
Math_22,26152,1937,359.0
Math_23,15423,2934,266.0
Math_24,20266,3139,233.0
Math_26,81935,9759,392.0
Math_28,101976,8755,610.0
Math_29,26188,6299,228.0
Math_31,122207,33152,1803.0
Math_35,6327,2220,194.0
Math_36,145186,9538,552.0
Math_37,43118,4665,284.0
Math_38,113146,8986,287.0
Math_4,48003,5257,203.0
Math_44,94298,9048,252.0
Math_46,131179,21714,812.0
Math_47,25846,2751,234.0
Math_49,30854,4684,196.0
Math_52,69262,9643,264.0
Math_54,110301,6598,349.0
Math_55,110613,28702,512.0
Math_6,122150,7437,733.0
Math_61,12205,1824,66.0
Math_62,30871,4138,260.0
Math_64,90762,5452,242.0
Math_65,12368,1854,89.0
Math_66,256989,56863,782.0
Math_68,143928,19913,456.0
Math_7,35052,3425,713.0
Math_71,123834,15001,341.0
Math_72,42817,3836,96.0
Math_76,212084,96846,727.0
Math_77,11708,2738,73.0
Math_78,17393,3986,172.0
Math_81,33547,1782,113.0
Math_83,102672,27015,623.0
Math_84,27184,4624,164.0
Math_86,24039,2745,133.0
Math_90,17199,2296,82.0
Math_92,23786,3291,91.0
Math_93,29585,1626,148.0
Math_98,25999,1517,60.0
Math_99,37349,3169,114.0
Mockito_10,34865,2288,117.0
Mockito_14,98753,14039,309.0
Mockito_15,19288,2975,162.0
Mockito_16,31720,2391,161.0
Mockito_17,23436,2664,141.0
Mockito_19,24079,5077,185.0
Mockito_2,48507,6818,143.0
Mockito_20,121316,7748,362.0
Mockito_21,98369,7497,1825.0
Mockito_23,21694,4927,124.0
Mockito_25,113601,6590,658.0
Mockito_3,70129,8952,195.0
Mockito_30,33289,5883,125.0
Mockito_31,19222,4161,153.0
Mockito_32,30624,3015,176.0
Mockito_35,38880,3296,211.0
Mockito_36,31090,4166,121.0
Mockito_4,87706,7501,658.0
Mockito_6,30997,11327,157.0
Mockito_9,61157,6810,151.0
Time_1,56200,3189,249.0
Time_10,36998,1753,145.0
Time_12,61428,6088,193.0
Time_13,58856,4549,122.0
Time_2,125797,10546,312.0
Time_23,63690,6989,125.0
Time_26,62599,5455,223.0
Time_3,31225,2903,99.0
Time_6,64241,8178,315.0
Time_9,36918,3206,165.0
