bug,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other,run_shell_command_sed,run_shell_command_defects4j,run_shell_command_grep,run_shell_command_ls,run_shell_command_echo,run_shell_command_apply_patch,run_shell_command_nl,run_shell_command_awk,run_shell_command_ant,run_shell_command_tail,run_shell_command_find,run_shell_command_cat,run_shell_command_python,run_shell_command_applypatch,run_shell_command_java,run_shell_command_javap,run_shell_command_git,run_shell_command_rg,run_shell_command_wc,run_shell_command_run_bug_exposing_tests.sh,run_shell_command_run_all_tests_trace.sh
Closure_24,14,0,0,0,3,0,0,1,0,5,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Closure_25,21,0,5,0,1,0,0,1,0,12,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_26,14,0,0,0,2,0,0,2,0,5,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_27,22,0,3,0,3,0,0,2,1,8,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Closure_29,42,0,4,0,5,0,1,1,0,11,4,6,1,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
Closure_3,24,1,3,0,4,0,0,3,1,7,4,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Closure_30,38,0,1,0,3,0,0,4,0,11,1,6,4,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_32,27,0,1,0,1,0,0,2,0,15,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_34,23,0,1,0,1,0,0,1,0,12,1,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_37,38,3,3,0,4,0,0,3,1,16,6,5,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3
Closure_39,25,0,2,0,2,0,0,1,0,16,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Closure_4,29,0,0,0,2,0,0,1,0,16,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_41,57,0,0,0,2,0,0,2,1,28,0,13,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_43,32,0,0,0,2,0,0,2,1,13,0,6,2,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_45,19,0,0,0,2,0,0,2,0,8,0,1,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_47,35,0,4,0,1,0,1,1,2,19,4,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Closure_49,91,3,31,0,2,0,0,3,1,34,34,3,3,0,9,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1
Closure_50,23,0,2,0,1,0,0,1,0,9,2,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Closure_51,20,0,3,0,3,0,0,1,0,8,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_53,16,0,0,0,2,0,0,1,0,6,0,0,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_54,61,11,4,0,3,0,0,1,0,30,15,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Closure_6,42,0,5,0,2,0,0,2,0,27,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Closure_60,35,1,8,0,2,0,0,1,0,17,9,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Closure_64,25,0,1,0,2,0,0,1,0,12,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Closure_68,33,0,0,0,2,0,0,2,0,12,0,5,2,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_72,29,0,1,0,2,0,0,3,0,13,1,2,3,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_74,37,0,8,0,1,0,0,3,0,18,8,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_75,24,1,2,0,3,0,0,2,0,12,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Closure_76,19,0,2,0,4,0,0,1,0,10,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Closure_79,41,1,4,0,1,0,4,1,0,23,5,3,1,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,0
Closure_80,27,2,5,0,2,0,0,2,0,13,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Closure_84,67,0,0,0,6,0,0,5,0,15,0,21,5,9,5,6,0,0,0,0,0,0,0,0,0,0,0,1,5,0
Closure_85,52,0,10,0,7,0,1,2,0,18,10,3,2,2,6,4,0,1,0,0,0,0,1,0,0,0,0,0,0,5
Closure_89,54,0,13,0,6,0,0,5,1,19,13,4,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
Closure_9,19,0,1,0,2,1,0,3,0,5,1,0,3,5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Closure_90,92,0,3,0,2,0,3,2,0,40,3,22,2,14,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
Closure_98,34,2,1,0,3,0,0,3,0,18,3,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
Closure_99,8,0,0,0,1,0,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Codec_1,19,0,0,0,1,0,0,3,0,8,0,1,3,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Codec_11,54,0,23,0,4,0,0,1,15,12,23,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Codec_12,19,1,2,0,1,0,0,2,0,10,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Codec_13,25,0,2,0,2,0,0,2,0,12,2,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Codec_14,39,2,3,0,2,0,0,4,0,17,5,5,4,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1
Codec_6,13,2,0,0,1,0,0,1,0,8,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Codec_8,20,0,2,0,1,0,0,1,0,10,2,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collections_25,25,1,2,0,2,0,0,3,0,12,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Compress_10,15,2,3,0,1,0,0,1,0,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Compress_11,23,0,1,0,2,0,0,1,0,12,1,3,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress_2,17,3,2,0,1,0,0,3,0,6,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Compress_20,22,0,3,0,2,0,0,1,0,12,3,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Compress_22,19,0,3,0,1,0,0,2,0,8,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compress_29,56,6,4,0,1,0,2,4,0,21,10,7,4,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
Compress_3,27,0,5,0,1,0,0,1,0,16,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Compress_33,22,2,0,0,3,0,0,2,0,13,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1
Compress_34,15,1,2,0,2,0,1,1,0,7,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Compress_35,18,1,6,0,2,0,0,1,0,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Compress_39,18,0,0,0,3,0,0,3,0,7,0,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Compress_4,43,0,3,0,2,0,1,6,0,20,3,5,6,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Compress_40,14,2,1,0,3,0,0,1,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Compress_42,23,1,1,0,4,0,0,1,0,12,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1
Compress_43,20,0,0,0,2,0,0,1,0,10,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Compress_47,31,2,0,0,3,0,0,1,0,18,2,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Compress_6,11,1,3,0,1,0,0,2,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Compress_9,14,0,0,0,1,0,0,1,0,9,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csv_13,18,0,0,0,1,0,0,3,0,10,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csv_16,17,0,2,0,3,0,0,1,0,6,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
Csv_7,28,1,2,0,2,0,0,2,0,16,3,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
Csv_8,15,0,2,0,2,0,0,1,0,9,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Gson_1,29,3,2,0,3,0,0,1,0,17,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Gson_14,28,0,11,0,4,0,0,1,0,6,11,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3
Gson_3,13,1,2,0,3,0,0,1,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gson_4,23,1,2,0,2,0,0,2,1,10,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Gson_7,25,1,2,0,2,0,0,1,0,13,3,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Gson_8,10,1,2,0,1,0,0,1,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gson_9,54,2,3,0,3,0,1,7,0,16,5,3,6,0,1,2,0,1,0,0,1,1,1,0,13,0,0,0,1,2
JacksonCore_1,20,1,3,0,2,0,0,1,0,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JacksonCore_10,56,0,0,0,13,0,0,3,0,8,0,1,3,17,18,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JacksonCore_12,44,2,2,1,2,0,0,1,0,23,5,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
JacksonCore_16,33,0,0,0,5,0,0,2,0,14,0,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
JacksonCore_17,16,1,1,0,3,0,0,2,0,8,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
JacksonCore_18,27,0,2,0,1,0,0,1,0,12,2,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JacksonCore_19,30,1,0,0,2,0,0,1,0,19,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1
JacksonCore_2,60,4,4,0,4,0,0,3,0,24,8,6,2,4,0,2,0,0,0,2,1,0,5,0,2,0,0,0,0,3
JacksonCore_21,15,0,2,0,2,0,0,1,0,7,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JacksonCore_22,27,0,0,0,2,0,0,4,0,15,0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JacksonCore_24,33,0,7,0,4,1,0,2,0,12,7,5,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2
JacksonCore_9,24,0,2,0,1,0,0,2,0,16,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JacksonDatabind_10,38,2,5,0,2,0,0,3,0,22,7,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
JacksonDatabind_103,68,1,10,0,5,0,0,5,0,28,11,11,5,0,1,2,0,0,1,0,2,0,1,0,0,0,0,0,4,1
JacksonDatabind_104,20,0,0,0,3,0,0,2,0,9,0,3,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind_105,44,2,1,0,3,0,0,2,0,26,3,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
JacksonDatabind_108,37,0,2,0,2,0,0,2,0,22,2,7,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_109,50,3,5,0,3,1,0,2,2,25,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
JacksonDatabind_110,32,1,5,0,3,0,2,4,0,11,6,2,4,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_111,52,0,4,0,3,0,0,2,0,31,4,3,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
JacksonDatabind_13,56,0,6,0,2,0,2,6,3,28,6,7,5,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1
JacksonDatabind_14,44,1,7,0,4,0,0,1,3,20,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
JacksonDatabind_15,41,1,6,0,2,0,3,4,1,17,7,1,4,7,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
JacksonDatabind_18,38,1,5,0,3,0,0,1,2,20,6,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
JacksonDatabind_20,36,0,1,0,2,0,0,3,4,21,1,1,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind_21,33,1,1,0,4,0,0,2,0,18,2,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
JacksonDatabind_22,38,1,4,0,2,0,0,4,0,17,5,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_23,35,1,6,0,2,0,0,2,0,14,7,4,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_25,48,0,3,0,2,0,0,2,0,35,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_29,73,0,0,0,2,1,0,5,1,33,0,3,4,12,0,1,0,0,0,0,1,10,3,0,0,1,0,0,0,0
JacksonDatabind_3,23,0,3,0,2,0,0,2,0,13,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_30,37,0,2,0,2,0,0,2,0,26,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_31,40,1,5,0,2,0,0,2,0,19,6,8,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_32,36,2,7,0,2,0,0,4,3,11,9,0,4,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
JacksonDatabind_36,52,0,7,0,2,0,1,3,3,14,7,4,3,6,0,3,0,0,0,0,9,0,0,1,0,0,0,0,0,0
JacksonDatabind_38,41,3,1,0,3,0,0,3,0,26,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
JacksonDatabind_4,40,1,3,0,2,1,0,3,0,18,4,7,3,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
JacksonDatabind_41,36,1,0,0,4,0,0,2,0,21,1,5,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_43,24,2,3,0,3,0,0,2,1,11,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
JacksonDatabind_48,50,1,4,0,5,0,0,1,1,29,5,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2
JacksonDatabind_50,66,0,3,0,4,0,0,1,1,42,3,7,1,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1
JacksonDatabind_52,43,1,4,0,2,0,0,2,0,27,5,4,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
JacksonDatabind_53,83,0,4,0,2,0,0,3,0,47,4,19,3,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_54,25,2,4,0,2,0,0,3,0,7,6,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JacksonDatabind_55,34,0,3,0,2,0,0,1,3,18,3,1,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JacksonDatabind_56,34,0,3,0,3,0,0,3,0,15,3,4,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
JacksonDatabind_59,65,1,3,0,4,0,3,2,1,35,4,7,2,0,0,3,2,1,0,1,2,0,0,2,0,0,0,0,3,1
JacksonDatabind_6,35,0,2,0,2,1,0,2,3,15,2,2,2,5,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
JacksonDatabind_60,36,0,1,0,2,0,0,4,0,17,1,6,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JacksonDatabind_61,27,0,3,0,2,0,0,3,0,12,3,4,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1
JacksonDatabind_65,24,1,2,0,3,0,0,2,0,11,3,3,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JacksonDatabind_66,31,1,3,0,4,0,0,2,0,15,4,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
