bug,Bash,Bash_defects4j_compile,Bash_defects4j_test,Bash_defects4j_other,Bash_test_scripts,Bash_git_all,Bash_build_and_execution,Bash_file_operations,Bash_other,Edit,Glob,Grep,Read,TodoWrite,WebFetch,Write
cli_7,17,2,3,0,1,3,4,3,1,2,3,0,4,8,0,0
closure_100,17,4,7,0,1,1,0,2,2,4,2,0,8,5,0,0
closure_103,23,2,11,1,1,0,0,3,5,2,5,3,4,9,0,0
closure_105,22,2,4,0,1,5,1,2,7,1,1,4,3,6,0,0
closure_106,23,3,8,0,1,7,1,0,3,4,3,1,5,6,0,0
closure_108,19,2,6,0,1,4,2,0,4,5,2,0,3,5,0,0
closure_110,58,17,10,0,13,2,3,5,8,32,2,2,29,5,0,0
closure_115,24,2,3,0,3,7,4,2,3,2,4,13,8,5,0,0
closure_116,19,3,6,0,1,0,0,1,8,4,2,8,5,4,0,0
closure_117,27,2,5,0,1,5,1,5,8,2,0,3,4,6,0,0
closure_134,36,4,6,0,1,15,4,0,6,8,3,0,5,4,0,0
closure_135,48,7,14,0,1,20,0,2,4,8,2,15,11,11,0,0
closure_136,26,6,11,0,1,0,8,0,0,8,8,13,13,6,0,0
closure_137,43,7,10,0,1,9,11,1,4,12,4,5,7,6,0,0
closure_138,23,3,7,0,3,5,2,1,2,2,4,5,11,5,0,0
closure_139,30,3,10,0,1,4,3,3,6,3,2,4,4,10,0,0
closure_140,23,3,5,0,1,4,3,0,7,7,3,0,6,6,0,0
closure_141,16,2,9,0,1,0,1,2,1,1,4,6,8,5,0,0
closure_142,24,4,8,0,1,0,1,1,9,5,4,1,7,5,0,0
closure_143,14,3,9,0,1,0,0,1,0,5,4,7,8,9,0,0
closure_144,74,11,25,0,2,0,5,0,31,14,4,4,10,10,0,0
closure_147,41,5,10,0,1,8,5,0,12,3,4,2,7,5,0,0
closure_148,37,4,9,1,1,8,4,3,7,1,3,2,7,5,0,0
closure_149,34,5,8,0,5,0,4,1,11,6,3,5,12,11,0,2
closure_151,17,2,5,0,1,5,1,0,3,3,3,2,7,5,0,0
closure_153,20,4,8,0,1,0,1,1,5,4,4,2,8,6,0,0
closure_154,25,2,4,0,1,2,4,2,10,5,2,2,6,8,0,0
closure_155,23,3,4,0,1,11,0,0,4,7,3,3,6,10,0,1
closure_156,14,2,7,0,1,2,1,1,0,5,2,0,6,6,0,0
closure_157,44,9,10,0,2,9,5,1,8,13,4,23,10,6,0,0
closure_158,18,2,5,0,1,9,0,1,0,10,3,6,7,5,0,0
closure_16,20,2,6,0,1,5,0,1,5,2,3,0,3,6,0,0
closure_160,9,2,5,0,1,0,0,0,1,2,3,9,9,6,0,0
closure_162,11,2,4,0,1,1,1,1,1,3,2,0,6,5,0,1
closure_163,25,4,12,0,1,0,5,1,2,7,3,0,5,5,0,0
closure_164,25,2,6,0,1,1,0,4,11,1,4,5,3,5,0,0
closure_165,15,2,4,0,2,3,0,2,2,6,1,2,6,6,0,0
closure_167,50,6,9,0,1,28,2,1,3,5,2,5,6,6,0,0
closure_169,44,6,9,0,1,13,2,3,10,6,2,7,12,5,0,1
closure_171,48,11,23,0,3,2,3,1,5,10,3,0,15,5,0,0
closure_173,23,4,14,0,2,1,0,1,1,4,6,8,13,7,0,0
closure_174,35,7,5,0,1,13,2,4,3,8,3,0,10,6,0,0
closure_175,39,9,10,0,1,8,2,2,7,11,3,7,11,8,0,0
closure_176,30,5,10,0,2,10,0,0,3,8,1,7,5,10,0,0
closure_21,33,4,7,0,1,6,2,4,9,4,2,0,3,5,0,0
closure_24,19,3,10,0,1,1,1,2,1,2,2,2,5,5,0,0
closure_25,14,2,5,0,1,0,1,1,4,2,2,0,4,6,0,0
closure_26,13,2,5,0,1,3,1,1,0,3,3,0,5,5,0,0
closure_27,9,2,4,0,2,0,0,1,0,2,2,0,4,7,0,0
closure_29,30,5,11,0,1,3,3,1,6,4,3,0,5,9,0,0
closure_3,11,2,5,0,1,0,0,0,3,2,3,3,5,5,0,0
closure_30,37,6,14,0,3,7,1,1,5,9,3,1,10,5,0,0
closure_32,48,12,21,0,2,0,1,4,8,20,3,8,20,6,0,0
closure_34,38,7,7,0,1,0,7,6,10,7,2,0,7,5,0,0
closure_37,36,7,9,0,2,2,2,3,11,5,1,4,14,3,0,0
closure_39,15,3,4,0,1,0,3,1,3,2,3,2,8,7,0,0
closure_4,17,2,6,0,1,1,1,1,5,2,2,15,3,5,0,0
closure_41,20,4,6,0,3,0,0,3,4,2,1,2,9,5,0,0
closure_43,11,1,5,0,1,2,0,1,1,3,1,4,4,9,0,0
closure_45,12,2,6,0,1,1,1,1,0,2,2,0,4,5,0,0
closure_47,12,2,4,0,1,3,1,1,0,2,5,1,6,5,0,0
closure_49,28,4,8,0,1,8,2,1,4,8,0,0,7,5,0,0
closure_50,14,2,6,0,2,0,0,2,2,2,2,0,5,5,0,0
closure_51,10,2,4,0,1,0,0,1,2,1,3,8,3,5,0,0
closure_53,10,2,3,0,2,1,0,1,1,1,1,1,4,6,0,0
closure_54,58,10,16,0,4,20,2,3,3,11,2,8,16,4,0,0
closure_6,32,2,6,0,1,15,1,1,6,2,3,1,6,9,0,0
closure_60,23,3,9,0,1,1,1,1,7,2,3,3,5,5,0,0
closure_64,8,2,4,0,1,0,0,1,0,2,1,4,5,7,0,0
closure_68,16,3,6,0,3,0,0,2,2,3,2,3,8,8,0,0
closure_72,17,4,5,0,1,1,4,1,1,4,4,6,5,5,0,0
closure_74,30,3,12,0,1,0,5,2,7,2,3,4,8,3,0,0
closure_75,18,2,4,0,2,6,0,1,3,3,1,2,4,6,0,0
closure_76,17,2,9,0,1,2,1,0,2,3,1,0,2,5,0,0
closure_79,29,5,6,0,1,12,3,1,1,2,4,0,9,6,0,0
closure_80,13,3,7,0,2,0,0,1,0,2,2,6,5,5,0,0
closure_84,21,2,4,0,1,5,0,1,8,3,3,0,3,6,0,0
closure_85,22,2,5,0,1,8,3,1,2,4,1,0,4,5,0,0
closure_89,32,6,12,0,2,8,2,2,0,5,3,2,13,5,0,0
closure_9,21,2,5,0,1,1,2,3,7,1,2,0,5,5,0,0
closure_90,30,4,9,0,1,6,2,2,6,4,2,5,4,5,0,0
closure_98,26,7,11,0,1,0,5,1,1,10,3,3,9,6,0,0
closure_99,20,3,12,0,1,1,0,0,3,5,2,6,3,5,0,0
codec_1,9,2,2,0,2,0,0,3,0,3,5,4,7,8,0,0
codec_11,25,8,3,0,1,4,1,1,7,13,1,0,8,5,0,0
codec_12,10,1,5,0,1,1,0,1,1,1,0,2,4,6,0,0
codec_13,12,2,5,0,1,0,0,2,2,1,1,0,3,7,0,1
codec_14,16,2,4,0,1,3,2,2,2,3,3,1,5,5,0,0
codec_6,12,2,4,0,1,1,1,2,1,1,2,2,4,6,0,0
codec_8,20,3,6,0,1,1,1,2,6,2,3,1,7,6,0,1
collections_25,10,2,4,0,1,1,0,1,1,1,4,2,4,6,0,0
compress_10,22,2,6,0,1,1,0,1,11,1,0,2,2,5,0,0
compress_11,8,2,4,0,1,0,0,1,0,1,2,0,3,6,0,0
compress_2,20,4,5,0,1,1,0,2,7,7,3,1,7,7,0,0
compress_20,23,2,4,0,1,3,3,2,8,6,1,2,3,6,0,0
compress_22,35,5,7,0,1,11,4,1,6,11,3,0,6,7,0,1
compress_29,69,11,9,0,1,17,4,6,21,14,3,0,11,9,0,0
compress_3,7,1,3,0,1,1,0,0,1,4,2,2,5,6,0,0
compress_33,7,2,3,0,1,0,0,0,1,2,4,0,5,7,0,0
compress_34,21,2,4,0,1,7,0,1,6,4,2,0,3,5,0,0
compress_35,15,2,4,1,1,1,0,2,4,1,3,1,4,6,0,0
compress_39,8,2,4,0,1,0,0,1,0,1,2,0,3,5,0,0
compress_4,14,2,5,0,1,1,0,1,4,2,5,0,6,7,0,0
compress_40,23,2,5,0,1,4,1,2,8,1,1,0,3,6,0,7
compress_42,12,2,4,0,1,0,0,3,2,1,3,0,4,6,0,0
compress_43,12,2,5,0,2,1,0,0,2,2,2,2,3,6,0,0
compress_47,8,2,3,0,1,1,0,0,1,2,3,0,3,6,0,0
compress_6,8,1,4,0,1,1,0,1,0,1,2,0,3,6,0,0
compress_9,19,4,5,1,1,0,2,1,5,12,2,0,7,7,0,1
csv_13,11,2,6,0,1,0,1,1,0,2,3,0,4,5,0,0
csv_16,9,2,4,0,1,1,0,1,0,2,2,2,2,7,0,0
csv_7,8,2,4,0,1,0,0,1,0,1,1,1,4,6,0,0
csv_8,13,2,4,0,2,2,0,2,1,1,2,2,2,5,0,0
gson_1,31,5,6,1,1,6,0,2,10,3,1,1,6,5,0,0
gson_14,11,2,5,0,1,2,0,1,0,2,2,0,3,6,0,0
gson_3,17,2,6,0,1,0,1,2,5,2,2,1,4,6,0,0
gson_4,18,2,5,0,1,0,0,4,6,2,4,2,3,9,0,0
gson_7,12,2,4,0,1,0,0,2,3,2,3,1,4,7,0,0
gson_8,13,2,8,0,1,1,0,1,0,5,1,1,5,6,0,0
gson_9,63,4,9,1,1,6,14,5,23,2,2,0,6,6,0,0
jacksoncore_1,8,2,4,0,1,0,0,1,0,2,3,0,7,5,0,0
jacksoncore_10,22,4,7,0,1,5,1,1,3,4,3,0,4,6,0,1
jacksoncore_12,42,6,9,0,1,9,3,3,11,18,4,31,35,7,0,1
jacksoncore_16,13,3,5,0,2,1,0,2,0,3,2,0,6,6,0,0
jacksoncore_17,14,2,5,0,1,0,0,2,4,1,4,4,7,5,0,0
jacksoncore_18,7,2,3,0,1,0,0,1,0,4,5,2,6,6,0,0
jacksoncore_19,8,2,4,0,1,0,0,1,0,2,2,7,7,6,0,0
jacksoncore_2,22,3,5,0,1,0,1,1,11,11,4,0,13,7,0,0
jacksoncore_21,22,2,9,0,1,1,1,3,5,2,3,4,4,6,0,2
jacksoncore_22,39,10,11,0,1,0,2,3,12,38,3,0,9,7,0,2
jacksoncore_24,13,3,5,0,2,0,1,0,2,4,5,9,9,6,0,0
jacksoncore_9,10,2,4,0,1,1,0,2,0,1,2,6,5,6,0,0
jacksondatabind_10,14,4,5,0,1,0,0,0,4,5,1,4,4,6,0,1
jacksondatabind_103,46,5,8,0,1,10,3,2,17,7,6,12,13,9,0,2
jacksondatabind_104,28,4,11,1,1,5,0,1,5,3,3,0,2,5,0,0
jacksondatabind_105,27,1,8,0,1,7,2,1,7,2,0,17,7,6,0,0
jacksondatabind_108,15,2,8,1,1,1,0,1,1,2,3,3,4,6,0,0
jacksondatabind_109,44,4,8,0,2,18,2,0,10,11,0,7,13,6,0,0
jacksondatabind_110,23,2,12,1,2,0,2,0,4,3,1,2,3,7,0,0
jacksondatabind_111,11,3,5,0,1,0,1,0,1,4,3,7,10,6,0,0
jacksondatabind_13,12,2,5,0,1,0,0,0,4,2,2,1,7,6,0,0
jacksondatabind_14,15,1,4,0,1,1,2,3,3,1,3,0,6,6,0,1
jacksondatabind_15,13,2,4,0,1,1,4,1,0,2,3,1,6,5,0,0
jacksondatabind_18,23,2,6,0,1,4,2,2,6,8,3,0,3,6,0,1
jacksondatabind_20,18,2,4,0,1,3,0,3,5,2,0,9,6,6,0,1
jacksondatabind_21,20,2,4,0,1,3,1,1,8,2,4,4,5,6,0,1
jacksondatabind_22,23,5,7,0,1,5,1,2,2,12,1,5,15,4,0,1
jacksondatabind_23,19,2,4,0,1,0,1,2,9,6,0,9,4,6,0,1
jacksondatabind_25,34,3,5,0,1,6,3,1,15,3,3,2,8,8,0,1
jacksondatabind_29,17,2,6,0,1,2,0,2,4,2,2,1,4,7,0,0
jacksondatabind_3,16,2,4,0,1,1,1,3,4,1,2,0,3,5,0,1
jacksondatabind_30,13,2,4,0,2,0,0,0,5,5,2,4,7,5,0,0
jacksondatabind_31,23,3,5,0,1,6,0,2,6,10,2,5,5,7,0,0
jacksondatabind_32,21,2,4,0,1,1,0,4,9,2,1,4,5,6,0,1
jacksondatabind_36,7,2,3,0,1,0,0,1,0,2,2,0,3,4,0,0
jacksondatabind_38,23,2,6,0,1,5,1,2,6,6,3,3,6,9,0,0
jacksondatabind_4,21,3,4,0,1,0,0,4,9,3,6,2,6,9,0,1
jacksondatabind_41,12,1,5,0,1,4,0,0,1,1,2,0,2,5,0,0
jacksondatabind_43,18,2,5,0,1,1,1,2,6,3,3,0,6,6,0,0
jacksondatabind_48,31,2,5,0,1,12,0,1,10,2,6,0,11,7,0,0
jacksondatabind_50,10,2,4,0,1,0,1,0,2,7,5,4,9,7,0,1
jacksondatabind_52,11,2,4,0,1,0,2,0,2,3,1,4,7,7,0,0
jacksondatabind_53,44,11,6,0,4,10,5,2,6,19,3,23,12,6,0,0
jacksondatabind_54,17,3,4,0,1,1,1,3,4,1,4,2,5,7,0,1
jacksondatabind_55,16,2,8,0,1,0,0,1,4,2,5,5,9,8,0,0
jacksondatabind_56,9,2,4,0,1,1,0,0,1,1,2,0,2,6,0,0
jacksondatabind_59,23,7,4,0,1,0,1,3,7,3,3,11,10,5,0,0
jacksondatabind_6,20,2,8,0,1,1,3,3,2,3,3,3,6,8,0,2
jacksondatabind_60,26,2,6,0,1,1,1,3,12,2,2,2,5,5,0,3
jacksondatabind_61,13,2,4,0,1,1,1,0,4,1,2,2,5,6,0,1
jacksondatabind_65,7,1,3,0,1,1,0,0,1,1,3,0,4,6,0,0
jacksondatabind_66,35,4,6,0,1,1,2,3,18,3,5,7,9,8,0,1
jacksondatabind_68,51,5,12,0,1,6,4,7,16,10,2,11,12,8,0,1
jacksondatabind_69,10,3,3,0,1,0,1,1,1,3,4,0,8,5,0,0
jacksondatabind_72,22,3,4,0,1,5,4,0,5,2,0,6,9,7,0,1
jacksondatabind_73,16,4,8,0,1,0,0,0,3,3,0,4,6,5,0,0
jacksondatabind_75,27,2,7,0,1,3,1,4,9,3,1,4,4,7,0,2
jacksondatabind_77,13,2,4,0,1,5,0,0,1,2,2,7,6,6,0,0
jacksondatabind_78,13,2,4,1,1,4,1,0,0,3,1,4,3,5,0,0
jacksondatabind_79,14,3,5,0,1,1,0,2,2,2,1,3,5,6,0,1
jacksondatabind_8,16,2,4,0,1,0,1,2,6,1,2,2,4,5,0,2
jacksondatabind_80,31,3,8,0,1,9,4,2,4,4,3,0,4,6,0,0
jacksondatabind_81,30,4,6,1,2,6,6,1,4,7,3,3,9,7,0,0
jacksondatabind_87,14,1,7,0,1,3,0,0,2,1,0,1,2,6,0,0
jacksondatabind_90,12,2,4,0,1,1,0,2,2,1,2,0,3,6,0,0
jacksondatabind_94,13,2,4,0,1,3,0,1,2,2,1,1,4,6,0,0
jacksondatabind_95,10,2,4,0,1,0,1,1,1,1,3,0,5,7,0,0
jacksonxml_1,48,9,17,0,1,3,1,1,16,9,1,3,14,6,0,5
jacksonxml_2,22,3,6,0,1,2,1,2,7,2,2,0,6,7,0,0
jacksonxml_6,22,2,6,0,2,1,1,3,7,2,4,2,4,6,0,0
jsoup_11,26,10,7,0,1,0,3,2,3,11,2,0,7,8,0,3
jsoup_12,28,3,5,0,1,1,0,4,14,3,4,0,4,8,0,1
jsoup_14,27,5,9,0,1,2,3,3,4,6,2,3,7,6,0,1
jsoup_16,17,4,5,0,3,1,0,4,0,4,2,1,8,6,0,0
jsoup_18,10,2,4,0,1,2,0,0,1,2,4,0,3,6,0,0
jsoup_21,32,5,9,0,1,5,2,2,8,7,3,0,6,6,0,0
jsoup_22,13,5,6,0,1,0,0,1,0,8,4,4,8,6,0,0
jsoup_23,9,2,3,0,1,1,0,0,2,2,4,0,3,6,0,0
jsoup_28,44,7,10,0,1,0,0,1,25,10,2,1,13,6,0,0
jsoup_29,8,2,4,0,1,0,0,1,0,2,3,0,4,6,0,0
jsoup_3,30,4,11,0,1,2,4,2,6,4,1,1,9,5,0,0
jsoup_30,13,2,4,0,1,3,1,1,1,2,4,0,6,6,0,0
jsoup_31,21,2,6,0,1,1,0,4,7,2,2,5,9,6,0,2
jsoup_36,17,3,10,0,1,0,2,1,0,3,3,0,4,6,0,0
jsoup_4,21,3,7,0,1,1,0,2,7,4,2,3,9,6,0,0
jsoup_42,12,3,6,0,1,1,0,0,1,2,2,1,2,6,0,0
jsoup_50,22,3,5,0,1,1,0,2,10,3,2,0,5,6,0,0
jsoup_52,35,13,10,0,1,0,4,0,7,14,7,7,12,7,0,0
jsoup_56,22,3,8,0,1,5,0,0,5,9,2,3,7,6,0,0
jsoup_58,39,8,6,0,1,3,0,1,20,13,0,3,11,7,0,0
jsoup_59,20,2,5,0,1,3,3,3,3,1,1,2,2,7,0,1
jsoup_60,8,2,4,0,1,0,0,1,0,9,3,2,5,6,0,0
jsoup_63,63,15,20,0,1,0,8,4,15,21,2,13,14,6,0,6
jsoup_65,63,14,7,0,1,16,0,3,22,17,3,14,10,4,0,3
jsoup_66,13,2,4,0,1,4,0,1,1,3,4,12,4,6,0,0
jsoup_67,11,2,4,0,1,3,0,0,1,2,2,0,3,5,0,0
jsoup_7,24,2,5,0,1,5,0,3,8,4,3,1,5,8,0,1
jsoup_71,40,13,9,0,5,0,1,3,9,26,10,3,15,8,0,5
jsoup_73,14,2,4,0,1,1,0,2,4,4,3,0,3,5,0,1
jsoup_74,8,2,4,0,1,0,0,1,0,2,2,4,3,5,0,0
jsoup_78,13,3,5,0,2,0,0,1,2,4,6,3,8,6,0,0
jsoup_79,6,1,3,0,1,0,0,1,0,2,3,0,4,6,0,0
jsoup_81,12,2,4,0,1,1,0,1,3,2,3,3,5,6,0,0
jsoup_83,20,5,5,0,4,1,2,1,2,5,3,2,9,3,0,0
jsoup_87,42,7,8,0,1,5,2,2,17,15,3,8,12,5,0,2
jsoup_91,16,1,5,0,0,8,0,1,1,4,4,2,7,7,0,0
jsoup_92,11,6,2,0,1,0,1,1,0,14,4,9,15,5,0,0
jxpath_1,8,1,5,0,1,0,0,1,0,2,5,9,13,7,0,0
jxpath_11,38,6,6,0,1,10,1,1,13,12,7,1,12,9,0,0
jxpath_13,13,2,4,0,1,1,2,1,2,1,2,1,4,6,0,0
jxpath_15,9,2,4,1,1,0,0,0,1,2,6,6,3,6,0,0
jxpath_16,8,2,3,0,1,1,0,1,0,2,2,0,3,6,0,0
jxpath_17,10,2,5,0,2,0,0,1,0,2,5,5,6,6,0,0
jxpath_18,17,3,4,0,1,0,4,2,3,3,5,8,8,5,0,0
jxpath_19,10,3,5,0,1,0,0,1,0,2,4,2,5,6,0,0
jxpath_2,11,4,2,0,1,1,2,1,0,3,4,0,6,6,0,0
jxpath_20,14,4,2,0,1,4,0,1,2,2,2,0,3,5,0,0
jxpath_3,16,2,4,0,1,8,0,0,1,4,7,0,5,6,0,0
jxpath_4,16,5,8,0,1,0,0,1,1,7,2,2,5,6,0,0
jxpath_7,16,6,2,0,1,1,4,1,1,10,3,0,10,7,0,1
jxpath_9,29,4,2,0,1,14,1,1,6,4,2,1,10,5,0,0
lang_13,12,2,4,0,2,1,0,1,2,1,2,0,3,8,0,0
lang_15,35,3,8,0,1,9,0,4,10,2,0,0,4,6,0,0
lang_19,12,3,4,0,1,0,3,1,0,3,2,0,4,6,0,0
lang_20,10,2,5,0,1,1,0,1,0,2,2,4,3,6,0,0
lang_23,8,1,3,0,1,1,0,0,2,1,1,0,2,5,0,0
lang_27,8,2,4,0,1,0,0,0,1,1,2,0,2,6,0,0
lang_30,15,3,7,0,1,0,0,3,1,7,1,1,7,9,0,0
lang_32,11,3,4,0,1,0,0,1,2,4,3,0,5,5,0,0
lang_34,6,1,2,0,1,1,0,1,0,2,1,0,4,4,0,0
lang_35,7,1,3,0,1,0,0,1,1,2,2,1,3,6,0,0
lang_36,12,2,7,0,1,1,0,0,1,4,2,1,3,6,0,0
lang_4,9,2,5,0,1,0,1,0,0,4,2,0,4,6,0,0
lang_41,17,2,5,0,1,0,2,2,5,2,2,0,2,5,0,1
lang_46,9,2,3,0,1,1,0,2,0,1,1,0,3,7,0,0
lang_47,9,2,4,0,1,0,1,0,1,2,1,2,2,5,0,0
lang_5,10,2,5,0,1,1,0,0,1,1,2,0,2,6,0,0
lang_50,17,2,9,0,1,2,1,1,1,3,0,0,3,5,0,0
lang_56,15,2,4,0,1,1,1,3,3,2,1,0,4,6,0,1
lang_60,7,2,3,0,1,0,0,0,1,2,2,2,2,4,0,0
lang_62,21,3,4,0,1,1,1,3,8,3,0,0,4,7,0,1
lang_63,17,2,4,0,1,3,0,2,5,3,1,0,3,6,0,2
lang_64,8,2,3,0,1,1,0,1,0,2,5,0,7,6,0,0
lang_65,39,9,10,0,1,0,2,1,16,12,1,0,6,6,0,5
lang_7,9,2,5,0,1,0,0,0,1,2,2,0,2,6,0,0
lang_8,8,1,4,0,1,0,0,0,2,1,4,0,3,6,0,0
math_1,16,2,8,0,1,0,0,2,3,2,1,0,5,8,0,1
math_100,8,2,3,0,1,1,0,0,1,2,2,0,2,5,0,0
math_106,12,2,4,0,1,0,0,1,4,3,1,0,6,8,0,0
math_12,10,2,5,0,1,0,0,1,1,2,1,6,4,5,0,0
math_14,11,2,4,0,2,0,0,1,2,2,2,0,5,6,0,0
math_15,7,2,3,0,1,0,0,1,0,1,2,2,2,6,0,0
math_16,8,2,4,0,1,0,0,1,0,2,2,2,2,9,0,0
math_18,13,3,5,0,1,2,0,2,0,8,1,0,3,6,0,0
math_21,24,6,5,0,1,5,0,1,6,8,4,1,8,7,0,3
math_22,13,2,6,0,1,1,0,3,0,2,6,0,7,9,0,0
math_23,12,2,5,0,1,1,0,2,1,3,1,0,3,6,0,0
math_24,8,2,4,0,1,0,0,1,0,1,1,0,3,6,0,0
math_26,13,2,5,0,1,0,1,1,3,2,3,0,3,6,0,1
math_28,20,2,6,0,1,3,1,2,5,2,2,0,3,5,0,1
math_29,10,2,5,0,1,0,0,1,1,2,2,7,3,6,0,0
math_31,9,2,1,0,3,1,0,1,1,4,0,3,9,6,0,0
math_35,9,1,6,0,1,0,0,1,0,2,2,0,2,6,0,0
math_36,9,2,4,0,1,1,0,1,0,2,2,2,2,5,0,0
math_37,10,3,4,0,1,0,0,1,1,4,2,0,5,7,0,0
math_38,26,6,7,0,1,6,1,2,3,10,1,5,17,5,0,1
math_4,13,2,6,0,1,0,0,1,3,2,0,3,5,7,0,0
math_44,31,4,10,0,1,5,2,2,7,6,0,7,7,6,0,0
math_46,10,2,6,0,1,0,0,1,0,2,1,0,3,6,0,0
math_47,11,2,6,0,1,1,0,1,0,2,2,0,3,6,0,0
math_49,6,1,3,0,1,0,0,1,0,4,2,0,3,6,0,0
math_52,35,10,5,0,3,2,1,3,11,11,0,3,9,8,0,2
math_54,11,3,3,0,3,0,1,0,1,2,3,0,8,4,0,0
math_55,23,9,5,0,1,2,1,2,3,8,1,0,4,7,0,2
math_6,27,6,8,0,1,5,1,1,5,12,7,10,13,8,0,0
math_61,12,2,4,0,1,1,0,1,3,2,4,1,4,6,0,0
math_62,20,2,4,0,3,6,1,2,2,2,2,0,5,5,0,0
math_64,23,6,10,1,2,0,1,0,3,10,3,1,6,6,0,0
math_65,7,2,3,0,1,0,0,1,0,2,2,0,3,7,0,0
math_66,17,2,7,0,1,3,0,2,2,6,3,0,3,7,0,0
math_68,24,4,9,0,2,6,0,2,1,9,5,1,11,4,0,0
math_7,27,3,9,1,1,7,0,3,3,3,3,0,5,10,0,0
math_71,16,4,1,0,5,4,0,2,0,5,7,2,14,6,0,0
math_72,10,2,4,0,1,1,0,1,1,2,0,0,3,6,0,0
math_76,24,4,7,0,1,0,1,1,10,6,1,0,6,8,0,6
math_77,8,2,4,0,1,0,0,1,0,2,0,2,3,6,0,0
math_78,74,7,7,1,1,45,1,3,9,4,2,0,6,8,0,0
math_81,9,2,3,0,1,2,0,1,0,1,1,0,2,7,0,0
math_83,18,2,5,0,1,2,1,2,5,2,3,1,3,5,0,3
math_84,12,2,3,0,1,1,0,0,5,1,0,0,4,9,0,0
math_86,18,2,6,0,1,1,0,4,4,1,0,0,3,7,0,2
math_90,9,2,3,0,1,1,0,1,1,1,1,0,2,5,0,0
math_92,8,2,1,0,3,0,0,1,1,2,1,0,6,7,0,0
math_93,13,3,3,0,1,0,1,1,4,2,1,0,5,6,0,0
math_98,5,1,2,0,1,0,0,1,0,2,2,2,4,6,0,0
math_99,11,3,4,0,2,0,0,1,1,2,1,0,5,6,0,0
mockito_10,10,2,4,0,1,1,0,2,0,3,4,0,6,7,0,0
mockito_14,11,2,4,0,1,0,1,1,2,2,2,7,7,5,0,0
mockito_15,11,2,5,0,1,1,0,2,0,2,7,4,7,6,0,0
mockito_16,15,2,6,0,1,0,0,1,5,1,1,6,6,6,0,0
mockito_17,16,2,7,0,1,1,2,1,2,1,2,0,5,4,0,0
mockito_19,19,6,7,0,1,3,0,0,2,14,3,1,13,7,0,0
mockito_2,15,2,8,0,1,2,0,2,0,4,5,2,9,6,0,0
mockito_20,16,2,6,0,1,1,1,2,3,1,3,6,13,6,0,0
mockito_21,24,3,4,0,4,1,3,3,6,2,3,0,6,6,0,0
mockito_23,20,3,5,0,1,5,2,1,3,7,0,4,7,6,0,0
mockito_25,19,2,6,0,1,3,2,2,3,4,4,0,5,5,0,0
mockito_3,32,5,10,0,1,1,1,6,8,5,8,0,9,5,1,1
mockito_30,21,2,4,0,1,2,3,2,7,2,3,0,6,5,0,0
mockito_31,22,4,5,0,1,1,0,1,10,2,2,2,6,6,0,0
mockito_32,21,2,5,0,1,1,1,4,7,1,1,5,5,6,0,0
mockito_35,10,1,5,0,1,0,0,1,2,4,3,6,6,6,0,0
mockito_36,12,2,7,0,1,1,0,1,0,1,4,2,6,6,0,0
mockito_4,15,2,7,0,1,3,0,2,0,3,3,1,4,6,0,0
mockito_6,17,3,3,0,1,9,0,1,0,19,4,3,7,6,0,0
