bug_id,total_input_token,total_output_token,cache_creation_tokens,cache_read_tokens,time_duration
Closure-47,166,9863,117129,2481390,287.1
Closure-49,187,29998,169657,5373797,552.7
Closure-50,220,9873,107542,1918138,271.3
Closure-51,128,10632,75375,1745690,244.4
Closure-53,169,8772,103051,1859539,242.9
Closure-54,452,50844,700920,14033691,1169.6
Closure-6,193,20852,134238,4630560,409.5
Closure-60,171,14625,66772,2239799,359.1
Closure-64,205,13375,253781,3150402,250.1
Closure-68,1642,23202,263729,3966179,500.6
Closure-72,143,16750,143566,3774261,373.2
Closure-74,136,21065,294629,7618989,429.2
Closure-75,175,12208,136196,3526374,306.6
Closure-76,234,14959,94561,1829454,239.6
Closure-79,173,18597,209968,6062218,567.2
Closure-80,159,10571,130127,3398141,295.3
Closure-84,136,12830,187792,3852220,262.9
Closure-85,194,15365,101427,2636579,308.0
Closure-89,281,34542,546164,10366266,748.8
Closure-9,173,10529,63345,1967880,298.1
Closure-90,171,18912,138008,4165867,381.9
Closure-98,163,38811,262727,8575137,624.6
Closure-99,154,22561,88295,2667153,324.3
Codec-1,215,14517,120670,2346225,188.6
Codec-11,228,47556,211732,6630394,575.5
Codec-12,222,9812,67961,1401028,167.0
Codec-13,233,9591,108051,2023648,172.7
Codec-14,146,12459,115203,2528274,216.0
Codec-6,193,10578,68599,1544347,163.4
Codec-8,181,17886,173258,3890736,286.1
Collections-25,313,9229,99885,1877391,198.1
Compress-10,127,11367,82106,2034776,208.1
Compress-11,202,7414,47831,1019835,129.3
Compress-2,190,26558,78233,3074741,441.6
Compress-20,117,14912,74987,2567493,277.3
Compress-22,179,32979,224700,8418550,603.2
Compress-29,296,38327,211894,13746078,771.3
Compress-3,340,11192,91022,1926901,166.3
Compress-33,174,10336,75264,1643988,172.9
Compress-34,184,15447,85966,2521152,248.2
Compress-35,254,11579,86619,1834755,163.8
Compress-39,183,7600,53963,925098,119.7
Compress-4,216,11194,83761,2358901,201.9
Compress-40,167,27343,77999,2783463,361.6
Compress-42,176,8435,76554,1595650,173.7
Compress-43,229,11846,164246,3131844,280.3
Compress-47,247,10873,100805,1584786,195.5
Compress-6,194,6848,57340,1088865,137.6
Compress-9,160,22863,114290,3985642,372.0
Csv-13,187,8016,115658,1961084,186.1
Csv-16,221,10047,64650,1382147,159.4
Csv-7,149,7333,101535,1432037,132.9
Csv-8,183,7505,78747,1573264,164.3
Gson-1,145,17580,106466,3301378,322.3
Gson-14,238,9931,65466,1431329,166.9
Gson-3,182,10339,72272,1930542,191.3
Gson-4,1254,17814,138937,2588862,196.7
Gson-7,189,14803,166813,2742560,213.4
Gson-8,285,11841,75977,1941658,173.7
Gson-9,183,22189,135807,7865459,542.5
Jacksoncore-1,181,11591,186745,2539975,208.4
Jacksoncore-10,183,26281,117581,3379929,400.2
Jacksoncore-12,165,63691,236648,18724656,1027.4
Jacksoncore-16,201,12396,87072,1974340,203.3
Jacksoncore-17,135,11175,242100,4418361,242.1
Jacksoncore-18,188,12173,179849,2959586,205.7
Jacksoncore-19,160,10521,78534,2087900,204.4
Jacksoncore-2,188,24454,193262,6372363,397.4
Jacksoncore-21,176,19976,94981,3076823,336.9
Jacksoncore-22,210,54056,257985,15844720,944.6
Jacksoncore-24,439,16415,206803,4667493,296.0
Jacksoncore-9,136,10643,133742,2594459,173.7
Jacksondatabind-10,200,19549,90744,2492135,290.4
Jacksondatabind-103,368,39717,349041,11800306,899.2
Jacksondatabind-104,183,13441,118578,3520824,382.4
Jacksondatabind-105,107,18841,194249,8070691,508.3
Jacksondatabind-108,179,13191,111105,2855226,303.4
Jacksondatabind-109,190,32859,154432,8259439,691.3
Jacksondatabind-110,207,14047,100212,2733124,316.3
Jacksondatabind-111,149,15153,263184,5281615,389.3
Jacksondatabind-13,132,14643,93378,2169376,217.2
Jacksondatabind-14,153,16865,188154,3375860,318.8
Jacksondatabind-15,154,10544,87865,2280969,207.0
Jacksondatabind-18,283,14862,86110,2788059,328.7
Jacksondatabind-20,182,14476,179679,3925041,248.6
Jacksondatabind-21,143,13842,134233,3545386,315.1
Jacksondatabind-22,216,38922,478515,8096309,682.0
Jacksondatabind-23,155,16467,99945,3366308,309.7
Jacksondatabind-25,167,25466,275888,8438849,467.5
Jacksondatabind-29,179,12159,78228,2134318,221.1
Jacksondatabind-3,194,9087,65705,1730074,223.7
Jacksondatabind-30,155,17016,239851,4844685,385.7
Jacksondatabind-31,169,23673,153542,5635599,499.1
Jacksondatabind-32,162,13384,111154,2576064,294.9
Jacksondatabind-36,145,7087,49977,998031,182.6
Jacksondatabind-38,404,19945,121198,3790529,331.5
Jacksondatabind-4,361,22750,108984,3332557,381.8
Jacksondatabind-41,154,7665,82580,1504494,190.3
Jacksondatabind-43,165,12595,76931,2355632,294.5
Jacksondatabind-48,156,39367,240920,8219379,614.1
Jacksondatabind-50,181,21043,193117,5088501,362.6
Jacksondatabind-52,167,14059,192827,3408793,266.2
Jacksondatabind-53,306,57074,479247,17684261,959.6
Jacksondatabind-54,213,12201,78198,2126185,297.3
Jacksondatabind-55,167,16318,197395,4720564,358.8
Jacksondatabind-56,8035,7953,71747,1218735,186.6
Jacksondatabind-59,173,23942,239190,5844426,443.9
Jacksondatabind-6,238,20836,153227,4156393,629.9
Jacksondatabind-60,376,20039,128518,3337898,298.2
Jacksondatabind-61,126,11251,166761,2706858,540.2
Jacksondatabind-65,363,7123,89872,1312298,191.2
Jacksondatabind-66,228,28399,166253,7368170,610.6
Jacksondatabind-68,285,51805,497195,12350536,919.1
Jacksondatabind-69,142,20281,233406,3568522,307.8
Jacksondatabind-72,165,19472,271676,7817550,378.5
Jacksondatabind-73,151,16291,226941,4173222,350.2
Jacksondatabind-75,206,17295,79612,3348036,362.0
Jacksondatabind-77,265,11587,124331,2570164,262.3
Jacksondatabind-78,136,10836,98062,2150839,232.8
Jacksondatabind-79,149,12288,97281,2547138,277.1
Jacksondatabind-8,150,9652,97538,2229691,262.8
Jacksondatabind-80,168,16444,105008,3485238,369.6
Jacksondatabind-81,375,28103,373751,6303339,590.0
Jacksondatabind-87,275,14582,93032,1701623,283.9
Jacksondatabind-90,225,8423,60841,1388202,209.5
Jacksondatabind-94,143,9883,57101,1524581,248.2
Jacksondatabind-95,168,8614,153033,2127320,247.1
Jacksonxml-1,341,52288,322243,11703270,869.7
Jacksonxml-2,163,14364,89219,2864411,299.2
Jacksonxml-6,172,16015,133010,3456256,317.8
Jsoup-11,310,35618,178587,6337052,548.8
Jsoup-12,155,16824,106487,3452307,320.0
Jsoup-14,241,29058,275964,7509855,532.0
Jsoup-16,240,12466,97588,2794573,252.0
Jsoup-18,3202,8253,83654,1464061,163.8
Jsoup-21,297,27432,150672,5642554,417.3
Jsoup-22,208,17885,199423,4743005,290.4
Jsoup-23,157,8293,57639,1405480,156.7
Jsoup-28,6707,45641,207820,9761833,674.5
Jsoup-29,189,7982,55164,1220751,140.6
Jsoup-3,3759,24720,159560,5386086,409.1
Jsoup-30,195,11643,68153,1738406,184.9
Jsoup-31,161,16832,149524,5179762,326.5
Jsoup-36,222,14829,66709,1824802,225.2
Jsoup-4,235,16185,75269,2927381,284.6
Jsoup-42,156,11189,54021,1293688,178.9
Jsoup-50,203,14585,81489,2381817,267.2
Jsoup-52,172,41740,170907,9471421,683.7
Jsoup-56,160,25026,220973,5975419,412.8
Jsoup-58,267,54468,185848,8123304,756.8
Jsoup-59,143,12069,60542,1938520,212.2
Jsoup-60,203,14520,89332,2297561,241.5
Jsoup-63,289,64386,423733,16357767,1124.2
Jsoup-65,227,49696,451335,15806070,1100.4
Jsoup-66,147,18561,139474,3629197,304.7
Jsoup-67,145,8300,122628,2180142,202.4
Jsoup-7,184,17971,90673,3218914,304.4
Jsoup-71,396,84823,525887,18930032,1234.1
Jsoup-73,138,13450,61451,1818651,226.3
Jsoup-74,190,10481,71476,1487725,176.5
Jsoup-78,289,17623,95560,3113393,318.5
Jsoup-79,182,7099,62134,1076973,124.7
Jsoup-81,180,11278,69644,1984047,197.4
Jsoup-83,10062,17611,369808,5523498,349.8
Jsoup-87,208,41985,402748,13103868,774.3
Jsoup-91,1742,13097,82455,2543408,215.4
Jsoup-92,339,27237,442167,8886003,486.0
Jxpath-1,167,22251,188760,4477850,368.6
Jxpath-11,150,43200,248799,11737488,631.4
Jxpath-13,10293,12106,128693,2297442,232.8
Jxpath-15,130,10835,55432,1696754,174.2
Jxpath-16,228,8734,83602,1427859,136.3
Jxpath-17,223,10890,68245,1963339,207.0
Jxpath-18,194,14013,120277,3642934,287.3
Jxpath-19,176,10056,87371,1708628,202.8
Jxpath-2,167,11973,73406,1943533,183.2
Jxpath-20,177,9822,61435,1492127,156.1
Jxpath-3,303,12218,88003,2310411,203.0
Jxpath-4,172,18220,99672,3060308,260.0
Jxpath-7,230,23703,95103,3172216,302.6
Jxpath-9,227,19394,101524,3307852,327.7
Lang-13,298,14011,103219,1355810,150.1
Lang-15,195,18361,152275,4664383,351.6
Lang-19,247,10327,56617,1427461,192.1
Lang-20,217,10086,55362,1526652,173.9
Lang-23,119,6837,66464,1094880,125.3
Lang-27,161,7007,122127,1506653,137.8
Lang-30,935,29618,159774,3782197,328.9
Lang-32,180,10961,173357,2946324,206.8
Lang-34,144,7409,209323,2467426,139.8
Lang-35,193,8299,75000,1295209,145.7
Lang-36,118,13809,169085,2968320,238.4
Lang-4,284,8554,47421,1288761,166.0
Lang-41,184,11318,105552,2275990,209.9
Lang-46,210,7689,78604,1184693,144.9
Lang-47,155,12147,197989,1835555,139.9
Lang-5,184,9844,67750,1257902,159.5
Lang-50,205,11853,105167,2269917,200.2
Lang-56,289,11929,171132,2678744,184.8
Lang-60,139,6629,99843,1233955,143.3
Lang-62,247,16199,129571,3015359,251.7
Lang-63,239,16919,91071,2300128,225.6
Lang-64,199,10338,87461,1791978,174.7
Lang-65,270,44686,261909,11414037,626.9
Lang-7,38388,8846,127165,1713055,185.2
Lang-8,191,13029,116758,1302145,136.6
Math-1,267,17318,174212,2881689,271.0
Math-100,333,8736,75483,1245627,160.8
Math-106,5697,11156,85157,1899917,195.5
Math-12,457,10378,76949,1838221,441.5
Math-14,237,11056,113165,1856935,432.7
Math-15,210,7415,42252,1005370,287.9
Math-16,244,11435,61617,1304396,315.6
Math-18,228,16163,122626,2790591,357.0
Math-21,179,29310,120468,4888304,566.1
Math-22,250,13667,89647,2064257,358.5
Math-23,219,9640,62479,1496367,325.6
Math-24,225,8934,63321,923325,260.6
Math-26,250,10038,83576,1754593,332.4
Math-28,184,15078,94826,2621254,317.5
Math-29,161,10724,91565,2075288,391.3
Math-31,171,14043,134588,2704595,294.4
Math-35,159,8979,46999,984447,267.8
Math-36,196,8603,73214,1350573,288.3
Math-37,239,15289,236405,2780405,415.7
Math-38,187,37682,140382,6347938,670.1
Math-4,249,12246,79966,1695443,253.9
Math-44,324,30589,137474,4885427,506.6
Math-46,197,9864,115662,1686780,251.6
Math-47,226,8272,114207,1912462,257.0
Math-49,203,8084,98565,1479507,236.9
Math-52,266,41066,461525,8006741,700.5
Math-54,265,11275,393402,3110750,346.9
Math-55,218,42812,123935,4076953,565.5
Math-6,6201,28140,229056,11076466,954.4
Math-61,271,9144,65595,1913093,249.8
Math-62,164,10618,69090,2113494,271.9
Math-64,166,45126,230257,7257204,676.1
Math-65,207,8902,75681,1292801,164.1
Math-66,523,13087,65915,1936846,237.0
Math-68,72664,26508,417468,6337052,449.8
Math-7,317,20032,102312,3694682,760.7
Math-71,218,17789,198317,5551444,363.9
Math-72,184,7181,63343,1191849,143.5
Math-76,196,38811,133211,4492294,502.4
Math-77,217,7656,99538,1615502,153.8
Math-78,1412,41539,232416,9368016,529.6
Math-81,177,7996,98520,1480919,150.1
Math-83,111,17323,91706,2719376,276.7
Math-84,238,14335,79006,1510231,172.9
Math-86,1923,13546,67352,1670653,215.7
Math-90,173,10766,74737,942342,121.2
Math-92,192,10271,172784,2423592,182.9
Math-93,422,11980,190174,2860914,194.9
Math-98,152,8596,147779,1886668,153.5
Math-99,35177,11328,200871,2423280,182.1
Mockito-10,177,11896,67309,1761141,326.5
Mockito-14,135,11740,134666,2969938,282.1
Mockito-15,187,11262,60226,1963527,224.7
Mockito-16,252,12900,75508,2087446,228.1
Mockito-17,214,9960,71606,1608118,202.9
Mockito-19,158,49112,132270,5332738,966.4
Mockito-2,464,13929,68668,2105969,394.9
Mockito-20,161,15062,96826,3223746,449.9
Mockito-21,147,13995,75033,2577546,467.4
Mockito-23,179,16832,100759,3415203,370.2
Mockito-25,181,11901,87338,2496722,293.0
Mockito-3,176,26274,107356,4684607,765.3
Mockito-30,151,12657,111496,2469182,256.0
Mockito-31,172,12889,59284,2146824,238.3
Mockito-32,153,10909,113616,2787473,264.1
Mockito-35,142,11799,90053,2317286,254.0
Mockito-36,284,9705,63661,1690658,201.6
Mockito-4,245,10431,77506,1957649,384.5
Mockito-6,212,15684,147378,4311690,485.6
Mockito-9,199,13648,72592,2403298,505.0
Time-1,179,30823,176171,6301916,485.7
Time-10,173,11445,106762,2143304,177.4
Time-12,151,14872,252310,3501675,236.8
Time-13,263,34278,369994,6544852,476.6
Time-2,231,27963,223479,6359854,476.1
Time-23,201,22125,303507,8948313,406.5
Time-26,147,16620,201454,3913631,252.7
Time-3,165,12411,111053,3053366,249.7
Time-6,170,27948,228232,6397531,421.5
Time-9,158,11192,126221,2253617,213.9
